"----------"," Entity 549652"," Report E00A18B ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"PART B - MEDICAL AND OTHER HEALTH SERVICES","","","","","","", , , , , , , , , , , , , 
" Medical and other services  (see instructions)","","","","","","1", , , , , , , , , , , , , 
" Medical and other services reimbursed under OPPS  (see instructions).","","","","","","2", , , , , , , , , , , , , 
" PPS payments","","","","","","3", , , , , , , , , , , , , 
" Outlier payment  (see instructions)","","","","","","4", , , , , , , , , , , , , 
" Enter the hospital specific payment to cost ratio  (see instructions)","","","","","","5", , , , , , , , , , , , , 
" Line 2 times line 5","","","","","","6", , , , , , , , , , , , , 
" Sum of lines line 3 plus line 4 divided by line 6","","","","","","7", , , , , , , , , , , , , 
" Transitional corridor payment  (see instructions)","","","","","","8", , , , , , , , , , , , , 
"\" Ancillary service other pass through costs from Worksheet D"," Part IV"," column 13"," line 200\"","","","","","","9", , , , , , , , , , 
" Organ acquisition","","","","","","10", , , , , , , , , , , , , 
" Total cost (sum of lines 1 and 10)  (see instructions)","","","","","","11", , , , , , , , , , , , , 
"COMPUTATION OF LESSER OF COST OR CHARGES","","","","","","", , , , , , , , , , , , , 
"Reasonable charges","","","","","","", , , , , , , , , , , , , 
" Ancillary service charges","","","","","","12", , , , , , , , , , , , , 
"\" Organ acquisition charges (from Worksheet D-4"," Part III"," line 69"," col. 4)\"","","","","","","13", , , , , , , , , , 
" Total reasonable charges (sum of lines 12 and 13)","","","","","","14", , , , , , , , , , , , , 
"Customary charges","","","","","","", , , , , , , , , , , , , 
" Aggregate amount actually collected from patients liable for payment for services on a charge basis","","","","","","15", , , , , , , , , , , , , 
" Amounts that would have been realized from patients liable for payment for services on a charge  ","","","","","","16", , , , , , , , , , , , , 
" basis had such payment been made in accordance with 42 CFR 413.13(e)","","","","","","", , , , , , , , , , , , , 
" Ratio of line 15 to line 16 (not to exceed 1.000000)","","","","","","17", , , , , , , , , , , , , 
" Total customary charges  (see instructions)","","","","","","18", , , , , , , , , , , , , 
" Excess of customary charges over reasonable cost (complete only if line 18 exceeds line 11)  (see instructions)","","","","","","19", , , , , , , , , , , , , 
" Excess of reasonable cost over customary charges (complete only if line 11 exceeds line 18)  (see instructions)","","","","","","20", , , , , , , , , , , , , 
"\" Lesser of cost or charges (line 11 minus line 20)  (for CAH"," see instructions)\"","","","","","","21", , , , , , , , , , , , 
" Interns and residents  (see instructions)","","","","","","22", , , , , , , , , , , , , 
"\" Cost of teaching physicians (see instructions"," 42 CFR 415.160 and CMS Pub. 15-1"," �2148)\"","","","","","","23", , , , , , , , , , , 
"\" Total prospective payment (sum of lines 3"," 4"," 8 and 9)\"","","","","","","24", , , , , , , , , , , 
"COMPUTATION OF REIMBURSEMENT SETTLEMENT","","","","","","", , , , , , , , , , , , , 
" Deductibles and coinsurance  (see instructions)","","","","","","25", , , , , , , , , , , , , 
" Deductibles and Coinsurance relating to amount on line 24  (see instructions)","","","","","","26", , , , , , , , , , , , , 
" Subtotal {(lines 21 and 24 - the sum of lines 25 and 26) plus the sum of lines 22 and 23}  (see instructions)","","","","","","27", , , , , , , , , , , , , 
"\" Direct graduate medical education payments (from Worksheet E-4"," line 50)\"","","","","","","28", , , , , , , , , , , , 
"\" ESRD direct medical education costs (from Worksheet E-4"," line 36)\"","","","","","","29", , , , , , , , , , , , 
" Subtotal (sum of lines 27 through 29)","","","","","","30", , , , , , , , , , , , , 
" Primary payer payments","","","","","","31", , , , , , , , , , , , , 
" Subtotal (line 30 minus line 31)","","","","","","32", , , , , , , , , , , , , 
"ALLOWABLE BAD DEBTS (EXCLUDE BAD DEBTS FOR PROFESSIONAL SERVICES)","","","","",""," ", , , , , , , , , , , , , 
"\" Composite rate ESRD (from Worksheet I-5"," line 11)\"","","","","","","33", , , , , , , , , , , , 
" Allowable bad debts  (see instructions)","","","","","","34", , , , , , , , , , , , , 
" Adjusted reimbursable bad debts  (see instructions)","","","","","","35", , , , , , , , , , , , , 
" Allowable bad debts for dual eligible beneficiaries  (see instructions)","","","","","","36", , , , , , , , , , , , , 
"\" Subtotal (sum of lines 32"," 33"," and 34 or 35) (line 35 hospital and subprovider only)\"","","","","","","37", , , , , , , , , , , 
" MSP-LCC reconciliation amount from PS&R","","","","","","38", , , , , , , , , , , , , 
" Other adjustments (specify)  (see instructions)","","","","","","39", , , , , , , , , , , , , 
" Subtotal (line 37 plus or minus lines 39 minus 38)","","","","","","40", , , , , , , , , , , , , 
" Interim payments","","","","","","41", , , , , , , , , , , , , 
