"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 549652"," Report A6000C0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[549652] Report(A6000C0)","Entity[549652] Report(A6000C0[00000])","Entity[549652] Report(A6000C0[00100])", ,"Entity[549652] Report(A6000C0[00300])", ,"Entity[549652] Report(A6000C0[00500])", ,"Entity[549652] Report(A6000C0[00700])", ,"Entity[549652] Report(A6000C0[00900])"
"Line(00100)","PATIENT CHARGEABLE DRUGS","C", ,"73", ,"363592528", ,"4", ,"342408"
"Line(00200)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"5", ,"1333"
"Line(00300)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"5", ,"5193338"
"Line(00400)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"6", ,"13582"
"Line(00500)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"10", ,"101272"
"Line(00600)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"12", ,"38"
"Line(00700)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"12", ,"60"
"Line(00800)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"12", ,"127"
"Line(00900)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"13", ,"721"
"Line(01000)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"13", ,"768"
"Line(01100)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"13", ,"252"
"Line(01200)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"13", ,"173"
"Line(01300)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"13", ,"120809"
"Line(01400)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"14", ,"593"
"Line(01500)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"15", ,"345876849"
"Line(01600)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"16", ,"68"
"Line(01700)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"16", ,"207"
"Line(01800)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"17", ,"20"
"Line(01900)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"21", ,"607"
"Line(02000)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"23", ,"375"
"Line(02100)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"23", ,"3291"
"Line(02200)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"30", ,"531"
"Line(02300)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"31", ,"106"
"Line(02400)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"50", ,"19119"
"Line(02500)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"53", ,"799"
"Line(02600)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"54", ,"18473"
"Line(02700)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"54", ,"2812764"
"Line(02800)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"55", ,"1055"
"Line(02900)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"56", ,"8517576"
"Line(03000)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"60", ,"1625"
"Line(03100)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"60", ,"768"
"Line(03200)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"65", ,"444414"
"Line(03300)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"69", ,"468"
"Line(03400)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"90", ,"16024"
"Line(03500)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"90", ,"591"
"Line(03600)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"90", ,"61"
"Line(03700)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"90", ,"1863"
"Line(03800)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"90", ,"191"
"Line(03900)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"90", ,"4764"
"Line(04000)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"90", ,"194"
"Line(04100)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"90", ,"941"
"Line(04200)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"90", ,"1182"
"Line(04300)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"90", ,"41067"
"Line(04400)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"90", ,"29088"
"Line(04500)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"90", ,"6689"
"Line(04600)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"90", ,"6926"
"Line(04700)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"90", ,"5655"
"Line(04800)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"90", ,"75"
"Line(04900)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"90", ,"809"
"Line(05000)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"90", ,"511"
"Line(05100)","PATIENT CHARGEABLE DRUGS","C", , , , , ,"90", ,"1308"
