"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 549652"," Report A6000Z0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[549652] Report(A6000Z0)","Entity[549652] Report(A6000Z0[00000])","Entity[549652] Report(A6000Z0[00100])", ,"Entity[549652] Report(A6000Z0[00300])", ,"Entity[549652] Report(A6000Z0[00500])", ,"Entity[549652] Report(A6000Z0[00700])", ,"Entity[549652] Report(A6000Z0[00900])"
"Line(00100)","EMPLOYEE RECOGNITION","Z", ,"4", ,"481304", ,"4", ,"3581"
"Line(00200)","EMPLOYEE RECOGNITION","Z", ,"12", ,"2302", ,"5", ,"1049"
"Line(00300)","EMPLOYEE RECOGNITION","Z", , , , , ,"5", ,"11395"
"Line(00400)","EMPLOYEE RECOGNITION","Z", , , , , ,"6", ,"26764"
"Line(00500)","EMPLOYEE RECOGNITION","Z", , , , , ,"12", ,"120"
"Line(00600)","EMPLOYEE RECOGNITION","Z", , , , , ,"12", ,"3686"
"Line(00700)","EMPLOYEE RECOGNITION","Z", , , , , ,"12", ,"269"
"Line(00800)","EMPLOYEE RECOGNITION","Z", , , , , ,"12", ,"10"
"Line(00900)","EMPLOYEE RECOGNITION","Z", , , , , ,"13", ,"33293"
"Line(01000)","EMPLOYEE RECOGNITION","Z", , , , , ,"13", ,"174"
"Line(01100)","EMPLOYEE RECOGNITION","Z", , , , , ,"13", ,"1081"
"Line(01200)","EMPLOYEE RECOGNITION","Z", , , , , ,"13", ,"189"
"Line(01300)","EMPLOYEE RECOGNITION","Z", , , , , ,"16", ,"18"
"Line(01400)","EMPLOYEE RECOGNITION","Z", , , , , ,"16", ,"300"
"Line(01500)","EMPLOYEE RECOGNITION","Z", , , , , ,"23", ,"73"
"Line(01600)","EMPLOYEE RECOGNITION","Z", , , , , ,"30", ,"297"
"Line(01700)","EMPLOYEE RECOGNITION","Z", , , , , ,"50", ,"1793"
"Line(01800)","EMPLOYEE RECOGNITION","Z", , , , , ,"53", ,"17"
"Line(01900)","EMPLOYEE RECOGNITION","Z", , , , , ,"54", ,"1323"
"Line(02000)","EMPLOYEE RECOGNITION","Z", , , , , ,"56", ,"64"
"Line(02100)","EMPLOYEE RECOGNITION","Z", , , , , ,"60", ,"4376"
"Line(02200)","EMPLOYEE RECOGNITION","Z", , , , , ,"90", ,"239"
"Line(02300)","EMPLOYEE RECOGNITION","Z", , , , , ,"90", ,"202"
"Line(02400)","EMPLOYEE RECOGNITION","Z", , , , , ,"90", ,"221"
"Line(02500)","EMPLOYEE RECOGNITION","Z", , , , , ,"90", ,"1365"
"Line(02600)","EMPLOYEE RECOGNITION","Z", , , , , ,"90", ,"100"
"Line(02700)","EMPLOYEE RECOGNITION","Z", , , , , ,"90", ,"264"
"Line(02800)","EMPLOYEE RECOGNITION","Z", , , , , ,"90", ,"427"
"Line(02900)","EMPLOYEE RECOGNITION","Z", , , , , ,"90", ,"1130"
"Line(03000)","EMPLOYEE RECOGNITION","Z", , , , , ,"90", ,"157"
"Line(03100)","EMPLOYEE RECOGNITION","Z", , , , , ,"90", ,"2328"
"Line(03200)","EMPLOYEE RECOGNITION","Z", , , , , ,"90", ,"897"
"Line(03300)","EMPLOYEE RECOGNITION","Z", , , , , ,"90", ,"967"
"Line(03400)","EMPLOYEE RECOGNITION","Z", , , , , ,"90", ,"26"
"Line(03500)","EMPLOYEE RECOGNITION","Z", , , , , ,"90", ,"13"
"Line(03600)","EMPLOYEE RECOGNITION","Z", , , , , ,"90", ,"16"
"Line(03700)","EMPLOYEE RECOGNITION","Z", , , , , ,"191", ,"10154"
"Line(03800)","EMPLOYEE RECOGNITION","Z", , , , , ,"191", ,"3487"
"Line(03900)","EMPLOYEE RECOGNITION","Z", , , , , ,"194", ,"371194"
"Line(04000)","EMPLOYEE RECOGNITION","Z", , , , , ,"194", ,"547"
