"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 549652"," Report A600AT0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[549652] Report(A600AT0)","Entity[549652] Report(A600AT0[00000])","Entity[549652] Report(A600AT0[00100])", ,"Entity[549652] Report(A600AT0[00300])","Entity[549652] Report(A600AT0[00400])","Entity[549652] Report(A600AT0[00500])", ,"Entity[549652] Report(A600AT0[00700])","Entity[549652] Report(A600AT0[00800])","Entity[549652] Report(A600AT0[00900])"
"Line(00100)","GLOBAL DEVELOPMENT PROGRAM","AT", ,"194","895728","140695", ,"4","6052","480"
"Line(00200)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"4","23022","4397"
"Line(00300)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"5","178","44"
"Line(00400)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"5","8213","429"
"Line(00500)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"6","1531","232"
"Line(00600)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"12","6496","560"
"Line(00700)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"12","189","54"
"Line(00800)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"12","4043","661"
"Line(00900)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"12","31606","7373"
"Line(01000)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"13","21718","2797"
"Line(01100)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"13","11380","1979"
"Line(01200)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"13","8304","1390"
"Line(01300)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"13","195961","26821"
"Line(01400)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"13","129","27"
"Line(01500)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"13","14","3"
"Line(01600)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"15","6260","990"
"Line(01700)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"16","6695","1386"
"Line(01800)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"16","76460","16768"
"Line(01900)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"21","264","33"
"Line(02000)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"50","20042","2609"
"Line(02100)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"53","4718","647"
"Line(02200)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"54","111014","18354"
"Line(02300)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"54","40","9"
"Line(02400)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"55","108402","15463"
"Line(02500)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"60","1973","307"
"Line(02600)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"60","191","24"
"Line(02700)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"62","3432","694"
"Line(02800)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"90","6661","1123"
"Line(02900)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"90","6269","817"
"Line(03000)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"90","2513","340"
"Line(03100)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"90","2223","454"
"Line(03200)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"90","6387","858"
"Line(03300)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"90","35","2"
"Line(03400)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"90","31140","4150"
"Line(03500)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"90","5252","730"
"Line(03600)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"90","11891","1519"
"Line(03700)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"90","77809","9794"
"Line(03800)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"90","9033","1204"
"Line(03900)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"90","1061","157"
"Line(04000)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"90","549","111"
"Line(04100)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"90","514","112"
"Line(04200)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"90","289","68"
"Line(04300)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"191","16516","2660"
"Line(04400)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"191","14","2"
"Line(04500)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"192","48262","9646"
"Line(04600)","GLOBAL DEVELOPMENT PROGRAM","AT", , , , , ,"194","10983","2417"
