"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 549652"," Report A600BA0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[549652] Report(A600BA0)","Entity[549652] Report(A600BA0[00000])","Entity[549652] Report(A600BA0[00100])", ,"Entity[549652] Report(A600BA0[00300])","Entity[549652] Report(A600BA0[00400])", , ,"Entity[549652] Report(A600BA0[00700])","Entity[549652] Report(A600BA0[00800])"
"Line(00100)","I&R SALARIES","BA", ,"21","860189", , ,"4","7332"
"Line(00200)","I&R SALARIES","BA", ,"191","314698", , ,"5","139100"
"Line(00300)","I&R SALARIES","BA", , , , , ,"12","51265"
"Line(00400)","I&R SALARIES","BA", , , , , ,"12","750"
"Line(00500)","I&R SALARIES","BA", , , , , ,"13","12124"
"Line(00600)","I&R SALARIES","BA", , , , , ,"50","174833"
"Line(00700)","I&R SALARIES","BA", , , , , ,"53","11694"
"Line(00800)","I&R SALARIES","BA", , , , , ,"54","121573"
"Line(00900)","I&R SALARIES","BA", , , , , ,"55","78716"
"Line(01000)","I&R SALARIES","BA", , , , , ,"60","90739"
"Line(01100)","I&R SALARIES","BA", , , , , ,"60","496"
"Line(01200)","I&R SALARIES","BA", , , , , ,"65","886"
"Line(01300)","I&R SALARIES","BA", , , , , ,"90","13074"
"Line(01400)","I&R SALARIES","BA", , , , , ,"90","5897"
"Line(01500)","I&R SALARIES","BA", , , , , ,"90","25431"
"Line(01600)","I&R SALARIES","BA", , , , , ,"90","935"
"Line(01700)","I&R SALARIES","BA", , , , , ,"90","4536"
"Line(01800)","I&R SALARIES","BA", , , , , ,"90","11488"
"Line(01900)","I&R SALARIES","BA", , , , , ,"90","5275"
"Line(02000)","I&R SALARIES","BA", , , , , ,"90","154"
"Line(02100)","I&R SALARIES","BA", , , , , ,"90","72748"
"Line(02200)","I&R SALARIES","BA", , , , , ,"90","15439"
"Line(02300)","I&R SALARIES","BA", , , , , ,"90","287108"
"Line(02400)","I&R SALARIES","BA", , , , , ,"90","86"
"Line(02500)","I&R SALARIES","BA", , , , , ,"90","7187"
"Line(02600)","I&R SALARIES","BA", , , , , ,"90","23045"
"Line(02700)","I&R SALARIES","BA", , , , , ,"90","3544"
"Line(02800)","I&R SALARIES","BA", , , , , ,"90","9432"
