"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 549652"," Report A600CE0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[549652] Report(A600CE0)","Entity[549652] Report(A600CE0[00000])","Entity[549652] Report(A600CE0[00100])", ,"Entity[549652] Report(A600CE0[00300])","Entity[549652] Report(A600CE0[00400])", , ,"Entity[549652] Report(A600CE0[00700])","Entity[549652] Report(A600CE0[00800])"
"Line(00100)","MID-LEVEL PROVIDERS","CE", ,"192","58911417", , ,"4","364236"
"Line(00200)","MID-LEVEL PROVIDERS","CE", , , , , ,"5","17851"
"Line(00300)","MID-LEVEL PROVIDERS","CE", , , , , ,"12","22868"
"Line(00400)","MID-LEVEL PROVIDERS","CE", , , , , ,"12","307573"
"Line(00500)","MID-LEVEL PROVIDERS","CE", , , , , ,"12","175800"
"Line(00600)","MID-LEVEL PROVIDERS","CE", , , , , ,"12","500"
"Line(00700)","MID-LEVEL PROVIDERS","CE", , , , , ,"12","30568"
"Line(00800)","MID-LEVEL PROVIDERS","CE", , , , , ,"13","145879"
"Line(00900)","MID-LEVEL PROVIDERS","CE", , , , , ,"13","29469"
"Line(01000)","MID-LEVEL PROVIDERS","CE", , , , , ,"13","47750"
"Line(01100)","MID-LEVEL PROVIDERS","CE", , , , , ,"16","2058"
"Line(01200)","MID-LEVEL PROVIDERS","CE", , , , , ,"21","72841"
"Line(01300)","MID-LEVEL PROVIDERS","CE", , , , , ,"23","281307"
"Line(01400)","MID-LEVEL PROVIDERS","CE", , , , , ,"30","1479"
"Line(01500)","MID-LEVEL PROVIDERS","CE", , , , , ,"31","1282966"
"Line(01600)","MID-LEVEL PROVIDERS","CE", , , , , ,"50","6678574"
"Line(01700)","MID-LEVEL PROVIDERS","CE", , , , , ,"53","12330362"
"Line(01800)","MID-LEVEL PROVIDERS","CE", , , , , ,"54","1076989"
"Line(01900)","MID-LEVEL PROVIDERS","CE", , , , , ,"55","1827739"
"Line(02000)","MID-LEVEL PROVIDERS","CE", , , , , ,"65","527814"
"Line(02100)","MID-LEVEL PROVIDERS","CE", , , , , ,"90","702500"
"Line(02200)","MID-LEVEL PROVIDERS","CE", , , , , ,"90","1470939"
"Line(02300)","MID-LEVEL PROVIDERS","CE", , , , , ,"90","2460318"
"Line(02400)","MID-LEVEL PROVIDERS","CE", , , , , ,"90","4187961"
"Line(02500)","MID-LEVEL PROVIDERS","CE", , , , , ,"90","929107"
"Line(02600)","MID-LEVEL PROVIDERS","CE", , , , , ,"90","3351103"
"Line(02700)","MID-LEVEL PROVIDERS","CE", , , , , ,"90","2131604"
"Line(02800)","MID-LEVEL PROVIDERS","CE", , , , , ,"90","91367"
"Line(02900)","MID-LEVEL PROVIDERS","CE", , , , , ,"90","2145814"
"Line(03000)","MID-LEVEL PROVIDERS","CE", , , , , ,"90","1266989"
"Line(03100)","MID-LEVEL PROVIDERS","CE", , , , , ,"90","40644"
"Line(03200)","MID-LEVEL PROVIDERS","CE", , , , , ,"90","632820"
"Line(03300)","MID-LEVEL PROVIDERS","CE", , , , , ,"90","1593384"
"Line(03400)","MID-LEVEL PROVIDERS","CE", , , , , ,"90","1512210"
"Line(03500)","MID-LEVEL PROVIDERS","CE", , , , , ,"90","2010291"
"Line(03600)","MID-LEVEL PROVIDERS","CE", , , , , ,"90","2871528"
"Line(03700)","MID-LEVEL PROVIDERS","CE", , , , , ,"90","2694364"
"Line(03800)","MID-LEVEL PROVIDERS","CE", , , , , ,"90","1040828"
"Line(03900)","MID-LEVEL PROVIDERS","CE", , , , , ,"90","534811"
"Line(04000)","MID-LEVEL PROVIDERS","CE", , , , , ,"90","790296"
"Line(04100)","MID-LEVEL PROVIDERS","CE", , , , , ,"90","680472"
"Line(04200)","MID-LEVEL PROVIDERS","CE", , , , , ,"90","547444"
