"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 549652"," Report A600CF0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[549652] Report(A600CF0)","Entity[549652] Report(A600CF0[00000])","Entity[549652] Report(A600CF0[00100])", ,"Entity[549652] Report(A600CF0[00300])", ,"Entity[549652] Report(A600CF0[00500])", ,"Entity[549652] Report(A600CF0[00700])", ,"Entity[549652] Report(A600CF0[00900])"
"Line(00100)","IDENTIFY SAP","CF", ,"4", ,"53916885", ,"4", ,"117393"
"Line(00200)","IDENTIFY SAP","CF", , , , , ,"5", ,"471992"
"Line(00300)","IDENTIFY SAP","CF", , , , , ,"12", ,"10605"
"Line(00400)","IDENTIFY SAP","CF", , , , , ,"12", ,"116830"
"Line(00500)","IDENTIFY SAP","CF", , , , , ,"12", ,"186794"
"Line(00600)","IDENTIFY SAP","CF", , , , , ,"12", ,"354684"
"Line(00700)","IDENTIFY SAP","CF", , , , , ,"12", ,"116030"
"Line(00800)","IDENTIFY SAP","CF", , , , , ,"13", ,"514604"
"Line(00900)","IDENTIFY SAP","CF", , , , , ,"13", ,"26941"
"Line(01000)","IDENTIFY SAP","CF", , , , , ,"13", ,"72796"
"Line(01100)","IDENTIFY SAP","CF", , , , , ,"13", ,"79607"
"Line(01200)","IDENTIFY SAP","CF", , , , , ,"21", ,"96396"
"Line(01300)","IDENTIFY SAP","CF", , , , , ,"31", ,"845198"
"Line(01400)","IDENTIFY SAP","CF", , , , , ,"50", ,"3588455"
"Line(01500)","IDENTIFY SAP","CF", , , , , ,"53", ,"4891596"
"Line(01600)","IDENTIFY SAP","CF", , , , , ,"54", ,"7696290"
"Line(01700)","IDENTIFY SAP","CF", , , , , ,"55", ,"4224870"
"Line(01800)","IDENTIFY SAP","CF", , , , , ,"56", ,"553391"
"Line(01900)","IDENTIFY SAP","CF", , , , , ,"60", ,"3787810"
"Line(02000)","IDENTIFY SAP","CF", , , , , ,"60", ,"424476"
"Line(02100)","IDENTIFY SAP","CF", , , , , ,"65", ,"757794"
"Line(02200)","IDENTIFY SAP","CF", , , , , ,"90", ,"617842"
"Line(02300)","IDENTIFY SAP","CF", , , , , ,"90", ,"945161"
"Line(02400)","IDENTIFY SAP","CF", , , , , ,"90", ,"1805438"
"Line(02500)","IDENTIFY SAP","CF", , , , , ,"90", ,"1301747"
"Line(02600)","IDENTIFY SAP","CF", , , , , ,"90", ,"829438"
"Line(02700)","IDENTIFY SAP","CF", , , , , ,"90", ,"1161432"
"Line(02800)","IDENTIFY SAP","CF", , , , , ,"90", ,"1851538"
"Line(02900)","IDENTIFY SAP","CF", , , , , ,"90", ,"700549"
"Line(03000)","IDENTIFY SAP","CF", , , , , ,"90", ,"766869"
"Line(03100)","IDENTIFY SAP","CF", , , , , ,"90", ,"620076"
"Line(03200)","IDENTIFY SAP","CF", , , , , ,"90", ,"725371"
"Line(03300)","IDENTIFY SAP","CF", , , , , ,"90", ,"913119"
"Line(03400)","IDENTIFY SAP","CF", , , , , ,"90", ,"1142896"
"Line(03500)","IDENTIFY SAP","CF", , , , , ,"90", ,"1057473"
"Line(03600)","IDENTIFY SAP","CF", , , , , ,"90", ,"1424001"
"Line(03700)","IDENTIFY SAP","CF", , , , , ,"90", ,"2001109"
"Line(03800)","IDENTIFY SAP","CF", , , , , ,"90", ,"1565841"
"Line(03900)","IDENTIFY SAP","CF", , , , , ,"90", ,"904415"
"Line(04000)","IDENTIFY SAP","CF", , , , , ,"90", ,"69069"
"Line(04100)","IDENTIFY SAP","CF", , , , , ,"90", ,"51724"
"Line(04200)","IDENTIFY SAP","CF", , , , , ,"191", ,"4068696"
"Line(04300)","IDENTIFY SAP","CF", , , , , ,"192", ,"373541"
"Line(04400)","IDENTIFY SAP","CF", , , , , ,"194", ,"84988"
