"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 549652"," Report A600CH0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[549652] Report(A600CH0)","Entity[549652] Report(A600CH0[00000])","Entity[549652] Report(A600CH0[00100])", ,"Entity[549652] Report(A600CH0[00300])", ,"Entity[549652] Report(A600CH0[00500])", ,"Entity[549652] Report(A600CH0[00700])", ,"Entity[549652] Report(A600CH0[00900])"
"Line(00100)","EMPLOYEE BENEFITS- FG 30 70 & 80","CH", ,"4", ,"28046620", ,"5", ,"11885"
"Line(00200)","EMPLOYEE BENEFITS- FG 30 70 & 80","CH", ,"4", ,"231930", ,"5", ,"1183534"
"Line(00300)","EMPLOYEE BENEFITS- FG 30 70 & 80","CH", ,"6", ,"647756", ,"10", ,"8109"
"Line(00400)","EMPLOYEE BENEFITS- FG 30 70 & 80","CH", ,"90", ,"1430", ,"12", ,"7759"
"Line(00500)","EMPLOYEE BENEFITS- FG 30 70 & 80","CH", ,"192", ,"17832", ,"12", ,"43978"
"Line(00600)","EMPLOYEE BENEFITS- FG 30 70 & 80","CH", , , , , ,"12", ,"1248"
"Line(00700)","EMPLOYEE BENEFITS- FG 30 70 & 80","CH", , , , , ,"12", ,"88"
"Line(00800)","EMPLOYEE BENEFITS- FG 30 70 & 80","CH", , , , , ,"13", ,"95513"
"Line(00900)","EMPLOYEE BENEFITS- FG 30 70 & 80","CH", , , , , ,"13", ,"2412"
"Line(01000)","EMPLOYEE BENEFITS- FG 30 70 & 80","CH", , , , , ,"13", ,"267773"
"Line(01100)","EMPLOYEE BENEFITS- FG 30 70 & 80","CH", , , , , ,"13", ,"58"
"Line(01200)","EMPLOYEE BENEFITS- FG 30 70 & 80","CH", , , , , ,"13", ,"357380"
"Line(01300)","EMPLOYEE BENEFITS- FG 30 70 & 80","CH", , , , , ,"13", ,"3746"
"Line(01400)","EMPLOYEE BENEFITS- FG 30 70 & 80","CH", , , , , ,"15", ,"5060"
"Line(01500)","EMPLOYEE BENEFITS- FG 30 70 & 80","CH", , , , , ,"16", ,"38465"
"Line(01600)","EMPLOYEE BENEFITS- FG 30 70 & 80","CH", , , , , ,"16", ,"3007"
"Line(01700)","EMPLOYEE BENEFITS- FG 30 70 & 80","CH", , , , , ,"17", ,"2595"
"Line(01800)","EMPLOYEE BENEFITS- FG 30 70 & 80","CH", , , , , ,"21", ,"45234"
"Line(01900)","EMPLOYEE BENEFITS- FG 30 70 & 80","CH", , , , , ,"23", ,"146235"
"Line(02000)","EMPLOYEE BENEFITS- FG 30 70 & 80","CH", , , , , ,"23", ,"39143"
"Line(02100)","EMPLOYEE BENEFITS- FG 30 70 & 80","CH", , , , , ,"30", ,"761"
"Line(02200)","EMPLOYEE BENEFITS- FG 30 70 & 80","CH", , , , , ,"53", ,"8505"
"Line(02300)","EMPLOYEE BENEFITS- FG 30 70 & 80","CH", , , , , ,"54", ,"20016"
"Line(02400)","EMPLOYEE BENEFITS- FG 30 70 & 80","CH", , , , , ,"55", ,"66720"
"Line(02500)","EMPLOYEE BENEFITS- FG 30 70 & 80","CH", , , , , ,"62", ,"7873"
"Line(02600)","EMPLOYEE BENEFITS- FG 30 70 & 80","CH", , , , , ,"62", ,"127"
"Line(02700)","EMPLOYEE BENEFITS- FG 30 70 & 80","CH", , , , , ,"90", ,"258"
"Line(02800)","EMPLOYEE BENEFITS- FG 30 70 & 80","CH", , , , , ,"90", ,"88949"
"Line(02900)","EMPLOYEE BENEFITS- FG 30 70 & 80","CH", , , , , ,"90", ,"1888"
"Line(03000)","EMPLOYEE BENEFITS- FG 30 70 & 80","CH", , , , , ,"90", ,"38378"
"Line(03100)","EMPLOYEE BENEFITS- FG 30 70 & 80","CH", , , , , ,"90", ,"16264"
"Line(03200)","EMPLOYEE BENEFITS- FG 30 70 & 80","CH", , , , , ,"90", ,"2717"
"Line(03300)","EMPLOYEE BENEFITS- FG 30 70 & 80","CH", , , , , ,"90", ,"37962"
"Line(03400)","EMPLOYEE BENEFITS- FG 30 70 & 80","CH", , , , , ,"90", ,"7"
"Line(03500)","EMPLOYEE BENEFITS- FG 30 70 & 80","CH", , , , , ,"90", ,"229"
"Line(03600)","EMPLOYEE BENEFITS- FG 30 70 & 80","CH", , , , , ,"190", ,"217967"
"Line(03700)","EMPLOYEE BENEFITS- FG 30 70 & 80","CH", , , , , ,"191", ,"23597037"
"Line(03800)","EMPLOYEE BENEFITS- FG 30 70 & 80","CH", , , , , ,"191", ,"1085819"
"Line(03900)","EMPLOYEE BENEFITS- FG 30 70 & 80","CH", , , , , ,"194", ,"1490869"
