"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 549652"," Report A600DK0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[549652] Report(A600DK0)","Entity[549652] Report(A600DK0[00000])","Entity[549652] Report(A600DK0[00100])", ,"Entity[549652] Report(A600DK0[00300])", ,"Entity[549652] Report(A600DK0[00500])", ,"Entity[549652] Report(A600DK0[00700])", ,"Entity[549652] Report(A600DK0[00900])"
"Line(00100)","CONTRACTED PHYSICIANS","DK", ,"192", ,"4134512", ,"50", ,"669616"
"Line(00200)","CONTRACTED PHYSICIANS","DK", , , , , ,"54", ,"808975"
"Line(00300)","CONTRACTED PHYSICIANS","DK", , , , , ,"60", ,"217051"
"Line(00400)","CONTRACTED PHYSICIANS","DK", , , , , ,"90", ,"21067"
"Line(00500)","CONTRACTED PHYSICIANS","DK", , , , , ,"90", ,"242697"
"Line(00600)","CONTRACTED PHYSICIANS","DK", , , , , ,"90", ,"25013"
"Line(00700)","CONTRACTED PHYSICIANS","DK", , , , , ,"90", ,"12300"
"Line(00800)","CONTRACTED PHYSICIANS","DK", , , , , ,"90", ,"497286"
"Line(00900)","CONTRACTED PHYSICIANS","DK", , , , , ,"90", ,"636379"
"Line(01000)","CONTRACTED PHYSICIANS","DK", , , , , ,"90", ,"132603"
"Line(01100)","CONTRACTED PHYSICIANS","DK", , , , , ,"90", ,"283020"
"Line(01200)","CONTRACTED PHYSICIANS","DK", , , , , ,"90", ,"284635"
"Line(01300)","CONTRACTED PHYSICIANS","DK", , , , , ,"90", ,"303870"
