"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 549652"," Report A700003 ","-------------","-------------","-----------",""
"","","","","","Acquisitions","","","Disposals","","Fully"
"","","","","Beginning","","","","and","Ending","Depreciated"
"","","Description","","Balances","Purchases","Donation","Total","Retirements","Balance","Assets"
"","","","","1","2","3","4","5","6","7"
"Entity[549652] Report(A700003)", , , , ,"Entity[549652] Report(A700003[00400])", , , , ,"Entity[549652] Report(A700003[00900])","Entity[549652] Report(A700003[01000])", ,"Entity[549652] Report(A700003[01200])", , ,"Entity[549652] Report(A700003[01500])"
"Line(00100)", , , , ,"1"
"Line(00101)", , , , , , , , , ,"27162093", , , , , ,"27162093"
"Line(00102)", , , , , , , , , ,"20390395", , , , , ,"20390395"
"Line(00103)", , , , , , , , , ,"1011999", , , , , ,"1011999"
"Line(00104)", , , , , , , , , ,"14040649", , , , , ,"14040649"
"Line(00105)", , , , , , , , , ,"3358029", , , , , ,"3358029"
"Line(00106)", , , , , , , , , ,"66358", , , , , ,"66358"
"Line(00107)", , , , , , , , , ,"921571", , , , , ,"921571"
"Line(00108)", , , , , , , , , ,"37001", , , , , ,"37001"
"Line(00109)", , , , , , , , , ,"5943646", , , , , ,"5943646"
"Line(00110)", , , , , , , , , ,"1701340", , , , , ,"1701340"
"Line(00111)", , , , , , , , , ,"45989", , , , , ,"45989"
"Line(00112)", , , , , , , , , ,"7047420", , , , , ,"7047420"
"Line(00113)", , , , , , , , , ,"3890105", , , , , ,"3890105"
"Line(00115)", , , , , , , , , ,"3011952", , , , , ,"3011952"
"Line(00116)", , , , , , , , , ,"2705451", , , , , ,"2705451"
"Line(00117)", , , , , , , , , ,"4649867", , , , , ,"4649867"
"Line(00118)", , , , , , , , , ,"3536871", , , , , ,"3536871"
"Line(00119)", , , , , , , , , ,"368907", , , , , ,"368907"
"Line(00120)", , , , , , , , , ,"661715", , , , , ,"661715"
"Line(00121)", , , , , , , , , ,"18405246", , , , , ,"18405246"
"Line(00122)", , , , , , , , , ,"1779776", , , , , ,"1779776"
"Line(00123)", , , , , , , , , ,"7323991", , , , , ,"7323991"
"Line(00124)", , , , , , , , , ,"567270", , , , , ,"567270"
"Line(00125)", , , , , , , , , ,"636077", , , , , ,"636077"
"Line(00126)", , , , , , , , , ,"1367784", , , , , ,"1367784"
"Line(00127)", , , , , , , , , ,"852847", , , , , ,"852847"
"Line(00128)", , , , , , , , , ,"467355", , , , , ,"467355"
"Line(00129)", , , , , , , , , ,"6964020", , , , , ,"6964020"
"Line(00130)", , , , , , , , , ,"3980473", , , , , ,"3980473"
"Line(00131)", , , , , , , , , ,"1970827", , , , , ,"1970827"
"Line(00132)", , , , , , , , , ,"2972623", , , , , ,"2972623"
"Line(00133)", , , , , , , , , ,"82752", , , , , ,"82752"
"Line(00134)", , , , , , , , , ,"69234", , , , , ,"69234"
"Line(00135)", , , , , , , , , ,"60409", , , , , ,"60409"
"Line(00136)", , , , , , , , , ,"974772", , , , , ,"974772"
"Line(00137)", , , , , , , , , ,"6289907", , , , , ,"6289907"
"Line(00138)", , , , , , , , , ,"5215968", , , , , ,"5215968"
"Line(00139)", , , , , , , , , ,"239040", , , , , ,"239040"
"Line(00140)", , , , , , , , , ,"4563943", , , , , ,"4563943"
"Line(00141)", , , , , , , , , ,"140908", , , , , ,"140908"
"Line(00142)", , , , , , , , , ,"750636", , , , , ,"750636"
"Line(00200)", , , , , , , , , ,"115444810","15802730", ,"7013226", , ,"138260766"
"Line(00201)", , , , , , , , , ,"2365978", , , , , ,"2365978"
