"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 549652"," Report B000002 ","-------------","-------------","-----------",""
"","","","ASSIGNED","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","","NEW CAPITAL"," "," ","SUBTOTAL","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","","COST CENTER DESCRIPTIONS","RELATED","BLDGS. &","MOVABLE","(sum of","EMPLOYEE","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","","COSTS","FIXTURES","EQUIPMENT","(cols. 0-2)","BENEFITS","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","0","1","2","2A","4","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[549652] Report(B000002)","Entity[549652] Report(B000002[00000])", ,"Entity[549652] Report(B000002[00200])", ,"Entity[549652] Report(B000002[00400])", ,"Entity[549652] Report(B000002[00600])","Entity[549652] Report(B000002[00700])","Entity[549652] Report(B000002[00800])","Entity[549652] Report(B000002[00900])","Entity[549652] Report(B000002[01000])","Entity[549652] Report(B000002[01100])", , ,"Entity[549652] Report(B000002[01400])","Entity[549652] Report(B000002[01500])","Entity[549652] Report(B000002[01600])","Entity[549652] Report(B000002[01700])", , , ,"Entity[549652] Report(B000002[02100])", , ,"Entity[549652] Report(B000002[02400])", ,"Entity[549652] Report(B000002[02600])"
"Line(00400)", , ,"101824", ,"1131739"
"Line(00502)","1407880", ,"49205734", ,"48044"
"Line(00503)", , ,"259396", ,"5896"
"Line(00504)", , ,"2689", ,"483"
"Line(00505)", , ,"68802", ,"5419"
"Line(00506)","1322743", ,"18650437", ,"40239"
"Line(00600)","5733493", ,"1039382", ,"41186", ,"93827807"
"Line(00700)", , ,"325311", ,"10813", ,"740785","2729981"
"Line(00800)", , , , , , , , ,"44685"
"Line(00900)","32355", ,"128194", ,"6704", ,"619246","18161","18","1441588"
"Line(01000)", , ,"4197", ,"1971", ,"75658","2219","155","1180","513747"
"Line(01100)", , ,"96446", ,"9373", ,"2903020","85137","185","45259", ,"5188835"
"Line(01210)", , ,"55850", ,"2492", ,"269739","7911", ,"4205", ,"11789"
"Line(01211)", , , , ,"151", , , , , , ,"402"
"Line(01212)", , ,"15189", ,"3128", ,"203644","5972", ,"3175", ,"15346"
"Line(01213)", , , , ,"151", ,"5573","163", ,"87", ,"2726"
"Line(01214)", , ,"4734", ,"15", , , , , , ,"6"
"Line(01215)", , ,"3520", ,"1167", ,"49164","1442", ,"766", ,"5124"
"Line(01216)", , , , ,"13", ,"61537","1805","89","959"
"Line(01217)", , ,"4429"
"Line(01218)", , ,"56929", ,"2405", ,"202936","5952", ,"3164", ,"14600"
"Line(01219)", , ,"100284", ,"2743", ,"275170","8070", ,"4290", ,"24857"
"Line(01301)","12307", ,"670892", ,"29468", ,"1781819","52256","7523","27779", ,"204829"
"Line(01302)", , ,"22442", ,"9427", ,"369838","10846", ,"5766", ,"44548"
"Line(01303)","48276", ,"2510878", ,"13291", ,"584226","17134", ,"9108", ,"83915"
"Line(01304)", , ,"38433", ,"1981", ,"232902","6830","836","3631", ,"27216"
"Line(01305)", , ,"276628", ,"1208", ,"165721","4860","27","2584", ,"9605"
"Line(01306)","309210", ,"7409", ,"1517", ,"2786510","81720", ,"43442", ,"6260"
"Line(01400)", , ,"2041032", , , ,"2569359","75352", ,"40057", , , , ,"6575713"
"Line(01500)","197534", ,"4005669", ,"30538", ,"1139975","33432","1150","17772", ,"163279", , , ,"8128032"
