"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 549652"," Report C000001 ","-------------","-------------","-----------",""
"","","","(from Wkst.","Therapy","","RCE","","","","Total","","TEFRA","PPS"
"","","COST CENTER DESCRIPTIONS","\"B"," Part I","\"","Limit","Total","Dis-","Total","","","(column 6","Cost or ","Inpatient","Inpatient"
"","","","col. 26)","Adj.","Costs","allowance","Costs","Inpatient","Outpatient","+ column 7)","Other Ratio","Ratio","Ratio"
"","","","1","2","3","4","5","6","7","8","9","10","11"
"Entity[549652] Report(C000001)", ,"Entity[549652] Report(C000001[00100])", ,"Entity[549652] Report(C000001[00300])", , ,"Entity[549652] Report(C000001[00600])","Entity[549652] Report(C000001[00700])","Entity[549652] Report(C000001[00800])","Entity[549652] Report(C000001[00900])","Entity[549652] Report(C000001[01000])"
"Line(03000)", ,"264115953", ,"264115953", , ,"358660077", ,"358660077"
"Line(03100)", ,"31984895", ,"31984895", , ,"47171880", ,"47171880"
"Line(05000)", ,"146785298", ,"146785298", , ,"159020497","111143111","270163608","1","1"
"Line(05300)", ,"30721359", ,"30721359", , ,"40488845","47713233","88202078","0","0"
"Line(05400)", ,"166980625", ,"166980625", , ,"121202799","791481865","912684664","0","0"
"Line(05401)", ,"6819676", ,"6819676", , ,"5959990","106118290","112078280","0","0"
"Line(05500)", ,"80608336", ,"80608336", , ,"17860840","258867915","276728755","0","0"
"Line(05600)", ,"8685871", ,"8685871", , ,"1205254","19713979","20919233","0","0"
"Line(05900)", ,"2600433", ,"2600433", , ,"4287613","4267301","8554914","0","0"
"Line(06001)", ,"41370211", ,"41370211", , ,"17235495","51947865","69183360","1","1"
"Line(06002)", ,"95646742", ,"95646742", , ,"245576417","466718369","712294786","0","0"
"Line(06200)", ,"35273914", ,"35273914", , ,"59200756","35928953","95129709","0","0"
"Line(06201)", ,"26839153", ,"26839153", , ,"24503635","18820696","43324331","1","1"
"Line(06500)", ,"13229654", ,"13229654", , ,"78495939","850906","79346845","0","0"
"Line(06600)", ,"13780745", ,"13780745", , ,"17303865","6718550","24022415","1","1"
"Line(06900)", ,"7297243", ,"7297243", , ,"16601234","45554105","62155339","0","0"
"Line(07000)", ,"793662", ,"793662", , ,"2022318","1088973","3111291","0","0"
"Line(07100)", ,"28645758", ,"28645758", , ,"22240753","16746612","38987365","1","1"
"Line(07200)", ,"21408267", ,"21408267", , ,"10764854","14092352","24857206","1","1"
"Line(07300)", ,"499270890", ,"499270890", , ,"642314402","987096619","1629411021","0","0"
"Line(09001)", ,"7182660", ,"7182660", , ,"69910","3476281","3546191","2","2"
"Line(09002)", ,"13664874", ,"13664874", , ,"5447530","22542092","27989622","0","0"
"Line(09003)", ,"369628", ,"369628", , ,"17623","165452","183075","2","2"
"Line(09004)", ,"16757198", ,"16757198", , ,"450717","6424745","6875462","2","2"
"Line(09005)", ,"34996827", ,"34996827", , ,"7459450","50130637","57590087","1","1"
"Line(09006)", ,"20063273", ,"20063273", , ,"911370","8643750","9555120","2","2"
"Line(09007)", ,"15581321", ,"15581321", , ,"443160","7380834","7823994","2","2"
"Line(09008)", ,"9523617", ,"9523617", , ,"6291444","27428479","33719923","0","0"
"Line(09009)", ,"17433166", ,"17433166", , ,"500836","8852273","9353109","2","2"
"Line(09010)", ,"16423128", ,"16423128", , ,"907100","5560989","6468089","3","3"
"Line(09011)", ,"8386887", ,"8386887", , ,"121602","8400342","8521944","1","1"
"Line(09012)", ,"7883156", ,"7883156", , ,"79878","2816341","2896219","3","3"
"Line(09013)", ,"17472962", ,"17472962", , ,"46317","9436673","9482990","2","2"
"Line(09014)", ,"19398291", ,"19398291", , ,"32721704","20977120","53698824","0","0"
"Line(09015)", ,"8114025", ,"8114025", , ,"169741","5273638","5443379","1","1"
"Line(09016)", ,"9580836", ,"9580836", , ,"96440","4259387","4355827","2","2"
"Line(09017)", ,"18256316", ,"18256316", , ,"92828","4664946","4757774","4","4"
"Line(09018)", ,"17226336", ,"17226336", , ,"98247","6462683","6560930","3","3"
"Line(09019)", ,"10361711", ,"10361711", , ,"154341","13414633","13568974","1","1"
"Line(09020)", ,"26371098", ,"26371098", , ,"3308372","20030560","23338932","1","1"
"Line(09021)", ,"25332824", ,"25332824", , ,"291649","19903239","20194888","1","1"
"Line(09022)", ,"32310044", ,"32310044", , ,"1957298","126434612","128391910","0","0"
"Line(09023)", ,"527353", ,"527353", , ,"3963","125405","129368","4","4"
"Line(09024)", ,"4735080", ,"4735080", , ,"24692","2040342","2065034","2","2"
"Line(09025)", ,"16756330", ,"16756330", , ,"290155","18878436","19168591","1","1"
"Line(09026)", ,"10938088", ,"10938088", , ,"217762","5739146","5956908","2","2"
"Line(09027)", ,"12286239", ,"12286239", , ,"112445","38658174","38770619","0","0"
"Line(09028)", ,"20020397", ,"20020397", , ,"148736","38142777","38291513","1","1"
"Line(09029)", ,"15508540", ,"15508540", , ,"89823","32154687","32244510","0","0"
"Line(09030)", ,"21349335", ,"21349335", , ,"160402","47558823","47719225","0","0"
"Line(09200)", ,"5481868", ,"5481868", , ,"306380","4941602","5247982","1","1"
"Line(09700)", ,"193646", ,"193646", , ,"130455","40725","171180","1","1"
"Line(10000)", ,"7844566", ,"7844566"
"Line(20000)", ,"1991190305", ,"1991190305", , ,"1955239833","2147483647","2147483647"
"Line(20100)", ,"5481868", ,"5481868"
