"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 549652"," Report D00A184 ","-------------","-------------","-----------",""
"","applicable","","\"   [ ] Title XVIII"," Part A\"","","","   [ ] IPF","           [ ] SNF","","","   [ ] TEFRA"
"","boxes:","","   [ ] Title XIX","","","   [ ] IRF","           [ ] NF","","",""
"","","","","","","","","","",""
"","","","","","","","","All","","Total"
"","","","","","Non","","","Other ","","Outpatient"
"","","","","","Physician","","","Medical","Total cost","Cost"
"","","","","","Anesthetist","Nursing","Allied","Education","(sum of col 1","\"(sum of col. 2","\""
"","","","","","Cost","School","Health","Cost","through col. 4)","3 and 4)"
"","Cost Center Description","","","","1","2","3","4","5","6"
"","ANCILLARY SERVICE COST CENTERS","","","","","","","","",""
"Entity[549652] Report(D00A184)", , , ,"Entity[549652] Report(D00A184[00300])", ,"Entity[549652] Report(D00A184[00500])","Entity[549652] Report(D00A184[00600])","Entity[549652] Report(D00A184[00700])","Entity[549652] Report(D00A184[00800])","Entity[549652] Report(D00A184[00900])","Entity[549652] Report(D00A184[01000])","Entity[549652] Report(D00A184[01100])","Entity[549652] Report(D00A184[01200])","Entity[549652] Report(D00A184[01300])"
"Line(05000)", , , , , , , ,"270163608", , ,"40135929", ,"8453675"
"Line(05300)", , , , , , , ,"88202078", , ,"11271364", ,"4035594"
"Line(05400)", , , ,"3829861", ,"3829861","3829861","912684664","0","0","37357148","156751","77635814","325760"
"Line(05401)", , , , , , , ,"112078280", , ,"1766553", ,"11839683"
"Line(05500)", , , ,"1276620", ,"1276620","1276620","276728755","0","0","4814404","22209","21945511","101235"
"Line(05600)", , , , , , , ,"20919233", , ,"458734", ,"2184323"
"Line(05900)", , , , , , , ,"8554914", , ,"2187153", ,"704656"
"Line(06001)", , , ,"1276620", ,"1276620","1276620","69183360","0","0","5065266","93469","3588464","66218"
"Line(06002)", , , ,"3829863", ,"3829863","3829863","712294786","0","0","76318338","410364","6875761","36971"
"Line(06200)", , , , , , , ,"95129709", , ,"17143670", ,"1870850"
"Line(06201)", , , , , , , ,"43324331", , ,"3898961", ,"1029113"
"Line(06500)", , , , , , , ,"79346845", , ,"29877943", ,"90299"
"Line(06600)", , , , , , , ,"24022415", , ,"6453281", ,"2816"
"Line(06900)", , , , , , , ,"62155339", , ,"6404235", ,"5126403"
"Line(07000)", , , , , , , ,"3111291", , ,"497501", ,"75849"
"Line(07100)", , , , , , , ,"38987365", , ,"7174864", ,"1631173"
"Line(07200)", , , , , , , ,"24857206", , ,"2737541", ,"1256593"
"Line(07300)", , , ,"2459721", ,"2459721","2459721","1629411021","0","0","168542191","254499","97312388","146942"
"Line(09001)", , , ,"4342", ,"4342","4342","3546191","0","0","23961","29","466911","571"
"Line(09002)", , , ,"8441", ,"8441","8441","27989622","0","0","1404381","424","1582846","478"
"Line(09003)", , , ,"189", ,"189","189","183075","0","0","6865","7","15980","16"
"Line(09004)", , , ,"11218", ,"11218","11218","6875462","0","0","2239","4","7371","12"
"Line(09005)", , , ,"21142", ,"21142","21142","57590087","0","0","2627971","964","5329177","1956"
"Line(09006)", , , ,"13322", ,"13322","13322","9555120","0","0","277377","387","1039214","1449"
"Line(09007)", , , ,"15236", ,"15236","15236","7823994","0","0","125457","244","835538","1627"
"Line(09008)", , , ,"2373", ,"2373","2373","33719923","0","0","1475319","103","2148028","150"
"Line(09009)", , , ,"30877", ,"30877","30877","9353109","0","0","130182","430","779220","2572"
"Line(09010)", , , ,"6796", ,"6796","6796","6468089","0","0","123164","129","425867","448"
"Line(09011)", , , ,"9600", ,"9600","9600","8521944","0","0","23728","27","908331","1024"
"Line(09012)", , , ,"4611", ,"4611","4611","2896219","0","0","17054","27","238680","380"
"Line(09013)", , , ,"15074", ,"15074","15074","9482990","0","0","10176","16","667374","1061"
"Line(09014)", , , ,"15263", ,"15263","15263","53698824","0","0","11394132","3236","1830725","520"
"Line(09015)", , , ,"7659", ,"7659","7659","5443379","0","0","64454","91","715832","1007"
"Line(09016)", , , ,"18445", ,"18445","18445","4355827","0","0","40054","170","548353","2322"
"Line(09017)", , , ,"8009", ,"8009","8009","4757774","0","0","28226","48","371373","625"
"Line(09018)", , , ,"6930", ,"6930","6930","6560930","0","0","44252","47","688911","727"
"Line(09019)", , , ,"7820", ,"7820","7820","13568974","0","0","43947","25","1381793","796"
"Line(09020)", , , ,"20495", ,"20495","20495","23338932","0","0","1190342","1045","1587480","1394"
"Line(09021)", , , ,"17744", ,"17744","17744","20194888","0","0","100883","89","2501032","2198"
"Line(09022)", , , ,"35164", ,"35164","35164","128391910","0","0","572744","157","11605388","3180"
"Line(09023)", , , , , , , ,"129368", , , , ,"2005"
"Line(09024)", , , ,"21735", ,"21735","21735","2065034","0","0","7613","80","209306","2203"
"Line(09025)", , , ,"5879", ,"5879","5879","19168591","0","0","64567","20","1198961","368"
"Line(09026)", , , ,"14805", ,"14805","14805","5956908","0","0","50795","126","616668","1532"
"Line(09027)", , , , , , , ,"38770619", , ,"41329", ,"3347895"
"Line(09028)", , , , , , , ,"38291513", , ,"44578", ,"3073209"
"Line(09029)", , , , , , , ,"32244510", , ,"24743", ,"3244184"
"Line(09030)", , , , , , , ,"47719225", , ,"55024", ,"4432592"
"Line(09200)", , , ,"15733", ,"15733","15733","5247982","0","0","107533","322","396243","1188"
"Line(09700)", , , , , , , ,"171180", , ,"29298"
