"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 549652"," Report E00A18B ","-------------","-------------","-----------",""
"","PART B - MEDICAL AND OTHER HEALTH SERVICES","","","","","",""
"1"," Medical and other services  (see instructions)","","","","","","1"
"2"," Medical and other services reimbursed under OPPS  (see instructions).","","","","","","2"
"3"," PPS payments","","","","","","3"
"4"," Outlier payment  (see instructions)","","","","","","4"
"5"," Enter the hospital specific payment to cost ratio  (see instructions)","","","","","","5"
"6"," Line 2 times line 5","","","","","","6"
"7"," Sum of lines line 3 plus line 4 divided by line 6","","","","","","7"
"8"," Transitional corridor payment  (see instructions)","","","","","","8"
"9","\" Ancillary service other pass through costs from Worksheet D"," Part IV"," column 13"," line 200\"","","","","","","9"
"10"," Organ acquisition","","","","","","10"
"11"," Total cost (sum of lines 1 and 10)  (see instructions)","","","","","","11"
"","COMPUTATION OF LESSER OF COST OR CHARGES","","","","","",""
"","Reasonable charges","","","","","",""
"12"," Ancillary service charges","","","","","","12"
"13","\" Organ acquisition charges (from Worksheet D-4"," Part III"," line 69"," col. 4)\"","","","","","","13"
"14"," Total reasonable charges (sum of lines 12 and 13)","","","","","","14"
"","Customary charges","","","","","",""
"15"," Aggregate amount actually collected from patients liable for payment for services on a charge basis","","","","","","15"
"16"," Amounts that would have been realized from patients liable for payment for services on a charge  ","","","","","","16"
""," basis had such payment been made in accordance with 42 CFR 413.13(e)","","","","","",""
"17"," Ratio of line 15 to line 16 (not to exceed 1.000000)","","","","","","17"
"18"," Total customary charges  (see instructions)","","","","","","18"
"19"," Excess of customary charges over reasonable cost (complete only if line 18 exceeds line 11)  (see instructions)","","","","","","19"
"20"," Excess of reasonable cost over customary charges (complete only if line 11 exceeds line 18)  (see instructions)","","","","","","20"
"21","\" Lesser of cost or charges (line 11 minus line 20)  (for CAH"," see instructions)\"","","","","","","21"
"22"," Interns and residents  (see instructions)","","","","","","22"
"23","\" Cost of teaching physicians (see instructions"," 42 CFR 415.160 and CMS Pub. 15-1"," �2148)\"","","","","","","23"
