"----------"," Entity 553807"," Report A000000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"COST CENTER DESCRIPTIONS","","","TOTAL","RECLASSIFI-","TRIAL BALANCE","","FOR ALLOCATION", , , , , , , , , , , , 
"(omit cents)","SALARIES","OTHER","(col. 1 + col. 2)","CATIONS","(col. 3 ± col. 4)","ADJUSTMENTS","(col. 5 ± col. 6)", , , , , , , , , , , , 
"","1","2","3","4","5","6","7", , , , , , , , , , , , 
"Entity[553807] Report(A000000[00000])","Entity[553807] Report(A000000[00100])","Entity[553807] Report(A000000[00200])","Entity[553807] Report(A000000[00300])","Entity[553807] Report(A000000[00400])","Entity[553807] Report(A000000[00500])","Entity[553807] Report(A000000[00600])","Entity[553807] Report(A000000[00700])", , , , , , , , , , , , 
"00100CAP REL COSTS-BLDG & FIXT", ,"65994554","65994554","-35395575","30598979","-2733580","27865399", , , , , , , , , , , , 
"00200CAP REL COSTS-MVBLE EQUIP", , , ,"35957708","35957708","1877081","37834789", , , , , , , , , , , , 
"00300OTHER CAP REL COSTS", , , , , , , , , , , , , , , , , , , 
"00400EMPLOYEE BENEFITS DEPARTMENT","8836679","147801718","156638397","4364","156642761","3658239","160301000", , , , , , , , , , , , 
"00560PURCHASING RECEIVING STORES","1290372","-308484","981888", ,"981888", ,"981888", , , , , , , , , , , , 
"00570ADMITTING","856603","38347","894950", ,"894950", ,"894950", , , , , , , , , , , , 
"00580CASHIERING A/R & COLLECTIONS","5369919","2369415","7739334","-80801","7658533", ,"7658533", , , , , , , , , , , , 
"00590OTHER ADMIN AND GENERAL","29599424","50140379","79739803","-5186350","74553453","-5962531","68590922", , , , , , , , , , , , 
"00600MAINTENANCE & REPAIRS", ,"9546820","9546820", ,"9546820", ,"9546820", , , , , , , , , , , , 
"00700OPERATION OF PLANT", ,"19182661","19182661", ,"19182661","-4232","19178429", , , , , , , , , , , , 
"00800LAUNDRY & LINEN SERVICE","392859","4196","397055", ,"397055", ,"397055", , , , , , , , , , , , 
"00900HOUSEKEEPING","10593229","2436592","13029821", ,"13029821", ,"13029821", , , , , , , , , , , , 
"01001DIETARY - RAW FOOD", ,"4708787","4708787","-4708787", , , , , , , , , , , , , , , 
"01002DIETARY - OTHER","4904073","-151768","4752305","999874","5752179","-7141","5745038", , , , , , , , , , , , 
"01100CAFETERIA","991355","161803","1153158","3659385","4812543","-3989549","822994", , , , , , , , , , , , 
"01600MEDICAL RECORDS & LIBRARY","3200497","1067491","4267988","-212953","4055035","113211","4168246", , , , , , , , , , , , 
"01700SOCIAL SERVICE","4795825","-231855","4563970","-566548","3997422", ,"3997422", , , , , , , , , , , , 
"01401MEDICAL SUPPLIES AND EXPENSE", , , , , , , , , , , , , , , , , , , 
"01400CENTRAL SERVICES & SUPPLY","5203278","1040249","6243527", ,"6243527","-1477128","4766399", , , , , , , , , , , , 
"01500PHARMACY","15033747","109533120","124566867","28220","124595087","-15835","124579252", , , , , , , , , , , , 
"01300NURSING ADMINISTRATION","8121177","779302","8900479","-18376","8882103","-20997","8861106", , , , , , , , , , , , 
"01853TRANSPORTATION","3197070","49307","3246377", ,"3246377", ,"3246377", , , , , , , , , , , , 
"01851BIO MED ENGINEERING","2135675","8668926","10804601", ,"10804601", ,"10804601", , , , , , , , , , , , 
"02100I&R SERVICES-SALARY & FRINGES A","30341037","1241872","31582909","3419881","35002790","4390187","39392977", , , , , , , , , , , , 
"02201SPRVSNG PHYSICIANS-TEACHING", , , ,"24246000","24246000", ,"24246000", , , , , , , , , , , , 
"02300PARAMED ED PRGM-(SPECIFY)","675554","-221134","454420", ,"454420", ,"454420", , , , , , , , , , , , 
"02301PARAMED ED CHAPLAINCY","390579","20794","411373","-46491","364882","-26755","338127", , , , , , , , , , , , 
"03000ADULTS & PEDIATRICS","58370778","11422141","69792919","3459037","73251956","250905","73502861", , , , , , , , , , , , 
"03100INTENSIVE CARE UNIT","24079981","4719310","28799291","-907379","27891912","-283734","27608178", , , , , , , , , , , , 
"03101PEDIATRIC ICU","5680708","772925","6453633","-336958","6116675","-234212","5882463", , , , , , , , , , , , 
"03300BURN INTENSIVE CARE UNIT","7407587","1673882","9081469","-11760","9069709", ,"9069709", , , , , , , , , , , , 
"02060NEONATAL INTENSIVE CARE UNIT","14099326","1366849","15466175","-478288","14987887","173730","15161617", , , , , , , , , , , , 
"04000SUBPROVIDER - IPF","11723908","426881","12150789","-1305826","10844963","-1230380","9614583", , , , , , , , , , , , 
"04100SUBPROVIDER - IRF","1957893","260162","2218055", ,"2218055", ,"2218055", , , , , , , , , , , , 
"04300NURSERY", , , ,"1704905","1704905", ,"1704905", , , , , , , , , , , , 
"05000OPERATING ROOM","16242940","54987408","71230348","-17127342","54103006","976678","55079684", , , , , , , , , , , , 
"05100RECOVERY ROOM","4369631","364732","4734363", ,"4734363", ,"4734363", , , , , , , , , , , , 
"05200DELIVERY ROOM & LABOR ROOM","5555008","1223603","6778611","-3473046","3305565", ,"3305565", , , , , , , , , , , , 
"05300ANESTHESIOLOGY","361011","51022","412033","-745047","-333014","836385","503371", , , , , , , , , , , , 
"05400RADIOLOGY-DIAGNOSTIC","11633904","8261147","19895051","-7804930","12090121","2543440","14633561", , , , , , , , , , , , 
"05500RADIOLOGY-THERAPEUTIC","8312046","1223070","9535116","-449355","9085761","-3734213","5351548", , , , , , , , , , , , 
"05700CT SCAN","2890185","877810","3767995","743926","4511921", ,"4511921", , , , , , , , , , , , 
"05800MRI","2164763","572586","2737349","546365","3283714", ,"3283714", , , , , , , , , , , , 
"06000LABORATORY","31589402","24684930","56274332","-1025155","55249177","-1291968","53957209", , , , , , , , , , , , 
"06250BLOOD CLOTTING FOR HEMOPHILIACS", , , , , , , , , , , , , , , , , , , 
"06300BLOOD STORING  PROCESSING & TRA","2151789","8512749","10664538", ,"10664538", ,"10664538", , , , , , , , , , , , 
"06500RESPIRATORY THERAPY","5084302","1590172","6674474","-122501","6551973","88934","6640907", , , , , , , , , , , , 
"06600PHYSICAL THERAPY","2574246","341329","2915575","-1889","2913686","-19679","2894007", , , , , , , , , , , , 
"06700OCCUPATIONAL THERAPY","2613441","494279","3107720","-127653","2980067","-841569","2138498", , , , , , , , , , , , 
"06900ELECTROCARDIOLOGY","573665","33790","607455","-93891","513564","-39247","474317", , , , , , , , , , , , 
"07000ELECTROENCEPHALOGRAPHY","1947197","147688","2094885","-170356","1924529","-967118","957411", , , , , , , , , , , , 
"07200IMPL. DEV. CHARGED TO PATIENTS", , , ,"37902168","37902168","-529844","37372324", , , , , , , , , , , , 
"07300DRUGS CHARGED TO PATIENTS", , , ,"-303354","-303354", ,"-303354", , , , , , , , , , , , 
"07400RENAL DIALYSIS","173862","1491140","1665002","-57255","1607747", ,"1607747", , , , , , , , , , , , 
"07500ASC (NON-DISTINCT PART)","10641404","15693044","26334448","-3130244","23204204","-1420","23202784", , , , , , , , , , , , 
"07501AMB SURG SAWGRASS OBSOLETE", , , , , , , , , , , , , , , , , , , 
"03996BLANK LINE - NOT USED", , , , , , , , , , , , , , , , , , , 
"03040AUDIOLOGY","1721576","1321279","3042855","-4","3042851","-42","3042809", , , , , , , , , , , , 
"03160CARDIOPULMONARY","9118907","20847500","29966407","-17604931","12361476","-978583","11382893", , , , , , , , , , , , 
"03630ULTRASOUND DIAGNOSTIC","2724781","550009","3274790","544469","3819259","-213728","3605531", , , , , , , , , , , , 
"03480ONCOLOGY","12447384","2093662","14541046","-208142","14332904","-4308366","10024538", , , , , , , , , , , , 
"03450NUCLEAR MEDICINE - DIAGNOSTIC","591799","1424907","2016706","311296","2328002", ,"2328002", , , , , , , , , , , , 
"03140CARDIOLOGY", , , , , , , , , , , , , , , , , , , 
"03260ECHOCARDIOGRAPHY","3909233","1215282","5124515","-114043","5010472","-777138","4233334", , , , , , , , , , , , 
