"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 553807"," Report C000191 ","-------------","-------------","-----------",""
"","","","(from Wkst.","Therapy","","RCE","","","","Total","","TEFRA","PPS"
"","","COST CENTER DESCRIPTIONS","\"B"," Part I","\"","Limit","Total","Dis-","Total","","","(column 6","Cost or ","Inpatient","Inpatient"
"","","","col. 26)","Adj.","Costs","allowance","Costs","Inpatient","Outpatient","+ column 7)","Other Ratio","Ratio","Ratio"
"","","","1","2","3","4","5","6","7","8","9","10","11"
"Entity[553807] Report(C000191)", ,"Entity[553807] Report(C000191[00100])", ,"Entity[553807] Report(C000191[00300])","Entity[553807] Report(C000191[00400])","Entity[553807] Report(C000191[00500])","Entity[553807] Report(C000191[00600])","Entity[553807] Report(C000191[00700])","Entity[553807] Report(C000191[00800])","Entity[553807] Report(C000191[00900])"
"Line(03000)", ,"139690075", ,"139690075","332329","140022404", , ,"231497778"
"Line(03100)", ,"48509195", ,"48509195","133765","48642960", , ,"83541839"
"Line(03101)", ,"11109985", ,"11109985","144946","11254931", , ,"21402206"
"Line(03300)", ,"15598152", ,"15598152", ,"15598152", , ,"26927150"
"Line(03500)", ,"26125530", ,"26125530","88851","26214381", , ,"73022510"
"Line(04000)", ,"22125625", ,"22125625","375852","22501477", , ,"35631955"
"Line(04100)", ,"4832855", ,"4832855", ,"4832855", , ,"6961714"
"Line(04300)", ,"3133173", ,"3133173", ,"3133173", , ,"5270890"
"Line(05000)", ,"82378038", ,"82378038","450389","82828427", , ,"170092053","0"
"Line(05100)", ,"7504774", ,"7504774", ,"7504774", , ,"6055560","1"
"Line(05200)", ,"6364581", ,"6364581", ,"6364581", , ,"19920508","0"
"Line(05300)", ,"3224771", ,"3224771","399365","3624136", , ,"4083751","1"
"Line(05400)", ,"27038221", ,"27038221","599958","27638179", , ,"86311526","0"
"Line(05500)", ,"12706576", ,"12706576","350738","13057314", , ,"60758069","0"
"Line(05700)", ,"8123552", ,"8123552", ,"8123552", , ,"81901721","0"
"Line(05800)", ,"6679319", ,"6679319", ,"6679319", , ,"36936667","0"
"Line(06000)", ,"76019329", ,"76019329","615238","76634567", , ,"257704037","0"
"Line(06300)", ,"12841939", ,"12841939", ,"12841939", , ,"32396804","0"
"Line(06500)", ,"10824211", ,"10824211","15146","10839357", , ,"47573730","0"
"Line(06600)", ,"4172655", ,"4172655","5842","4178497", , ,"14165880","0"
"Line(06700)", ,"3556260", ,"3556260","80201","3636461", , ,"5777169","1"
"Line(06900)", ,"812521", ,"812521", ,"812521", , ,"8887974","0"
"Line(07000)", ,"1925769", ,"1925769","22510","1948279", , ,"6782443","0"
"Line(07200)", ,"41069457", ,"41069457", ,"41069457", , ,"79943757","1"
"Line(07300)", ,"122371212", ,"122371212", ,"122371212", , ,"264013910","0"
"Line(07400)", ,"2196956", ,"2196956", ,"2196956", , ,"15829842","0"
"Line(07500)", ,"37134690", ,"37134690","33401","37168091", , ,"85121101","0"
"Line(07601)", ,"4017899", ,"4017899", ,"4017899", , ,"10757264","0"
"Line(07603)", ,"21655224", ,"21655224","235379","21890603", , ,"88344582","0"
"Line(07605)", ,"6750248", ,"6750248","19348","6769596", , ,"16791558","0"
"Line(07606)", ,"20577776", ,"20577776","189506","20767282", , ,"36847275","1"
"Line(07608)", ,"3385986", ,"3385986", ,"3385986", , ,"8765668","0"
"Line(07614)", ,"6700439", ,"6700439","52740","6753179", , ,"34175844","0"
