"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 553807"," Report D00A183 ","-------------","-------------","-----------",""
"applicable ","","\"   [ ]  Title XVIII"," Part A\"","","   [ ] TEFRA","","","","","","","",""
"boxes:","","   [ ]  Title XIX","","","","","","","","","",""
"","","","","","All","Swing-Bed","","","","","Inpatient",""
"","","",""," ","Other ","Adjustment","Total Costs","","Per","","Program",""
"","","","","","Medical","Amount","(sum of cols.","Total","Diem","Inpatient","Pass-Through",""
"","","","Nursing ","Allied  Health","Education","(see","\"1 through 3","\"","Patient","(col. 5 �","Program","Cost",""
"","","","School","Cost","Cost","instructions)"," minus col. 4)","Days","col. 6)","Days","(col. 7 x col. 8)",""
"(A)","Cost Center Description","","1","2","3","4","5","6","7","8","9",""
""," INPATIENT ROUTINE SERVICE COST CENTERS","","","","","","","","","","",""
""," Adults & Pediatrics","","","","","","","","","","",""
"30"," (General Routine Care)","","","","","","","","","","","30"
"","","","","","","","","","","","",""
"31"," Intensive Care Unit","","","","","","","","","","","31"
"","","","","","","","","","","","",""
"32"," Coronary Care Unit","","","","","","","","","","","32"
"","","","","","","","","","","","",""
"33"," Burn Intensive Care Unit","","","","","","","","","","","33"
"","","","","","","","","","","","",""
"34"," Surgical Intensive Care Unit","","","","","","","","","","","34"
"","","","","","","","","","","","",""
"35"," Other Special Care Unit (specify)","","","","","","","","","","","35"
"","","","","","","","","","","","",""
"40"," Subprovider IPF","","","","","","","","","","","40"
"","","","","","","","","","","","",""
"41"," Subprovider IRF","","","","","","","","","","","41"
"","","","","","","","","","","","",""
"42"," Subprovider  (Other)","","","","","","","","","","","42"
"","","","","","","","","","","","",""
"43"," Nursery","","","","","","","","","","","43"
"","","","","","","","","","","","",""
"44"," Skilled Nursing Facility","","","","","","","","","","","44"
"","","","","","","","","","","","",""
"45"," Nursing Facility","","","","","","","","","","","45"
"","","","","","","","","","","","",""
"200"," Total (sum of lines 30-199)","","","","","","","","","","","200"
"","","","","","","","","","","","",""
"","(A) Worksheet A line numbers","","","","","","","","","","",""
"Entity[553807] Report(D00A183)", , ,"Entity[553807] Report(D00A183[00200])", , ,"Entity[553807] Report(D00A183[00500])","Entity[553807] Report(D00A183[00600])","Entity[553807] Report(D00A183[00700])","Entity[553807] Report(D00A183[00800])","Entity[553807] Report(D00A183[00900])"
"Line(03000)", , ,"550036", , ,"550036","174291","3","38941","123054"
"Line(03100)", , ,"75708", , ,"75708","26084","3","5943","17235"
"Line(03101)", , ,"48052", , ,"48052","6191","8","12","93"
"Line(03300)", , ,"47536", , ,"47536","7704","6","1133","6991"
"Line(03500)", , ,"26161", , ,"26161","19882","1"
"Line(04000)", , ,"69498", , ,"69498","25298","3","5453","14996"
"Line(04100)", , ,"5987", , ,"5987","5816","1","1418","1461"
"Line(04300)", , , , , , ,"6477"
