"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 553807"," Report S200001 ","-------------","-------------","-----------",""
"1"," Street:","P.O. Box:","","","","","","","","1"
"2"," City:","State:","Zip Code:","County:","","","","","","2"
"Hospital and Hospital-Based Component Identification:","","","","","","","","","",""
"","","Component","CCN","CBSA","Provider","Date","","\"Payment System (P"," T"," O"," or N)\"","",""
"","Component","Name","Number","Number","Type","Certified","V","XVIII","XIX",""
"","0","1","2","3","4","5","6","7","8",""
"Entity[553807] Report(S200001)", ,"Entity[553807] Report(S200001[00100])","Entity[553807] Report(S200001[00200])","Entity[553807] Report(S200001[00300])","Entity[553807] Report(S200001[00400])","Entity[553807] Report(S200001[00500])","Entity[553807] Report(S200001[00600])","Entity[553807] Report(S200001[00700])","Entity[553807] Report(S200001[00800])"
"Line(00100)", ,"175 CORPORATE WOODS  SUITE 225"
"Line(00200)", ,"ROCHESTER","NY","14623","MONROE"
"Line(00300)", ,"STRONG MEMORIAL HOSPITAL","330285","40380","1","07/01/1966","N","P","O"
"Line(00400)", ,"STRONG MEMORIAL HOSPITAL","33S285","40380","4","01/01/1986","N","P","O"
"Line(00500)", ,"STRONG MEMORIAL HOSPITAL","33T285","40380","5","01/01/1986","N","P","O"
"Line(02000)", ,"01/01/2013","12/31/2013"
"Line(02100)", ,"2"
"Line(02200)", ,"Y","N"
"Line(02201)", ,"N","Y"
"Line(02202)", ,"N","N"
"Line(02203)", ,"N","N","N"
"Line(02300)", ,"3","N"
"Line(02400)", ,"20614","16344", ,"197","40122","310"
"Line(02500)", ,"537","282", ,"11","567"
"Line(02600)", ,"1"
"Line(02700)", ,"1"
"Line(03900)", ,"N","N"
"Line(04000)", ,"N","N"
"Line(04500)", ,"N","Y","N"
"Line(04600)", ,"N","N","N"
"Line(04700)", ,"N","N","N"
"Line(04800)", ,"N","N","N"
"Line(05600)", ,"Y"
"Line(05700)", ,"N"
"Line(05800)", ,"N"
"Line(05900)", ,"N"
"Line(06000)", ,"Y"
"Line(06100)", ,"N"
"Line(06300)", ,"Y"
"Line(06400)", ,"6","480","0"
"Line(06500)", ,"INTERNAL MEDICINE","1400","2","62","0"
"Line(06501)", ,"INTERNAL MEDICINE/PEDIATRICS","1450","3","20","0"
"Line(06502)", ,"PEDIATRICS","2000","1","36","0"
"Line(06600)", ,"9","523","0"
"Line(06700)", ,"INTERNAL MEDICINE","1400","0","63","0"
"Line(06701)", ,"INTERNAL MEDICINE/PEDIATRICS","1450","0","22","0"
"Line(06703)", ,"FAMILY MEDICINE","1350","0","2","0"
"Line(06704)", ,"INTERNAL MEDICINE GERIATRIC","1408","0","1","0"
"Line(07000)", ,"Y"
"Line(07100)", ,"Y","N"
"Line(07500)", ,"Y"
"Line(07600)", ,"Y","N"
"Line(08000)", ,"N"
"Line(08100)", ,"N"
"Line(08500)", ,"N"
"Line(09000)", ,"N","Y"
"Line(09100)", ,"N","N"
"Line(09200)", , ,"N"
"Line(09300)", ,"N","N"
"Line(09400)", ,"N","N"
"Line(09600)", ,"N","N"
"Line(10500)", ,"N"
"Line(10800)", ,"N"
"Line(11000)", ,"N"
"Line(11500)", ,"N"
"Line(11600)", ,"N"
"Line(11700)", ,"Y"
"Line(11800)", ,"1"
"Line(11801)", ,"6442021"
"Line(11802)", ,"N"
"Line(12000)", ,"N","N"
"Line(12100)", ,"Y"
"Line(12500)", ,"Y"
"Line(12600)", ,"04/01/1966"
"Line(12700)", ,"07/16/2002"
"Line(12800)", ,"12/23/1997"
"Line(13000)", ,"07/01/1999"
"Line(13400)", ,"33P005"
"Line(14000)", ,"Y"
"Line(14400)", ,"Y"
"Line(14500)", ,"Y"
"Line(14600)", ,"N"
"Line(14700)", ,"N"
"Line(14800)", ,"N"
"Line(14900)", ,"N"
"Line(15500)", ,"N","N","N","N"
"Line(15600)", ,"N","N","N","N"
"Line(15700)", ,"N","N","N","N"
"Line(15900)", ,"N","N","N","N"
"Line(16000)", ,"N","N","N","N"
"Line(16100)", , ,"N","N","N"
"Line(16500)", ,"N"
"Line(16700)", ,"Y"
"Line(16900)", ,"1"
"Line(17000)", ,"01/01/2013","12/31/2013"
