"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 553807"," Report L00A181 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[553807] Report(L00A181)", ,"Entity[553807] Report(L00A181[00100])"
"Line(00100)", ,"4861560"
"Line(00200)", ,"481127"
"Line(00300)", ,"642"
"Line(00400)", ,"503"
"Line(00500)", ,"25"
"Line(00600)", ,"1203722"
"Line(00700)", ,"0"
"Line(00800)", ,"0"
"Line(00900)", ,"0"
"Line(01000)", ,"0"
"Line(01100)", ,"474974"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
