"----------"," Entity 558727"," Report M11Q000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"Entity[558727] Report(M11Q000[00100])","Entity[558727] Report(M11Q000[00200])","Entity[558727] Report(M11Q000[00300])", ,"Entity[558727] Report(M11Q000[00500])","Entity[558727] Report(M11Q000[00600])","Entity[558727] Report(M11Q000[00700])", , , , , , , , , , , , 
 ,"878650","7097","885747", ,"885747", ,"885747", , , , , , , , , , , , 
 ,"75512", ,"75512", ,"75512", ,"75512", , , , , , , , , , , , 
 ,"793490", ,"793490", ,"793490", ,"793490", , , , , , , , , , , , 
 ,"40104", ,"40104", ,"40104", ,"40104", , , , , , , , , , , , 
 ,"36456", ,"36456", ,"36456", ,"36456", , , , , , , , , , , , 
 ,"584326", ,"584326", ,"584326", ,"584326", , , , , , , , , , , , 
 ,"2408538","7097","2415635", ,"2415635", ,"2415635", , , , , , , , , , , , 
 , ,"120041","120041", ,"120041", ,"120041", , , , , , , , , , , , 
 , ,"13163","13163", ,"13163", ,"13163", , , , , , , , , , , , 
 , ,"85767","85767", ,"85767", ,"85767", , , , , , , , , , , , 
 , ,"218971","218971", ,"218971", ,"218971", , , , , , , , , , , , 
 ,"2408538","226068","2634606", ,"2634606", ,"2634606", , , , , , , , , , , , 
 , ,"162321","162321", ,"162321", ,"162321", , , , , , , , , , , , 
 ,"755400","1210917","1966317", ,"1966317","-314513","1651804", , , , , , , , , , , , 
 ,"755400","1373238","2128638", ,"2128638","-314513","1814125", , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report M21Q000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"Entity[558727] Report(M21Q000[00100])","Entity[558727] Report(M21Q000[00200])","Entity[558727] Report(M21Q000[00300])","Entity[558727] Report(M21Q000[00400])","Entity[558727] Report(M21Q000[00500])", , , , , , , , , , , , , , 
 ,"5","18803","4200","22470", , , , , , , , , , , , , , , 
 , , ,"2100", , , , , , , , , , , , , , , , 
 ,"1","3775","2100","1806", , , , , , , , , , , , , , , 
 ,"6","22578", ,"24276","24276", , , , , , , , , , , , , , 
 ,"13", , , , , , , , , , , , , , , , , , 
 ,"1", , , , , , , , , , , , , , , , , , 
 ,"20","22578", , ,"24276", , , , , , , , , , , , , , 
 ,"2634606", , , , , , , , , , , , , , , , , , 
 ,"2634606", , , , , , , , , , , , , , , , , , 
 ,"1", , , , , , , , , , , , , , , , , , 
 ,"1814125", , , , , , , , , , , , , , , , , , 
 ,"1160694", , , , , , , , , , , , , , , , , , 
 ,"2974819", , , , , , , , , , , , , , , , , , 
 ,"2974819", , , , , , , , , , , , , , , , , , 
 ,"2974819", , , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report M31Q180 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"Entity[558727] Report(M31Q180[00100])","Entity[558727] Report(M31Q180[00200])", , , , , , , , , , , , , , , , , 
 ,"5609425", , , , , , , , , , , , , , , , , , 
 ,"5609425", , , , , , , , , , , , , , , , , , 
 ,"24276", , , , , , , , , , , , , , , , , , 
 ,"24276", , , , , , , , , , , , , , , , , , 
 ,"231", , , , , , , , , , , , , , , , , , 
 , ,"128", , , , , , , , , , , , , , , , , 
 , ,"128", , , , , , , , , , , , , , , , , 
 , ,"6441", , , , , , , , , , , , , , , , , 
 , ,"824448", , , , , , , , , , , , , , , , , 
 , ,"824448", , , , , , , , , , , , , , , , , 
 , ,"659558", , , , , , , , , , , , , , , , , 
 , ,"659558", , , , , , , , , , , , , , , , , 
 , ,"659558", , , , , , , , , , , , , , , , , 
 , ,"659558", , , , , , , , , , , , , , , , , 
 , ,"3277", , , , , , , , , , , , , , , , , 
 , ,"2884", , , , , , , , , , , , , , , , , 
 , ,"111", , , , , , , , , , , , , , , , , 
 , ,"662442", , , , , , , , , , , , , , , , , 
 , ,"10003", , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report M51Q180 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"Entity[558727] Report(M51Q180[00000])","Entity[558727] Report(M51Q180[00100])","Entity[558727] Report(M51Q180[00200])", , , , , , , , , , , , , , , , , 
 , ,"650101", , , , , , , , , , , , , , , , , 
 ,"08/12/2014","2338", , , , , , , , , , , , , , , , , 
 , ,"2338", , , , , , , , , , , , , , , , , 
 , ,"652439", , , , , , , , , , , , , , , , , 
 , ,"652439", , , , , , , , , , , , , , , , , 
