"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report A6000B0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[558727] Report(A6000B0)","Entity[558727] Report(A6000B0[00000])","Entity[558727] Report(A6000B0[00100])", ,"Entity[558727] Report(A6000B0[00300])","Entity[558727] Report(A6000B0[00400])","Entity[558727] Report(A6000B0[00500])", ,"Entity[558727] Report(A6000B0[00700])","Entity[558727] Report(A6000B0[00800])","Entity[558727] Report(A6000B0[00900])"
"Line(00100)","CONTRACT LABOR","B", ,"5", ,"34636", ,"5","34636"
"Line(00200)","CONTRACT LABOR","B", ,"10", ,"132955", ,"10","132955"
"Line(00300)","CONTRACT LABOR","B", ,"17", ,"1923813", ,"17","1923813"
"Line(00400)","CONTRACT LABOR","B", ,"30", ,"1132", ,"30","1132"
"Line(00500)","CONTRACT LABOR","B", ,"34", ,"2184", ,"34","2184"
"Line(00600)","CONTRACT LABOR","B", ,"50", ,"170791", ,"50","170791"
"Line(00700)","CONTRACT LABOR","B", ,"51", ,"134051", ,"51","134051"
"Line(00800)","CONTRACT LABOR","B", ,"55","3908", , ,"55", ,"3908"
"Line(00900)","CONTRACT LABOR","B", ,"65", ,"190252", ,"65","190252"
"Line(01000)","CONTRACT LABOR","B", ,"69", ,"11762", ,"69","11762"
"Line(01100)","CONTRACT LABOR","B", ,"76", ,"36413", ,"76","36413"
"Line(01200)","CONTRACT LABOR","B", ,"90", ,"115659", ,"90","115659"
"Line(01300)","CONTRACT LABOR","B", ,"90", ,"6934", ,"90","6934"
"Line(01400)","CONTRACT LABOR","B", ,"90", ,"107808", ,"90","107808"
"Line(01500)","CONTRACT LABOR","B", ,"90", ,"35387", ,"90","35387"
"Line(01600)","CONTRACT LABOR","B", ,"95", ,"26273", ,"95","26273"
"Line(01700)","CONTRACT LABOR","B", ,"101", ,"398014", ,"101","398014"
"Line(01800)","CONTRACT LABOR","B", ,"112", ,"7338", ,"112","7338"
"Line(01900)","CONTRACT LABOR","B", ,"192", ,"44780", ,"192","44780"
"Line(02000)","CONTRACT LABOR","B", ,"192", ,"80317", ,"192","80317"
