"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report A6000E0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[558727] Report(A6000E0)","Entity[558727] Report(A6000E0[00000])","Entity[558727] Report(A6000E0[00100])", ,"Entity[558727] Report(A6000E0[00300])", ,"Entity[558727] Report(A6000E0[00500])", ,"Entity[558727] Report(A6000E0[00700])", ,"Entity[558727] Report(A6000E0[00900])"
"Line(00100)","DRUGS","E", ,"15", ,"107980874", ,"5", ,"10601"
"Line(00200)","DRUGS","E", ,"60", ,"2925", ,"10", ,"193"
"Line(00300)","DRUGS","E", , , , , ,"14", ,"14411"
"Line(00400)","DRUGS","E", , , , , ,"17", ,"131"
"Line(00500)","DRUGS","E", , , , , ,"18", ,"210"
"Line(00600)","DRUGS","E", , , , , ,"22", ,"1721"
"Line(00700)","DRUGS","E", , , , , ,"30", ,"26660"
"Line(00800)","DRUGS","E", , , , , ,"31", ,"2612"
"Line(00900)","DRUGS","E", , , , , ,"32", ,"2584"
"Line(01000)","DRUGS","E", , , , , ,"32", ,"391"
"Line(01100)","DRUGS","E", , , , , ,"33", ,"546"
"Line(01200)","DRUGS","E", , , , , ,"34", ,"1233"
"Line(01300)","DRUGS","E", , , , , ,"34", ,"2619"
"Line(01400)","DRUGS","E", , , , , ,"34", ,"74"
"Line(01500)","DRUGS","E", , , , , ,"34", ,"102"
"Line(01600)","DRUGS","E", , , , , ,"40", ,"119"
"Line(01700)","DRUGS","E", , , , , ,"43", ,"303"
"Line(01800)","DRUGS","E", , , , , ,"50", ,"576088"
"Line(01900)","DRUGS","E", , , , , ,"50", ,"314"
"Line(02000)","DRUGS","E", , , , , ,"51", ,"111"
"Line(02100)","DRUGS","E", , , , , ,"53", ,"509778"
"Line(02200)","DRUGS","E", , , , , ,"53", ,"27156"
"Line(02300)","DRUGS","E", , , , , ,"54", ,"291654"
"Line(02400)","DRUGS","E", , , , , ,"55", ,"3697"
"Line(02500)","DRUGS","E", , , , , ,"56", ,"173885"
"Line(02600)","DRUGS","E", , , , , ,"59", ,"46984"
"Line(02700)","DRUGS","E", , , , , ,"60", ,"19946"
"Line(02800)","DRUGS","E", , , , , ,"65", ,"563"
"Line(02900)","DRUGS","E", , , , , ,"66", ,"16668"
"Line(03000)","DRUGS","E", , , , , ,"68", ,"10251"
"Line(03100)","DRUGS","E", , , , , ,"69", ,"651"
"Line(03200)","DRUGS","E", , , , , ,"70", ,"18"
"Line(03300)","DRUGS","E", , , , , ,"73", ,"43216847"
"Line(03400)","DRUGS","E", , , , , ,"74", ,"1442632"
"Line(03500)","DRUGS","E", , , , , ,"76", ,"23919"
"Line(03600)","DRUGS","E", , , , , ,"76", ,"15"
"Line(03700)","DRUGS","E", , , , , ,"76", ,"14188"
"Line(03800)","DRUGS","E", , , , , ,"76", ,"1138"
"Line(03900)","DRUGS","E", , , , , ,"90", ,"242514"
"Line(04000)","DRUGS","E", , , , , ,"90", ,"45307463"
"Line(04100)","DRUGS","E", , , , , ,"90", ,"489011"
"Line(04200)","DRUGS","E", , , , , ,"90", ,"472"
"Line(04300)","DRUGS","E", , , , , ,"90", ,"14507"
"Line(04400)","DRUGS","E", , , , , ,"90", ,"746731"
"Line(04500)","DRUGS","E", , , , , ,"90", ,"9"
"Line(04600)","DRUGS","E", , , , , ,"90", ,"548"
"Line(04700)","DRUGS","E", , , , , ,"90", ,"4194"
"Line(04800)","DRUGS","E", , , , , ,"90", ,"6124753"
"Line(04900)","DRUGS","E", , , , , ,"90", ,"164259"
"Line(05000)","DRUGS","E", , , , , ,"90", ,"16096"
"Line(05100)","DRUGS","E", , , , , ,"90", ,"1297"
"Line(05200)","DRUGS","E", , , , , ,"90", ,"266190"
"Line(05300)","DRUGS","E", , , , , ,"90", ,"32"
"Line(05400)","DRUGS","E", , , , , ,"90", ,"56130"
"Line(05500)","DRUGS","E", , , , , ,"91", ,"17434"
"Line(05600)","DRUGS","E", , , , , ,"94", ,"853187"
"Line(05700)","DRUGS","E", , , , , ,"95", ,"56684"
"Line(05800)","DRUGS","E", , , , , ,"101", ,"627207"
"Line(05900)","DRUGS","E", , , , , ,"105", ,"28147"
"Line(06000)","DRUGS","E", , , , , ,"106", ,"11950"
"Line(06100)","DRUGS","E", , , , , ,"107", ,"10428"
"Line(06200)","DRUGS","E", , , , , ,"108", ,"104838"
"Line(06300)","DRUGS","E", , , , , ,"191", ,"5437"
"Line(06400)","DRUGS","E", , , , , ,"191", ,"1884"
"Line(06500)","DRUGS","E", , , , , ,"191", ,"835"
"Line(06600)","DRUGS","E", , , , , ,"192", ,"5049074"
"Line(06700)","DRUGS","E", , , , , ,"192", ,"375"
"Line(06800)","DRUGS","E", , , , , ,"192", ,"644"
"Line(06900)","DRUGS","E", , , , , ,"192", ,"1248194"
"Line(07000)","DRUGS","E", , , , , ,"192", ,"7091"
"Line(07100)","DRUGS","E", , , , , ,"90", ,"85171"
