"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report A6000P0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[558727] Report(A6000P0)","Entity[558727] Report(A6000P0[00000])","Entity[558727] Report(A6000P0[00100])", ,"Entity[558727] Report(A6000P0[00300])", ,"Entity[558727] Report(A6000P0[00500])", ,"Entity[558727] Report(A6000P0[00700])", ,"Entity[558727] Report(A6000P0[00900])"
"Line(00100)","PHONES","P", ,"5", ,"69125", ,"10", ,"1239"
"Line(00200)","PHONES","P", ,"60", ,"2264", ,"30", ,"6699"
"Line(00300)","PHONES","P", , , , , ,"50", ,"4574"
"Line(00400)","PHONES","P", , , , , ,"53", ,"330"
"Line(00500)","PHONES","P", , , , , ,"54", ,"2500"
"Line(00600)","PHONES","P", , , , , ,"66", ,"197"
"Line(00700)","PHONES","P", , , , , ,"68", ,"198"
"Line(00800)","PHONES","P", , , , , ,"73", ,"82"
"Line(00900)","PHONES","P", , , , , ,"76", ,"8452"
"Line(01000)","PHONES","P", , , , , ,"90", ,"1112"
"Line(01100)","PHONES","P", , , , , ,"90", ,"30415"
"Line(01200)","PHONES","P", , , , , ,"90", ,"36"
"Line(01300)","PHONES","P", , , , , ,"90", ,"710"
"Line(01400)","PHONES","P", , , , , ,"91", ,"7275"
"Line(01500)","PHONES","P", , , , , ,"95", ,"47"
"Line(01600)","PHONES","P", , , , , ,"101", ,"2047"
"Line(01700)","PHONES","P", , , , , ,"105", ,"378"
"Line(01800)","PHONES","P", , , , , ,"107", ,"378"
"Line(01900)","PHONES","P", , , , , ,"192", ,"4720"
