"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report A6000V0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[558727] Report(A6000V0)","Entity[558727] Report(A6000V0[00000])","Entity[558727] Report(A6000V0[00100])", ,"Entity[558727] Report(A6000V0[00300])", ,"Entity[558727] Report(A6000V0[00500])", ,"Entity[558727] Report(A6000V0[00700])", ,"Entity[558727] Report(A6000V0[00900])"
"Line(00100)","ADVERTISING","V", ,"192", ,"1298269", ,"5", ,"79125"
"Line(00200)","ADVERTISING","V", , , , , ,"13", ,"1378"
"Line(00300)","ADVERTISING","V", , , , , ,"23", ,"3229"
"Line(00400)","ADVERTISING","V", , , , , ,"23", ,"56"
"Line(00500)","ADVERTISING","V", , , , , ,"23", ,"953"
"Line(00600)","ADVERTISING","V", , , , , ,"54", ,"618"
"Line(00700)","ADVERTISING","V", , , , , ,"60", ,"443"
"Line(00800)","ADVERTISING","V", , , , , ,"73", ,"1926"
"Line(00900)","ADVERTISING","V", , , , , ,"76", ,"64728"
"Line(01000)","ADVERTISING","V", , , , , ,"76", ,"159"
"Line(01100)","ADVERTISING","V", , , , , ,"77", ,"1005"
"Line(01200)","ADVERTISING","V", , , , , ,"90", ,"10"
"Line(01300)","ADVERTISING","V", , , , , ,"90", ,"1783"
"Line(01400)","ADVERTISING","V", , , , , ,"91", ,"13782"
"Line(01500)","ADVERTISING","V", , , , , ,"95", ,"25692"
"Line(01600)","ADVERTISING","V", , , , , ,"101", ,"3564"
"Line(01700)","ADVERTISING","V", , , , , ,"105", ,"1384"
"Line(01800)","ADVERTISING","V", , , , , ,"191", ,"696"
"Line(01900)","ADVERTISING","V", , , , , ,"191", ,"459800"
"Line(02000)","ADVERTISING","V", , , , , ,"192", ,"634147"
"Line(02100)","ADVERTISING","V", , , , , ,"192", ,"3568"
"Line(02200)","ADVERTISING","V", , , , , ,"192", ,"223"
