"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report A820010 ","-------------","-------------","-----------",""
"","","","","","","",""," FROM ____________","","",""
"","","","","",""," ________________",""," TO _______________","","",""
"","","","Cost Center/","","","","","Physician/","","5 Percent of",""
"","","Wkst. A","Physician","Total","Professional","Provider","RCE","Provider","Unadjusted","Unadjusted",""
"","","Line #","Identifier","Remuneration","Component","Component","Amount","Component Hours","RCE Limit","RCE Limit",""
"","","1","2","3","4","5","6","7","8","9",""
"Entity[558727] Report(A820010)", ,"Entity[558727] Report(A820010[00100])","Entity[558727] Report(A820010[00200])","Entity[558727] Report(A820010[00300])","Entity[558727] Report(A820010[00400])","Entity[558727] Report(A820010[00500])","Entity[558727] Report(A820010[00600])","Entity[558727] Report(A820010[00700])","Entity[558727] Report(A820010[00800])","Entity[558727] Report(A820010[00900])", , , , , , ,"Entity[558727] Report(A820010[01600])","Entity[558727] Report(A820010[01700])","Entity[558727] Report(A820010[01800])"
"Line(00100)", ,"5","AGGREGATE-OTHER ADMINISTRATIVE AND G","14245357","14245357", , , , , , , , , , , , , ,"14245357"
"Line(00200)", ,"10","AGGREGATE-DIETARY","327049","327049", , , , , , , , , , , , , ,"327049"
"Line(00300)", ,"13","AGGREGATE-NURSING ADMINISTRATION","432712","432712", , , , , , , , , , , , , ,"432712"
"Line(00400)", ,"15","AGGREGATE-PHARMACY","50025","50025", , , , , , , , , , , , , ,"50025"
"Line(00500)", ,"21","AGGREGATE-I&R SERVICES-SALARY & FRIN","50000","50000", , , , , , , , , , , , , ,"50000"
"Line(00600)", ,"22","AGGREGATE-I&R SERVICES-OTHER PRGM CO","3149730","3149730", , , , , , , , , , , , , ,"3149730"
"Line(00700)", ,"23","AGGREGATE-PARAMED ED HEALTH SCIENCES"
"Line(00800)", ,"23","AGGREGATE-PARAMED RESPIRATORY THERAP","15000","15000", , , , , , , , , , , , , ,"15000"
"Line(00900)", ,"30","AGGREGATE-ADULTS & PEDIATRICS","3214919","3214919", , , , , , , , , , , , , ,"3214919"
"Line(01000)", ,"32","AGGREGATE-NEONATAL INTENSIVE CARE UN","32805","32805", , , , , , , , , , , , , ,"32805"
"Line(01100)", ,"33","AGGREGATE-BURN INTENSIVE CARE UNIT","-729","-729", , , , , , , , , , , , , ,"-729"
"Line(01200)", ,"34","AGGREGATE-RH PED IC","30680","30680", , , , , , , , , , , , , ,"30680"
"Line(01300)", ,"34","AGGREGATE-PEDS CANCER CARE","59167","59167", , , , , , , , , , , , , ,"59167"
"Line(01400)", ,"40","AGGREGATE-SUBPROVIDER - IPF","997582","997582", , , , , , , , , , , , , ,"997582"
"Line(01500)", ,"43","AGGREGATE-NURSERY","169344","169344", , , , , , , , , , , , , ,"169344"
"Line(01600)", ,"50","OPERATING ROOM","772775","772775", , , , , , , , , , , , , ,"772775"
"Line(01700)", ,"53","AGGREGATE-ANESTHESIOLOGY","9342332","8592332","750000","200300","3650","351488","17574", , , , , , ,"351488","398512","8990844"
"Line(01800)", ,"54","AGGREGATE-RADIOLOGY-DIAGNOSTIC","202488","202488", , , , , , , , , , , , , ,"202488"
"Line(01900)", ,"60","AGGREGATE-LABORATORY","2362921","2362921", , , , , , , , , , , , , ,"2362921"
"Line(02000)", ,"60","AGGREGATE-TRANSPLANT IMMUNOLOGY","41477","41477", , , , , , , , , , , , , ,"41477"
"Line(02100)", ,"69","AGGREGATE-ELECTROCARDIOLOGY","1902768","1902768", , , , , , , , , , , , , ,"1902768"
"Line(02200)", ,"74","AGGREGATE-RENAL DIALYSIS","133956","53581", , , , , , , , , , , , , ,"133956"
"Line(02300)", ,"76","AGGREGATE-CARDIOLOGY","45150","45150", , , , , , , , , , , , , ,"45150"
"Line(02400)", ,"76","AGGREGATE-PSYCH OTHER ANCILLARY","1821420","1821420", , , , , , , , , , , , , ,"1821420"
"Line(02500)", ,"76","AGGREGATE-CARDIAC CATHERIZATION","2706383","2338772","367611","165600","1746","139008","6950", , , , , , ,"139008","228603","2567375"
"Line(02600)", ,"90","AGGREGATE-IUSCC HEM/ONC","243003","225265","17738","165600","118","9395","470", , , , , , ,"9395","8343","233608"
"Line(02700)", ,"90","AGGREGATE-OUTPATIENT SURGERY","50000","50000", , , , , , , , , , , , , ,"50000"
"Line(02800)", ,"90","AGGREGATE-CLINICAL GERIATRICS","1028788","1028788", , , , , , , , , , , , , ,"1028788"
"Line(02900)", ,"90","AGGREGATE-EATING DISORDERS CLINIC","229649","229649", , , , , , , , , , , , , ,"229649"
"Line(03000)", ,"90","AGGREGATE-GASTROENTEROLOGY CLINIC","43275","43275", , , , , , , , , , , , , ,"43275"
"Line(03100)", ,"91","AGGREGATE-EMERGENCY","11059833","5747200","5312633","165600","43858","3491772","174589", , , , , , ,"3491772","1820861","7568061"
"Line(03200)", ,"94","AGGREGATE-HOME PROGRAM DIALYSIS","90743","90743", , , , , , , , , , , , , ,"90743"
"Line(03300)", ,"105","AGGREGATE-KIDNEY ACQUISITION","108342","108342", , , , , , , , , , , , , ,"108342"
"Line(03400)", ,"106","AGGREGATE-HEART ACQUISITION","18750","18750", , , , , , , , , , , , , ,"18750"
"Line(03500)", ,"107","AGGREGATE-LIVER ACQUISITION","1443498","1443498", , , , , , , , , , , , , ,"1443498"
"Line(03600)", ,"108","AGGREGATE-LUNG ACQUISITION","-8700","-8700", , , , , , , , , , , , , ,"-8700"
"Line(03700)", ,"90","AGGREGATE-AIDES CLINIC","162500", ,"150000","165600","1040","82800","4140", , , , , , ,"82800","67200","79700"
