"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report B000002 ","-------------","-------------","-----------",""
"","","","ASSIGNED","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","","NEW CAPITAL"," "," ","SUBTOTAL","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","","COST CENTER DESCRIPTIONS","RELATED","BLDGS. &","MOVABLE","(sum of","EMPLOYEE","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","","COSTS","FIXTURES","EQUIPMENT","(cols. 0-2)","BENEFITS","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","0","1","2","2A","4","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[558727] Report(B000002)", ,"Entity[558727] Report(B000002[00100])","Entity[558727] Report(B000002[00200])", ,"Entity[558727] Report(B000002[00400])", ,"Entity[558727] Report(B000002[00600])","Entity[558727] Report(B000002[00700])","Entity[558727] Report(B000002[00800])", ,"Entity[558727] Report(B000002[01000])","Entity[558727] Report(B000002[01100])", ,"Entity[558727] Report(B000002[01300])","Entity[558727] Report(B000002[01400])","Entity[558727] Report(B000002[01500])","Entity[558727] Report(B000002[01600])","Entity[558727] Report(B000002[01700])","Entity[558727] Report(B000002[01800])", , ,"Entity[558727] Report(B000002[02100])","Entity[558727] Report(B000002[02200])", ,"Entity[558727] Report(B000002[02400])", ,"Entity[558727] Report(B000002[02600])"
"Line(00400)", ,"12196", , ,"12196"
"Line(00502)", ,"19702", , ,"1"
"Line(00503)", ,"21366","232163"
"Line(00504)", ,"13434"
"Line(00506)", ,"1053132","3138580", ,"285"
"Line(00600)", ,"245174","1750", ,"7", ,"310009"
"Line(00700)", ,"24713","88519", ,"35", ,"205","315495"
"Line(00800)", ,"314482","1436", , , ,"2606","2654","322135"
"Line(00901)"
"Line(00902)"
"Line(00903)", ,"17443", , ,"7", ,"145","147","15"
"Line(01000)", ,"374667","178129", ,"179", ,"3104","3161", , ,"595367"
"Line(01100)", ,"12063", , ,"2", ,"100","102", , , ,"17283"
"Line(01300)", ,"295110","294529", ,"335", ,"2445","2490", , , ,"449", ,"668686"
"Line(01400)", ,"473226","640785", ,"55", ,"3921","3993","1164", , ,"132", , ,"1464174"
"Line(01500)", ,"540189","2291730", ,"583", ,"4476","4558","59", , ,"658", ,"193","15228","3089859"
"Line(01600)", ,"8991", , ,"7", ,"74","76", , , ,"12", , , , ,"34619"
"Line(01700)", ,"53160","2592", ,"91", ,"440","449","1", , ,"157", , ,"9", , ,"79589"
"Line(01800)", ,"8603","78982", ,"38", ,"71","73", , , ,"112", , ,"36", , , ,"94975"
"Line(02100)", ,"30811", , ,"619", ,"255","260","60", , ,"1115", , , , , , , , , ,"156036"
"Line(02200)", ,"440136","18061", ,"11", ,"3647","3714","390", , ,"14", , ,"68", , , , , , , ,"500936"
"Line(02301)", ,"99278","23279", ,"3", ,"823","838", , , ,"4"
"Line(02302)", ,"36578", , ,"18", ,"303","309", , , ,"23"
"Line(02303)", ,"35122", , ,"8", ,"291","296", , , ,"10", , ,"26"
"Line(02304)", ,"34139", , ,"5", ,"283","288", , , ,"8"
"Line(02305)", , , , ,"12", , , , , , ,"27"
"Line(02306)", , , , ,"10", , , , , , ,"14", , ,"50"
"Line(02307)", , ,"3192", ,"24", , , , , , ,"37"
"Line(02309)", ,"21640", , ,"5", ,"179","183", , , ,"8", , ,"2"
"Line(02310)", ,"21158", , ,"5", ,"175","179", , , ,"8", , ,"17"
"Line(03000)", ,"7033542","5283788", ,"2393", ,"58278","59343","160741", ,"469396","3797", ,"304127","94723", ,"3917","59175","10446", , , , , ,"14084083", ,"14084083"
"Line(03100)", ,"469945","251194", ,"288", ,"3894","3965","14003", ,"37412","405", ,"34950","14686", ,"419","4717","1118", , , , , ,"896397", ,"896397"
"Line(03200)", ,"370488","108702", ,"218", ,"3070","3126","13624", ,"26430","306", ,"27033","14248", ,"310","3332","826", , , , , ,"616129", ,"616129"
"Line(03201)", ,"78110","157599", ,"89", ,"647","659","920", , ,"114", ,"10041","2528", ,"138","1916","368", , , , , ,"271025", ,"271025"
"Line(03300)", ,"142568","30528", ,"29", ,"1181","1203","922", ,"3972","37", ,"2896","991", ,"41","501","110", , , , , ,"191118", ,"191118"
"Line(03402)", , ,"142559", ,"73", , , ,"4192", ,"9018","106", ,"9848","7006", ,"102","1137","272", , , , , ,"190570", ,"190570"
"Line(03404)", ,"276221","182902", ,"161", ,"2289","2331","3099", ,"15967","228", ,"20275","7532", ,"235","2013","627", , , , , ,"545783", ,"545783"
"Line(03405)", ,"128188","1678", ,"40", ,"1062","1082","3103", ,"4695","60", ,"5600","2848", ,"52","592","139", , , , , ,"157172", ,"157172"
"Line(03406)", ,"403067","597053", ,"25", ,"3340","3401","1076", ,"3266","39", ,"2896","712", ,"38","412","102", , , , , ,"1023152", ,"1023152"
"Line(04000)", ,"202479","13984", ,"67", ,"1678","1708","3191", ,"12133","105", ,"4634","382", ,"80","1530","213", , , , , ,"256072", ,"256072"
"Line(04300)", ,"155917","50737", ,"76", ,"1292","1316","1974", , ,"103", ,"8882","2245", ,"118","2614","316", , , , , ,"241143", ,"241143"
"Line(05000)", ,"2156550","11804529", ,"638", ,"17868","18197","23666", ,"1290","958", ,"48467","608871", ,"4064","163","10838", , , , , ,"14992357", ,"14992357"
"Line(05001)", ,"63655","347216", ,"23", ,"527","537","1631", , ,"33", ,"2317","4211", ,"150", ,"401", , , , , ,"428108", ,"428108"
"Line(05100)", ,"482793","187101", ,"115", ,"4000","4074","3989", ,"546","163", ,"13903","3361", ,"444","69","1183", , , , , ,"728391", ,"728391"
"Line(05200)", ,"530631","402120", ,"147", ,"4397","4477","13440", ,"7288","205", ,"15834","5302", ,"348","919","928", , , , , ,"1019635", ,"1019635"
"Line(05300)", ,"14909","802282", ,"30", ,"124","126", , , ,"50", ,"1931","24836", ,"263", ,"701", , , , , ,"859727", ,"859727"
"Line(05301)", ,"186775","247345", ,"53", ,"1548","1576","306", , ,"77", ,"1352","1779", ,"183", ,"487", , , , , ,"453781", ,"453781"
"Line(05400)", ,"2249190","12409384", ,"532", ,"18636","18978","13904", , ,"739", ,"11199","88885", ,"3455", ,"9213", , , , , ,"15013473", ,"15013473"
"Line(05500)", ,"417163","1439996", ,"91", ,"3456","3520","1735", , ,"83", ,"1352","2626", ,"558", ,"1488", , , , , ,"1896904", ,"1896904"
"Line(05600)", ,"184459","257017", ,"18", ,"1528","1556","747", , ,"21", , ,"29715", ,"181", ,"482", , , , , ,"487248", ,"487248"
"Line(05900)", ,"106973", , ,"18", ,"886","903","462", , ,"17", ,"965","32056", ,"245", ,"653", , , , , ,"154224", ,"154224"
"Line(06000)", ,"1643409","1706774", ,"656", ,"13617","13867","15", , ,"1101", , ,"179064", ,"3952", ,"10538", , , , , ,"3709096", ,"3709096"
"Line(06001)", ,"42260","18817", ,"19", ,"350","357", , , ,"27", , ,"7906", ,"66", ,"176", , , , , ,"78533", ,"78533"
"Line(06002)", ,"167224","161182", ,"20", ,"1386","1411", , , ,"29", ,"1159","6244", ,"95", ,"253", , , , , ,"345283", ,"345283"
"Line(06300)", ,"84945","77514", ,"64", ,"704","717", , , ,"91", , ,"91033", ,"448", ,"1194", , , , , ,"287342", ,"287342"
"Line(06500)", ,"236948","1065273", ,"408", ,"1963","1999","90", , ,"623", ,"386","27208", ,"772", ,"2060", , , , , ,"1421227", ,"1421227"
"Line(06600)", ,"389916","261270", ,"229", ,"3231","3290","2654", , ,"310", , ,"5145", ,"475", ,"1266", , , , , ,"713712", ,"713712"
"Line(06700)", ,"114886","23521", ,"46", ,"952","969","2", , ,"66", , ,"637", ,"89", ,"238", , , , , ,"150663", ,"150663"
"Line(06800)", ,"243321","273512", ,"66", ,"2016","2053","34", , ,"95", ,"965","15135", ,"96", ,"255", , , , , ,"554889", ,"554889"
"Line(06900)", ,"105461","303519", ,"53", ,"874","890","843", , ,"83", ,"772","436", ,"363", ,"969", , , , , ,"425439", ,"425439"
"Line(07000)", ,"184658","627870", ,"81", ,"1530","1558","96", , ,"116", , ,"2082", ,"225", ,"599", , , , , ,"838323", ,"838323"
"Line(07100)", ,"28967", , ,"4", ,"240","244", , , ,"6", , ,"1152", ,"766", ,"2042", , , , , ,"127931", ,"127931"
"Line(07200)", , , , , , , , , , , , , , , , ,"2329", ,"6212", , , , , ,"175326", ,"175326"
"Line(07300)", , , , , , , , , , , , , , , ,"3089859","3254", ,"11338", , , , , ,"3482371", ,"3482371"
"Line(07303)", ,"53945","266434", ,"148", ,"447","455","9", , ,"190", , , , ,"366", ,"975", , , , , ,"353143", ,"353143"
"Line(07400)", ,"322026","305956", ,"129", ,"2668","2717","6004", ,"277","207", ,"9848","14585", ,"233","35","622", , , , , ,"695874", ,"695874"
"Line(07600)", , ,"35153", ,"11", , , , , , ,"10", ,"772","682", ,"10", ,"27", , , , , ,"38777", ,"38777"
"Line(07601)", ,"91412","1319001", ,"43", ,"757","771","148", , ,"66", ,"1931","45978", ,"497", ,"1327", , , , , ,"1487803", ,"1487803"
"Line(07602)", ,"26973","6025", ,"4", ,"223","228", , , ,"4", ,"386","162", ,"13", ,"35", , , , , ,"35507", ,"35507"
"Line(07603)", ,"289239","542868", ,"85", ,"2397","2441","3112", ,"24","108", ,"3862","37197", ,"662","3","1765", , , , , ,"917001", ,"917001"
"Line(07604)", ,"248984","40813", ,"87", ,"2063","2101","4105", ,"1836","137", ,"9655","3409", ,"45","232","119", , , , , ,"331689", ,"331689"
"Line(07608)", , , , ,"1", , , , , , , , , , , ,"1", ,"2", , , , , ,"102", ,"102"
"Line(07697)", ,"11231","1672", ,"6", ,"93","95","1", , ,"8", ,"579","24", ,"7", ,"17", , , , , ,"15553", ,"15553"
"Line(08900)", , , , ,"67", , , , , , ,"116", , , , ,"21", ,"55", , , , , ,"13917", ,"13917"
"Line(09001)", ,"191682","90523", ,"43", ,"1588","1617","1179", , ,"87", ,"2510","638", ,"58", ,"154", , , , , ,"299290", ,"299290"
"Line(09002)", ,"1220167","4315485", ,"531", ,"10110","10296","1419", , ,"519", ,"10041","11165", ,"464", ,"1236", , , , , ,"5701740", ,"5701740"
"Line(09003)", ,"3167","299617", ,"5", ,"26","27", , , ,"12", , ,"47", ,"19", ,"51", , , , , ,"304983", ,"304983"
"Line(09004)", ,"272382","54559", ,"8", ,"2257","2298","1", , ,"12", ,"579","6", ,"17", ,"44", , , , , ,"335506", ,"335506"
"Line(09005)", , , , , , , , , , , , , , ,"1", , , , , , , , , ,"2", ,"2"
"Line(09006)", ,"108136","201401", ,"45", ,"896","912","312", , ,"68", ,"1545","384", ,"115", ,"307", , , , , ,"324245", ,"324245"
"Line(09007)", ,"357271","305426", ,"91", ,"2960","3015","946", , ,"149", ,"6372","1890", ,"60", ,"159", , , , , ,"691358", ,"691358"
"Line(09008)", ,"4018","32342", ,"2", ,"33","34", , , ,"2", ,"193","455", ,"5", ,"14", , , , , ,"37622", ,"37622"
"Line(09010)", ,"43990","3810", , , ,"364","371", , , , , , ,"6", ,"1", ,"1", , , , , ,"49001", ,"49001"
"Line(09011)", ,"125938","84548", ,"49", ,"1043","1063", , , ,"77", , ,"646", ,"93", ,"249", , , , , ,"226482", ,"226482"
"Line(09012)", ,"95609","3079", ,"6", ,"792","807", , , ,"10", ,"386","63", ,"2", ,"5", , , , , ,"102628", ,"102628"
"Line(09014)", , ,"3697", ,"3", , , ,"1", , ,"6", ,"386","155", ,"26", ,"69", , , , , ,"5154", ,"5154"
"Line(09017)", ,"131970","8819", ,"14", ,"1093","1114","197", , ,"35", ,"579","120", ,"7", ,"19", , , , , ,"148087", ,"148087"
"Line(09018)", ,"81097","56619", ,"12", ,"672","684","302", , ,"27", ,"1159","703", ,"14", ,"38", , , , , ,"144021", ,"144021"
"Line(09019)", , ,"7037", ,"14", , , , , , ,"19", ,"965","309", ,"29", ,"78", , , , , ,"11724", ,"11724"
"Line(09020)", , ,"2591", ,"7", , , , , , ,"14", ,"386","134", ,"3", ,"7", , , , , ,"4728", ,"4728"
"Line(09021)", ,"19920","1981", ,"3", ,"165","168", , , ,"4", ,"386","6", ,"1", ,"3", , , , , ,"23397", ,"23397"
"Line(09022)", , ,"29752", ,"17", , , , , , ,"23", ,"193","20", ,"13", ,"34", , , , , ,"33696", ,"33696"
"Line(09023)", ,"103201", , ,"10", ,"855","871","157", , ,"21", ,"772","146", ,"4", ,"11", , , , , ,"108416", ,"108416"
"Line(09024)", ,"43281","3551", ,"22", ,"359","365", , , ,"35", ,"965","37", , , , , , , , , ,"53633", ,"53633"
"Line(09100)", ,"1053699","396106", ,"371", ,"8731","8891","30090", ,"9","563", ,"41901","21014", ,"2031","1","5417", , , , , ,"1662933", ,"1662933"
"Line(09400)", ,"110452","81167", ,"18", ,"915","932", , , ,"25", ,"1352","13061", ,"78", ,"209", , , , , ,"215150", ,"215150"
"Line(09500)", , ,"3087916", ,"151", , , , , , ,"207", ,"8303","1819", ,"407", ,"1085", , , , , ,"3164893", ,"3164893"
"Line(10100)", ,"225055","266881", ,"402", ,"1865","1899", , , ,"600", ,"12165","1191", ,"474", ,"1265", , , , , ,"617032", ,"617032"
"Line(10500)", ,"43451","221390", ,"47", ,"360","367", , , ,"58", , ,"616", ,"200", ,"533", , , , , ,"298597", ,"298597"
"Line(10600)", ,"20988","14918", ,"5", ,"174","177", , , ,"6", , , , ,"31", ,"83", , , , , ,"41311", ,"41311"
"Line(10700)", ,"21726","84383", ,"19", ,"180","183", , , ,"23", , ,"222", ,"126", ,"337", , , , , ,"126599", ,"126599"
"Line(10800)", ,"35755","34168", ,"10", ,"296","302", , , ,"12", , , , ,"54", ,"144", , , , , ,"79987", ,"79987"
"Line(10900)", ,"8027","43215", ,"5", ,"67","68", , , ,"6", , ,"96", ,"40", ,"105", , , , , ,"58613", ,"58613"
"Line(11000)", ,"3129","7567", ,"3", ,"26","26", , , ,"4", , ,"15", ,"18", ,"47", , , , , ,"13519", ,"13519"
"Line(11200)", , ,"9011", ,"3", , , , , , ,"4", , ,"93", , , , , , , , , ,"9808", ,"9808"
"Line(11201)", ,"103664","287896", ,"69", ,"859","875", , , ,"83", ,"193","598", , , , , , , , , ,"408662", ,"408662"
"Line(11600)", ,"63314","62425", ,"78", ,"525","534", , ,"1808","128", ,"5407","493", ,"103","228","276", , , , , ,"153954", ,"153954"
"Line(11800)", ,"28637030","58850495", ,"11759", ,"225966","229907","320131", ,"595367","16666", ,"655748","1459207","3089859","34619","79589","94975", , , , , ,"86162764", ,"86162764"
"Line(19000)", ,"166477","893", , , ,"1379","1405", , , ,"29", , , , , , , , , , , , ,"171108", ,"171108"
"Line(19100)", ,"268762","73181", ,"69", ,"2227","2268","222", , ,"83", ,"2124","2326", , , , , , , , , ,"365747", ,"365747"
"Line(19101)", ,"75009", , , , ,"621","633","806", , , , , ,"247", , , , , , , , , ,"78095", ,"78095"
"Line(19102)", ,"14777","40114", ,"40", ,"122","125", , , ,"33", ,"1352","79", , , , , , , , , ,"67821", ,"67821"
"Line(19200)", ,"9965","2440", ,"2", ,"83","84", , , ,"2", , , , , , , , , , , , ,"21111", ,"21111"
"Line(19201)", ,"1475844","575737", ,"134", ,"12228","12453","976", , ,"236", ,"2896","1288", , , , , , , , , ,"2117606", ,"2117606"
"Line(19202)", ,"47800","1108673", ,"71", ,"396","403", , , ,"87", ,"5407","166", , , , , , , , , ,"1182375", ,"1182375"
"Line(19203)", ,"6556097", , , , ,"54321","55319", , , , , , , , , , , , , , , , ,"6690773", ,"6690773"
"Line(19204)", , , , ,"2", , , , , , ,"2", , , , , , , , , , , , ,"361", ,"361"
"Line(19206)", , ,"1299", ,"1", , , , , , ,"2", , , , , , , , , , , , ,"1491", ,"1491"
"Line(19207)", , ,"2998", ,"3", , , , , , ,"6", , ,"642", , , , , , , , , ,"4479", ,"4479"
"Line(19208)", ,"137141","939584", ,"97", ,"1136","1157", , , ,"112", , ,"38", , , , , , , , , ,"1134515", ,"1134515"
"Line(19209)", , , , ,"1", , , , , , ,"2", , ,"33", , , , , , , , , ,"285", ,"285"
"Line(19210)", , ,"39894", ,"17", , , , , , ,"23", ,"1159","148", , , , , , , , , ,"46035", ,"46035"
"Line(19211)", ,"1391513", , , , ,"11530","11741", , , , , , , , , , , , , , , , ,"1420368", ,"1420368"
"Line(20000)", , , , , , , , , , , , , , , , , , , , , ,"156036","500936", ,"950789", ,"950789"
