"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report I2D0000 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[558727] Report(I2D0000)", ,"Entity[558727] Report(I2D0000[00100])","Entity[558727] Report(I2D0000[00200])","Entity[558727] Report(I2D0000[00300])","Entity[558727] Report(I2D0000[00400])","Entity[558727] Report(I2D0000[00500])","Entity[558727] Report(I2D0000[00600])","Entity[558727] Report(I2D0000[00700])", ,"Entity[558727] Report(I2D0000[00900])","Entity[558727] Report(I2D0000[01000])","Entity[558727] Report(I2D0000[01100])"
"Line(00100)", ,"1412579","397279","3346630","1415565","1867769","-1091236","1384365", ,"8732951","4429987","13162938"
"Line(00200)", ,"803292","225921","1903128","804989","1062145","-620553","787247", ,"4966169","2519201","7485370"
"Line(00400)", ,"1554","437","3683","1558","2055","-1201","1523", ,"9609","4874","14483"
"Line(00600)", ,"201","56","475","201","265","-155","197", ,"1240","629","1869"
"Line(00700)", ,"1053","296","2495","1055","1392","-813","1032", ,"6510","3302","9812"
"Line(00800)", ,"190393","53547","451072","190796","251745","-147081","186590", ,"1177062","597092","1774154"
"Line(01000)", ,"21160","5951","50132","21205","27979","-16347","20738", ,"130818","66360","197178"
"Line(01100)", ,"394926","111071","935645","395761","522188","-305086","387038", ,"2441543","1238529","3680072"
"Line(01700)", ,"1412579","397279","3346630","1415565","1867769","-1091236","1384365", ,"8732951","4429987","13162938"
"Line(01800)", , , , , , , , , , , ,"398"
