"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report I2H0000 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[558727] Report(I2H0000)", ,"Entity[558727] Report(I2H0000[00100])","Entity[558727] Report(I2H0000[00200])","Entity[558727] Report(I2H0000[00300])","Entity[558727] Report(I2H0000[00400])","Entity[558727] Report(I2H0000[00500])","Entity[558727] Report(I2H0000[00600])","Entity[558727] Report(I2H0000[00700])", ,"Entity[558727] Report(I2H0000[00900])","Entity[558727] Report(I2H0000[01000])","Entity[558727] Report(I2H0000[01100])"
"Line(00100)", ,"545969","104896","571083","146278","247308","-491004","1239732", ,"2364262","717766","3082028"
"Line(00200)", ,"200766","38572","210001","53791","90941","-180554","455879", ,"869396","263941","1133337"
"Line(00400)", ,"394","76","412","106","178","-354","895", ,"1707","518","2225"
"Line(00600)", ,"1143","220","1195","306","518","-1028","2595", ,"4949","1502","6451"
"Line(00700)", ,"453","87","474","121","205","-408","1029", ,"1961","595","2556"
"Line(00800)", ,"47581","9142","49770","12748","21553","-42791","108042", ,"206045","62553","268598"
"Line(01000)", ,"131591","25282","137644","35256","59607","-118343","298804", ,"569841","172998","742839"
"Line(01100)", ,"164041","31517","171587","43950","74306","-147526","372488", ,"710363","215659","926022"
"Line(01700)", ,"545969","104896","571083","146278","247308","-491004","1239732", ,"2364262","717766","3082028"
