"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report K010000 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[558727] Report(K010000)", ,"Entity[558727] Report(K010000[00100])","Entity[558727] Report(K010000[00200])","Entity[558727] Report(K010000[00300])", ,"Entity[558727] Report(K010000[00500])","Entity[558727] Report(K010000[00600])","Entity[558727] Report(K010000[00700])","Entity[558727] Report(K010000[00800])","Entity[558727] Report(K010000[00900])","Entity[558727] Report(K010000[01000])"
"Line(00100)", , , , , ,"253412","253412","-15048","238364", ,"238364"
"Line(00200)", , , , , ,"44649","44649","-44649"
"Line(00300)", , , , , ,"45597","45597", ,"45597", ,"45597"
"Line(00600)", ,"1079033","322402", , ,"1600951","3002386","-241373","2761013","-318527","2442486"
"Line(00900)", ,"10563","3156", , ,"145245","158964","-2363","156601","-50000","106601"
"Line(01000)", ,"1740173","519943", , , ,"2260116","-389295","1870821", ,"1870821"
"Line(01500)", ,"318522","95170", , , ,"413692","-71257","342435", ,"342435"
"Line(01900)", ,"260852","77940", , , ,"338792","-58355","280437", ,"280437"
"Line(02200)", , , , , ,"638420","638420","-633399","5021", ,"5021"
"Line(02700)", , , ,"48511", , ,"48511", ,"48511", ,"48511"
"Line(02800)", , , , , ,"4876","4876", ,"4876", ,"4876"
"Line(02900)", , , , , ,"5699","5699", ,"5699", ,"5699"
"Line(03000)", , , , , ,"71175","71175","-71175"
"Line(03500)", ,"276690","82672", , , ,"359362","-61898","297464", ,"297464"
