"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report K410001 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[558727] Report(K410001)","Entity[558727] Report(K410001[00000])","Entity[558727] Report(K410001[00100])", ,"Entity[558727] Report(K410001[00300])", , ,"Entity[558727] Report(K410001[00600])","Entity[558727] Report(K410001[00700])"
"Line(00100)","238364","238364"
"Line(00300)","45597", , ,"45597"
"Line(00600)","2442486","238364", ,"45597", , ,"2726447"
"Line(00900)","106601", , , , , ,"98128","204729"
"Line(01000)","1870821", , , , , ,"1722123","3592944"
"Line(01500)","342435", , , , , ,"315217","657652"
"Line(01900)","280437", , , , , ,"258147","538584"
"Line(02200)","5021", , , , , ,"4622","9643"
"Line(02700)","48511", , , , , ,"44655","93166"
"Line(02800)","4876", , , , , ,"4488","9364"
"Line(02900)","5699", , , , , ,"5246","10945"
"Line(03500)","297464", , , , , ,"273821","571285"
