"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report L00A181 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[558727] Report(L00A181)", ,"Entity[558727] Report(L00A181[00100])"
"Line(00100)", ,"12507109"
"Line(00200)", ,"529313"
"Line(00300)", ,"869"
"Line(00400)", ,"549"
"Line(00500)", ,"20"
"Line(00600)", ,"2438886"
"Line(00700)", ,"0"
"Line(00800)", ,"0"
"Line(00900)", ,"0"
"Line(01000)", ,"0"
"Line(01100)", ,"1164412"
