"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report M11Q000 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[558727] Report(M11Q000)", ,"Entity[558727] Report(M11Q000[00100])","Entity[558727] Report(M11Q000[00200])","Entity[558727] Report(M11Q000[00300])", ,"Entity[558727] Report(M11Q000[00500])","Entity[558727] Report(M11Q000[00600])","Entity[558727] Report(M11Q000[00700])"
"Line(00100)", ,"878650","7097","885747", ,"885747", ,"885747"
"Line(00300)", ,"75512", ,"75512", ,"75512", ,"75512"
"Line(00500)", ,"793490", ,"793490", ,"793490", ,"793490"
"Line(00700)", ,"40104", ,"40104", ,"40104", ,"40104"
"Line(00800)", ,"36456", ,"36456", ,"36456", ,"36456"
"Line(00900)", ,"584326", ,"584326", ,"584326", ,"584326"
"Line(01000)", ,"2408538","7097","2415635", ,"2415635", ,"2415635"
"Line(01500)", , ,"120041","120041", ,"120041", ,"120041"
"Line(01800)", , ,"13163","13163", ,"13163", ,"13163"
"Line(01900)", , ,"85767","85767", ,"85767", ,"85767"
"Line(02100)", , ,"218971","218971", ,"218971", ,"218971"
"Line(02200)", ,"2408538","226068","2634606", ,"2634606", ,"2634606"
"Line(02900)", , ,"162321","162321", ,"162321", ,"162321"
"Line(03000)", ,"755400","1210917","1966317", ,"1966317","-314513","1651804"
"Line(03100)", ,"755400","1373238","2128638", ,"2128638","-314513","1814125"
