"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report S200001 ","-------------","-------------","-----------",""
"1"," Street:","P.O. Box:","","","","","","","","1"
"2"," City:","State:","Zip Code:","County:","","","","","","2"
"Hospital and Hospital-Based Component Identification:","","","","","","","","","",""
"","","Component","CCN","CBSA","Provider","Date","","\"Payment System (P"," T"," O"," or N)\"","",""
"","Component","Name","Number","Number","Type","Certified","V","XVIII","XIX",""
"","0","1","2","3","4","5","6","7","8",""
"Entity[558727] Report(S200001)", ,"Entity[558727] Report(S200001[00100])","Entity[558727] Report(S200001[00200])","Entity[558727] Report(S200001[00300])","Entity[558727] Report(S200001[00400])","Entity[558727] Report(S200001[00500])","Entity[558727] Report(S200001[00600])","Entity[558727] Report(S200001[00700])","Entity[558727] Report(S200001[00800])"
"Line(00100)", ,"340 W 10TH ST"
"Line(00200)", ,"INDIANAPOLIS","IN","46202","MARION"
"Line(00300)", ,"INDIANA UNIVERSITY HEALTH","150056","26900","1","07/01/1966","N","P","P"
"Line(00400)", ,"CLARIAN BEHAVIORAL CARE CTR.","15S056","26900","4","07/01/1984","N","P","N"
"Line(01200)", ,"CLARIAN HOME CARE-INDIANAPOLIS","157158","26900", ,"08/05/1985","N","P","N"
"Line(01400)", ,"YELLOW ROSE UNIT","151511","26900", ,"07/01/1966"
"Line(01600)", ,"HEALTHNET BARRINGTON","151804","26900", ,"07/01/1966","N","O","N"
"Line(01800)", ,"CLARIAN DIALYSIS","153510","26900", ,"01/01/1997"
"Line(01801)", ,"CLARIAN","153515","26900", ,"04/26/2002"
"Line(01802)", ,"CLARIAN HEALTH PARTNERS","153521","26900", ,"01/30/2009"
"Line(01803)", ,"METHODIST DIALYSIS","153522","26900", ,"04/09/2007"
"Line(02000)", ,"01/01/2013","12/31/2013"
"Line(02100)", ,"2"
"Line(02200)", ,"Y","N"
"Line(02201)", ,"N","Y"
"Line(02202)", ,"N","N"
"Line(02203)", ,"N","N","N"
"Line(02300)", ,"3","N"
"Line(02400)", ,"47985","20697","321","1047","49199"
"Line(02600)", ,"1"
"Line(02700)", ,"1"
"Line(03900)", ,"N","N"
"Line(04000)", ,"N","N"
"Line(04500)", ,"N","Y","N"
"Line(04600)", ,"N","N","N"
"Line(04700)", ,"N","N","N"
"Line(04800)", ,"N","N","N"
"Line(05600)", ,"Y"
"Line(05700)", ,"N"
"Line(05800)", ,"N"
"Line(05900)", ,"N"
"Line(06000)", ,"Y"
"Line(06100)", ,"Y", , ,"22","22"
"Line(06101)", , ,"176","176"
"Line(06102)", , ,"170","169"
"Line(06103)", , ,"193","198"
"Line(06104)", , ,"194","192"
"Line(06105)", , ,"1","-6"
"Line(06300)", ,"Y"
"Line(06400)", ,"153","237","0"
"Line(06500)", ,"FAMILY MEDICINE","1350","11","19","0"
"Line(06501)", ,"INTERNAL MEDICINE GENERAL","1400","19","33","0"
"Line(06502)", ,"INTERNAL MEDICINE GERIATRIC","1408","0","1","0"
"Line(06503)", ,"INTERNAL MEDICINE & PEDIATRICS","1450","11","19","0"
"Line(06504)", ,"OBSTETRICS & GYNECOLOGY","1750","9","16","0"
"Line(06505)", ,"PEDIATRICS GENERAL","2000","24","40","0"
"Line(06506)", ,"PEDIATRIC/EMERGENCY MEDICINE","2800","3","5","0"
"Line(06600)", ,"12","471","0"
"Line(06700)", ,"FAMILY MEDICINE","1350","4","27","0"
"Line(06701)", ,"INTERNAL MEDICINE GENERAL","1400","0","46","0"
"Line(06702)", ,"INTERNAL MEDICINE GERIATRIC","1408", ,"1"
"Line(06703)", ,"INTERNAL MEDICINE & PEDIATRICS","1450","1","30","0"
"Line(06704)", ,"PEDIATRICS GENERAL","2000","1","59","0"
"Line(07000)", ,"Y"
"Line(07100)", ,"Y","N"
"Line(07500)", ,"N"
"Line(08000)", ,"N"
"Line(08100)", ,"N"
"Line(08500)", ,"N"
"Line(09000)", ,"N","Y"
"Line(09100)", ,"N","N"
"Line(09200)", , ,"N"
"Line(09300)", ,"N","N"
"Line(09400)", ,"N","N"
"Line(09600)", ,"N","N"
"Line(10500)", ,"N"
"Line(10600)", ,"N"
"Line(10700)", ,"N"
"Line(10800)", ,"N"
"Line(10900)", ,"N","N","N","N"
"Line(11000)", ,"N"
"Line(11500)", ,"N"
"Line(11600)", ,"N"
"Line(11700)", ,"Y"
"Line(11800)", ,"1"
"Line(11801)", ,"5422136"
"Line(11802)", ,"N"
"Line(12000)", ,"N","N"
"Line(12100)", ,"Y"
"Line(12500)", ,"Y"
"Line(12600)", ,"10/17/1996"
"Line(12700)", ,"10/17/1996"
"Line(12800)", ,"03/11/1993"
"Line(12900)", ,"02/02/1995"
"Line(13000)", ,"07/01/1999"
"Line(13100)", ,"06/07/2005"
"Line(14000)", ,"Y","15H059"
"Line(14100)", ,"INDIANA UNIVERSITY HEALTH","WPS","08101"
"Line(14200)", ,"340 WEST 10TH STREET"
"Line(14300)", ,"INDIANAPOLIS","IN","46202"
"Line(14400)", ,"Y"
"Line(14500)", ,"N"
"Line(14600)", ,"N"
"Line(14700)", ,"N"
"Line(14800)", ,"N"
"Line(14900)", ,"N"
"Line(15500)", ,"N","N","N","N"
"Line(15600)", ,"N","N","N","N"
"Line(15700)", ,"N","N","N","N"
"Line(15900)", ,"N","N","N","N"
"Line(16000)", ,"N","N","N","N"
"Line(16100)", , ,"N","N","N"
"Line(16110)", , ,"N","N","N"
"Line(16500)", ,"N"
"Line(16700)", ,"Y"
"Line(16900)", ,"1"
"Line(17000)", ,"10/01/2012","09/30/2013"
