"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report B000001 ","-------------","-------------","-----------",""
"","","","FOR COST","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","","ALLOCATION"," "," ","","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","","COST CENTER DESCRIPTIONS","(from Wkst.","BLDGS. &","MOVABLE","EMPLOYEE","SUBTOTAL","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","","A col. 7)","FIXTURES","EQUIPMENT","BENEFITS","(cols. 0-4)","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","0","1","2","4","4A","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[558727] Report(B000001)","Entity[558727] Report(B000001[00000])","Entity[558727] Report(B000001[00100])","Entity[558727] Report(B000001[00200])", ,"Entity[558727] Report(B000001[00400])", ,"Entity[558727] Report(B000001[00600])","Entity[558727] Report(B000001[00700])","Entity[558727] Report(B000001[00800])", ,"Entity[558727] Report(B000001[01000])","Entity[558727] Report(B000001[01100])", ,"Entity[558727] Report(B000001[01300])","Entity[558727] Report(B000001[01400])","Entity[558727] Report(B000001[01500])","Entity[558727] Report(B000001[01600])","Entity[558727] Report(B000001[01700])","Entity[558727] Report(B000001[01800])", , ,"Entity[558727] Report(B000001[02100])","Entity[558727] Report(B000001[02200])", ,"Entity[558727] Report(B000001[02400])","Entity[558727] Report(B000001[02500])","Entity[558727] Report(B000001[02600])"
"Line(00100)","38780415","38780415"
"Line(00200)","61635308", ,"61635308"
"Line(00400)","135360578","12196", , ,"135372774"
"Line(00501)","132854"
"Line(00502)","61296148","19702", , ,"8490"
"Line(00503)","12959161","21366","232163", ,"2273"
"Line(00504)","10885419","13434"
"Line(00505)","31670029"
"Line(00506)","108245062","1053132","3138580", ,"3121777"
"Line(00600)","23563464","245174","1750", ,"77120", ,"25780657"
"Line(00700)","76414956","24713","88519", ,"388882", ,"17028","82665048"
"Line(00800)","3988","314482","1436", ,"233", ,"216690","695270","1261651"
"Line(00901)","3291112"
"Line(00902)","2716747"
"Line(00903)","5791785","17443", , ,"75068", ,"12019","38563","60"
"Line(01000)","10174383","374667","178129", ,"1960275", ,"258160","828330", , ,"15615939"
"Line(01100)","1857660","12063", , ,"24479", ,"8312","26670", , , ,"2080818"
"Line(01300)","22647613","295110","294529", ,"3669621", ,"203342","652443", , , ,"54071", ,"30704052"
"Line(01400)","125645874","473226","640785", ,"604971", ,"326071","1046229","4560", , ,"15849", , ,"138976996"
"Line(01500)","75674900","540189","2291730", ,"6394176", ,"372211","1194275","229", , ,"79243", ,"8866","1445372","96684258"
"Line(01600)","9552510","8991", , ,"76055", ,"6195","19877", , , ,"1398", , , , ,"10436741"
"Line(01700)","6802600","53160","2592", ,"1001140", ,"36630","117530","4", , ,"18878", , ,"833", , ,"9359248"
"Line(01800)","1986251","8603","78982", ,"421874", ,"5928","19020", , , ,"13518", , ,"3437", , , ,"2905532"
"Line(02100)","39652250","30811", , ,"6788646", ,"21230","68118","234", , ,"134246", , ,"34", , , , , , ,"50473425"
"Line(02200)","11809928","440136","18061", ,"121672", ,"303271","973073","1527", , ,"1631", , ,"6481", , , , , , , ,"15303698"
"Line(02301)","173220","99278","23279", ,"29893", ,"68406","219488", , , ,"466", , ,"41"
"Line(02302)","788045","36578", , ,"199759", ,"25204","80868", , , ,"2797"
"Line(02303)", ,"35122", , ,"86838", ,"24200","77649", , , ,"1165", , ,"2486"
"Line(02304)","181270","34139", , ,"53327", ,"23523","75476", , , ,"932"
"Line(02305)","546669", , , ,"129251", , , , , , ,"3263"
"Line(02306)","428590", , , ,"110712", , , , , , ,"1631", , ,"4772"
"Line(02307)","1280256", ,"3192", ,"262664", , , , , , ,"4428"
"Line(02308)","20"
"Line(02309)","206126","21640", , ,"52006", ,"14911","47844", , , ,"932", , ,"222"
"Line(02310)","237020","21158", , ,"53863", ,"14579","46778", , , ,"932", , ,"1638"
"Line(03000)","135082244","7033542","5283788", ,"27908199", ,"4846378","15550070","629533", ,"12311799","457280", ,"13964446","8990740", ,"1117701","6958945","311415", , ,"13659379","4141568", ,"294210610","-17800947","276409663"
"Line(03100)","15076381","469945","251194", ,"3155926", ,"323810","1038976","54844", ,"981292","48711", ,"1604803","1393960", ,"119662","554651","33341", , ,"1224003","371121", ,"30571631","-1595124","28976507"
"Line(03200)","11490384","370488","108702", ,"2388758", ,"255280","819091","53360", ,"693227","36825", ,"1241284","1352326", ,"88354","391830","24617", , ,"529989","160694", ,"22593061","-690683","21902378"
"Line(03201)","4653399","78110","157599", ,"978237", ,"53821","172689","3604", , ,"13751", ,"461048","239988", ,"39356","225288","10965", , ,"1112730","337383", ,"9709217","-1450113","8259104"
"Line(03300)","1555498","142568","30528", ,"318962", ,"98235","315196","3613", ,"104179","4428", ,"132995","94057", ,"11786","58885","3284", , , , , ,"3251843", ,"3251843"
"Line(03402)","3856253", ,"142559", ,"797605", , , ,"16417", ,"236536","12819", ,"452182","664988", ,"29093","133696","8106", , ,"6594","1999", ,"7628929","-8593","7620336"
