"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report A6000K0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[562588] Report(A6000K0)","Entity[562588] Report(A6000K0[00000])","Entity[562588] Report(A6000K0[00100])", ,"Entity[562588] Report(A6000K0[00300])", ,"Entity[562588] Report(A6000K0[00500])", ,"Entity[562588] Report(A6000K0[00700])", ,"Entity[562588] Report(A6000K0[00900])"
"Line(00100)","DRUGS CHARGED TO PATIENTS","K", ,"73", ,"58458645", ,"5", ,"1652842"
"Line(00200)","DRUGS CHARGED TO PATIENTS","K", ,"73", ,"3300876", ,"14", ,"19992"
"Line(00300)","DRUGS CHARGED TO PATIENTS","K", ,"73", ,"6053132", ,"15", ,"21960269"
"Line(00400)","DRUGS CHARGED TO PATIENTS","K", ,"191", ,"281", ,"15", ,"3053768"
"Line(00500)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"15", ,"6053131"
"Line(00600)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"30", ,"95"
"Line(00700)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"31", ,"379"
"Line(00800)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"40", ,"104"
"Line(00900)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"50", ,"322506"
"Line(01000)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"50", ,"1515"
"Line(01100)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"53", ,"592349"
"Line(01200)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"53", ,"2835"
"Line(01300)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"54", ,"448251"
"Line(01400)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"54", ,"134"
"Line(01500)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"55", ,"4673"
"Line(01600)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"56", ,"1353966"
"Line(01700)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"56", ,"21902"
"Line(01800)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"57", ,"1568"
"Line(01900)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"58", ,"1887"
"Line(02000)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"59", ,"540633"
"Line(02100)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"60", ,"2270"
"Line(02200)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"60", ,"14479"
"Line(02300)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"60", ,"1043"
"Line(02400)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"63", ,"154688"
"Line(02500)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"64", ,"11392356"
"Line(02600)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"65", ,"22648"
"Line(02700)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"65", ,"8085"
"Line(02800)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"66", ,"30"
"Line(02900)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"67", ,"5"
"Line(03000)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"70", ,"342791"
"Line(03100)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"71", ,"2207"
"Line(03200)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"74", ,"1499456"
"Line(03300)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"90", ,"8144055"
"Line(03400)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"90", ,"769136"
"Line(03500)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"90", ,"83219"
"Line(03600)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"90", ,"242079"
"Line(03700)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"90", ,"478380"
"Line(03800)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"90", ,"77940"
"Line(03900)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"90", ,"4178386"
"Line(04000)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"90", ,"91394"
"Line(04100)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"90", ,"226979"
"Line(04200)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"90", ,"52208"
"Line(04300)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"90", ,"49553"
"Line(04400)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"90", ,"381421"
"Line(04500)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"90", ,"10496"
"Line(04600)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"90", ,"62933"
"Line(04700)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"90", ,"1267594"
"Line(04800)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"90", ,"85711"
"Line(04900)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"90", ,"43602"
"Line(05000)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"90", ,"930112"
"Line(05100)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"90", ,"202993"
"Line(05200)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"90", ,"220722"
"Line(05300)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"91", ,"11693"
"Line(05400)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"94", ,"146559"
"Line(05500)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"105", ,"2334"
"Line(05600)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"106", ,"4854"
"Line(05700)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"112", ,"1647"
"Line(05800)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"116", ,"404077"
"Line(05900)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"116", ,"155062"
"Line(06000)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"191", ,"14923"
"Line(06100)","DRUGS CHARGED TO PATIENTS","K", , , , , ,"194", ,"15"
