"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report A6000Q0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[562588] Report(A6000Q0)","Entity[562588] Report(A6000Q0[00000])","Entity[562588] Report(A6000Q0[00100])", ,"Entity[562588] Report(A6000Q0[00300])","Entity[562588] Report(A6000Q0[00400])", , ,"Entity[562588] Report(A6000Q0[00700])","Entity[562588] Report(A6000Q0[00800])"
"Line(00100)","TREATMENT ROOM SALARY","Q", ,"50","569005", , ,"30","98738"
"Line(00200)","TREATMENT ROOM SALARY","Q", , , , , ,"31","150251"
"Line(00300)","TREATMENT ROOM SALARY","Q", , , , , ,"31","15536"
"Line(00400)","TREATMENT ROOM SALARY","Q", , , , , ,"40","595"
"Line(00500)","TREATMENT ROOM SALARY","Q", , , , , ,"43","1121"
"Line(00600)","TREATMENT ROOM SALARY","Q", , , , , ,"44","1445"
"Line(00700)","TREATMENT ROOM SALARY","Q", , , , , ,"50","96"
"Line(00800)","TREATMENT ROOM SALARY","Q", , , , , ,"52","31634"
"Line(00900)","TREATMENT ROOM SALARY","Q", , , , , ,"53","37534"
"Line(01000)","TREATMENT ROOM SALARY","Q", , , , , ,"54","122923"
"Line(01100)","TREATMENT ROOM SALARY","Q", , , , , ,"54","14363"
"Line(01200)","TREATMENT ROOM SALARY","Q", , , , , ,"55","11"
"Line(01300)","TREATMENT ROOM SALARY","Q", , , , , ,"57","1250"
"Line(01400)","TREATMENT ROOM SALARY","Q", , , , , ,"59","948"
"Line(01500)","TREATMENT ROOM SALARY","Q", , , , , ,"64","18"
"Line(01600)","TREATMENT ROOM SALARY","Q", , , , , ,"65","12775"
"Line(01700)","TREATMENT ROOM SALARY","Q", , , , , ,"67","29"
"Line(01800)","TREATMENT ROOM SALARY","Q", , , , , ,"90","78599"
"Line(01900)","TREATMENT ROOM SALARY","Q", , , , , ,"90","29"
"Line(02000)","TREATMENT ROOM SALARY","Q", , , , , ,"90","382"
"Line(02100)","TREATMENT ROOM SALARY","Q", , , , , ,"90","6"
"Line(02200)","TREATMENT ROOM SALARY","Q", , , , , ,"90","126"
"Line(02300)","TREATMENT ROOM SALARY","Q", , , , , ,"90","45"
"Line(02400)","TREATMENT ROOM SALARY","Q", , , , , ,"90","33"
"Line(02500)","TREATMENT ROOM SALARY","Q", , , , , ,"90","67"
"Line(02600)","TREATMENT ROOM SALARY","Q", , , , , ,"91","437"
"Line(02700)","TREATMENT ROOM SALARY","Q", , , , , ,"91","14"
