"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report A700001 ","-------------","-------------","-----------",""
"","","","","","Acquisitions","","","Disposals","","Fully"
"","","","","Beginning","","","","and","Ending","Depreciated"
"","","Description","","Balances","Purchases","Donation","Total","Retirements","Balance","Assets"
"","","","","1","2","3","4","5","6","7"
"Entity[562588] Report(A700001)", ,"Entity[562588] Report(A700001[00100])","Entity[562588] Report(A700001[00200])", ,"Entity[562588] Report(A700001[00400])","Entity[562588] Report(A700001[00500])","Entity[562588] Report(A700001[00600])"
"Line(00100)", ,"30522471","9746831", ,"9746831", ,"40269302"
"Line(00200)", ,"13779106","26003", ,"26003", ,"13805109"
"Line(00300)", ,"441936006","89356323", ,"89356323", ,"531292329"
"Line(00500)", ,"135457346", , , ,"28104251","107353095"
"Line(00600)", ,"578293421", , , ,"258962185","319331236"
"Line(00800)", ,"1199988350","99129157", ,"99129157","287066436","1012051071"
