"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report B000001 ","-------------","-------------","-----------",""
"","","","FOR COST","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","","ALLOCATION"," "," ","","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","","COST CENTER DESCRIPTIONS","(from Wkst.","BLDGS. &","MOVABLE","EMPLOYEE","SUBTOTAL","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","","A col. 7)","FIXTURES","EQUIPMENT","BENEFITS","(cols. 0-4)","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","0","1","2","4","4A","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[562588] Report(B000001)","Entity[562588] Report(B000001[00000])","Entity[562588] Report(B000001[00100])","Entity[562588] Report(B000001[00200])", ,"Entity[562588] Report(B000001[00400])","Entity[562588] Report(B000001[00500])", ,"Entity[562588] Report(B000001[00700])","Entity[562588] Report(B000001[00800])","Entity[562588] Report(B000001[00900])","Entity[562588] Report(B000001[01000])","Entity[562588] Report(B000001[01100])", ,"Entity[562588] Report(B000001[01300])","Entity[562588] Report(B000001[01400])","Entity[562588] Report(B000001[01500])","Entity[562588] Report(B000001[01600])","Entity[562588] Report(B000001[01700])", , , ,"Entity[562588] Report(B000001[02100])","Entity[562588] Report(B000001[02200])","Entity[562588] Report(B000001[02300])","Entity[562588] Report(B000001[02400])","Entity[562588] Report(B000001[02500])","Entity[562588] Report(B000001[02600])"
"Line(00100)","58426439","58426439"
"Line(00101)","2165619"
"Line(00200)","61112404", ,"61112404"
"Line(00201)","1959668"
"Line(00400)","115516450","8154", , ,"115524604"
"Line(00401)","4984740"
"Line(00500)","142109891","13797562","5553243", ,"7138697","168667825"
"Line(00700)","10755498","2446221","353667", ,"201831","2824797", ,"16582014"
"Line(00701)","284424", ,"2467", , ,"260578"
"Line(00800)","1089500","226024","63812", ,"8012","284867", ,"88865","1761080"
"Line(00801)","180600", , , , ,"45486"
"Line(00900)","2096011","4292","12250", ,"250354","485180", ,"1688","1398","2851173"
"Line(00901)","829534", , , ,"24244","212360", , ,"8099"
"Line(01000)","4220599","970586","1961745", ,"877244","1648852", ,"381607","6832","35102","10102567"
"Line(01001)","745538", , , , ,"231364"
"Line(01100)", , , , , , , , , , ,"4305978","4305978"
"Line(01300)","8799946","307449","3076075", ,"1716763","2854163", ,"120882", ,"10776", ,"89359", ,"16975413"
"Line(01301)","760860", ,"15783", ,"37889","218597", , , , , ,"8563", ,"249"
"Line(01400)","2688821","320480","220936", ,"402316","745879", ,"126005", ,"11000", ,"29109", , ,"4544546"
"Line(01401)","475417", , , , ,"127188", , , , , ,"4381"
"Line(01500)","19871720","392160","520857", ,"2164931","4712301", ,"154188", ,"13207", ,"93569", , , ,"27922933"
"Line(01501)","3266900", , , , ,"788660", , , , , ,"17578"
"Line(01600)","3283535", , , , ,"674215", , , , , , , , , , ,"3957750"
"Line(01601)","620", , , , ,"127"
"Line(01700)","5891897","72416","20417", ,"1030859","1440525", ,"28473", ,"1909", ,"56900", ,"2697642", , , ,"11241038"
"Line(01701)","777444", , , , ,"197355", , , , , ,"9035"
"Line(01802)","1", , , , , , , , ,"22615"
"Line(02100)","21478280", ,"21873", ,"5338753","5510886", , , ,"14536", ,"334698", , , , , , , , , ,"32699026"
"Line(02200)","18909981","590148","76029", ,"1101614","4245808", ,"232035", ,"6058", ,"29855", , , , , , , , , , ,"25191528"
"Line(02300)","63625", , , ,"14207","15981", , , , , ,"822", , , , , , , , , , , ,"94635"
"Line(02304)","114122","2866","4253", ,"23017","29621", ,"1133", ,"461", ,"1315"
"Line(02315)","440907","41298","4652", ,"84145","117245", ,"16237", ,"1418", ,"6152"
