"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report B000002 ","-------------","-------------","-----------",""
"","","","ASSIGNED","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","","NEW CAPITAL"," "," ","SUBTOTAL","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","","COST CENTER DESCRIPTIONS","RELATED","BLDGS. &","MOVABLE","(sum of","EMPLOYEE","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","","COSTS","FIXTURES","EQUIPMENT","(cols. 0-2)","BENEFITS","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","0","1","2","2A","4","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[562588] Report(B000002)", ,"Entity[562588] Report(B000002[00100])","Entity[562588] Report(B000002[00200])", ,"Entity[562588] Report(B000002[00400])","Entity[562588] Report(B000002[00500])", ,"Entity[562588] Report(B000002[00700])","Entity[562588] Report(B000002[00800])","Entity[562588] Report(B000002[00900])","Entity[562588] Report(B000002[01000])","Entity[562588] Report(B000002[01100])", ,"Entity[562588] Report(B000002[01300])","Entity[562588] Report(B000002[01400])","Entity[562588] Report(B000002[01500])","Entity[562588] Report(B000002[01600])","Entity[562588] Report(B000002[01700])", , , ,"Entity[562588] Report(B000002[02100])","Entity[562588] Report(B000002[02200])","Entity[562588] Report(B000002[02300])","Entity[562588] Report(B000002[02400])", ,"Entity[562588] Report(B000002[02600])"
"Line(00400)", ,"8154", , ,"8154"
"Line(00401)"
"Line(00500)", ,"13797562","5553243", ,"512","19351392"
"Line(00700)", ,"2446221","353667", ,"14","324093", ,"3123995"
"Line(00701)", , ,"2467", , ,"29896"
"Line(00800)", ,"226024","63812", ,"1","32683", ,"16742","339262"
"Line(00801)", , , , , ,"5219"
"Line(00900)", ,"4292","12250", ,"18","55665", ,"318","269","72812"
"Line(00901)", , , , ,"2","24364", , ,"1560"
"Line(01000)", ,"970586","1961745", ,"63","189175", ,"71893","1316","896","3195674"
"Line(01001)", , , , , ,"26545"
"Line(01100)", , , , , , , , , , ,"1362080","1362080"
"Line(01300)", ,"307449","3076075", ,"123","327462", ,"22774", ,"275", ,"28266", ,"3762424"
"Line(01301)", , ,"15783", ,"3","25080", , , , , ,"2709", ,"55"
"Line(01400)", ,"320480","220936", ,"29","85576", ,"23739", ,"281", ,"9208", , ,"660249"
"Line(01401)", , , , , ,"14592", , , , , ,"1386"
"Line(01500)", ,"392160","520857", ,"155","540648", ,"29048", ,"337", ,"29598", , , ,"1512803"
"Line(01501)", , , , , ,"90484", , , , , ,"5560"
"Line(01600)", , , , , ,"77354", , , , , , , , , , ,"77354"
"Line(01601)", , , , , ,"15"
"Line(01700)", ,"72416","20417", ,"74","165273", ,"5364", ,"49", ,"17999", ,"597903", , , ,"879495"
"Line(01701)", , , , , ,"22643", , , , , ,"2858"
"Line(01802)", , , , , , , , , ,"578"
"Line(02100)", , ,"21873", ,"383","632271", , , ,"371", ,"105873", , , , , , , , , ,"760771"
"Line(02200)", ,"590148","76029", ,"79","487127", ,"43715", ,"155", ,"9444", , , , , , , , , , ,"1206697"
"Line(02300)", , , , ,"1","1834", , , , , ,"260", , , , , , , , , , , ,"2095"
"Line(02304)", ,"2866","4253", ,"2","3398", ,"213", ,"12", ,"416"
"Line(02315)", ,"41298","4652", ,"6","13452", ,"3059", ,"36", ,"1946"
"Line(02317)", , ,"1161", ,"5","11042", , , , , ,"2702"
"Line(02319)", , , , , ,"4769"
"Line(03000)", ,"6799657","3722812", ,"524","1521115", ,"503672","126146","16216","1088608","147666", ,"882221", , ,"4697","13526", , , , , , ,"14827188", ,"14827188"
"Line(03100)", ,"1472005","741097", ,"186","453182", ,"109036","19145","3698","155945","35776", ,"302554", , ,"1671", , , , , , , ,"3294295", ,"3294295"
"Line(03101)", ,"619267","769982", ,"81","290794", ,"45872","2799","1866","116796","17325", ,"120350", , ,"1318", , , , , , , ,"1986450", ,"1986450"
"Line(03102)", , , , , ,"97657", , , , , ,"7199", , , , , , , , , , , , ,"1261988", ,"1261988"
"Line(04000)", ,"384189","214623", ,"29","82776", ,"28458","2490","455","48042","7109", ,"71343", , ,"237", , , , , , , ,"839754", ,"839754"
"Line(04300)", ,"109973","19700", ,"8","22543", ,"8146","8943","13","33014","1713", ,"17054", , ,"82", , , , , , , ,"221323", ,"221323"
"Line(04400)", ,"660284","198718", ,"38","98497", ,"48908","7105","1119","95529","9936", ,"121557", , ,"233", , , , , , , ,"1241924", ,"1241924"
"Line(05000)", ,"3915562","10717412", ,"520","1313637", ,"290038","18869","9981", ,"78199", ,"168657", , ,"7252","20970", , , , , , ,"16541213", ,"16541213"
"Line(05001)", , ,"163309", ,"11","186640", , , , , ,"9337", , , , ,"11", , , , , , , ,"1698445", ,"1698445"
"Line(05200)", ,"541471","194042", ,"48","130763", ,"40108", ,"1998","25022","10328", ,"93579", , ,"656", , , , , , , ,"1038015", ,"1038015"
"Line(05300)", ,"419293","1753590", ,"607","413351", ,"31058","237","723", ,"43422", ,"163471", , ,"2117", , , , , , , ,"2827869", ,"2827869"
"Line(05301)", , , , , ,"33218", , , , , ,"3521", , , , , , , , , , , , ,"216288", ,"216288"
"Line(05400)", ,"2305718","6964386", ,"384","745943", ,"170791","10614","4003", ,"46789", ,"20605", , ,"4046", , , , , , , ,"10273279", ,"10273279"
"Line(05413)", , ,"87137", , ,"50151", , , , , ,"3365", , , , ,"12", , , , , , , ,"508215", ,"508215"
"Line(05500)", ,"321368","1366791", ,"85","181070", ,"23805", ,"276", ,"8262", , , , ,"1560", , , , , , , ,"1903217", ,"1903217"
"Line(05600)", ,"179324","204078", ,"22","45170", ,"13283", ,"157", ,"2628", , , , ,"464", , , , , , , ,"445126", ,"445126"
"Line(05601)", , , , , ,"2024", , , , , ,"49", , , , , , , , , , , , ,"52580", ,"52580"
"Line(05700)", ,"143424","75083", ,"20","147041", ,"10624", ,"126", ,"5047", , , , ,"2706", , , , , , , ,"384071", ,"384071"
"Line(05701)", , , , , ,"14822", , , , , ,"1131", , , , , , , , , , , , ,"33213", ,"33213"
"Line(05800)", ,"318181","1259826", ,"19","135241", ,"23569", ,"300", ,"5013", ,"216", , ,"1637", , , , , , , ,"1744002", ,"1744002"
"Line(05801)", , , , , ,"16474", , , , , ,"636", , , , , , , , , , , , ,"96808", ,"96808"
"Line(05900)", ,"505108","474460", ,"55","164316", ,"37415", ,"443", ,"5225", ,"21950", , ,"1421", , , , , , , ,"1210393", ,"1210393"
"Line(06000)", ,"1258887","1652881", ,"189","313607", ,"93250","340","2160", ,"58728", ,"9328", , ,"7092", , , , , , , ,"3396462", ,"3396462"
"Line(06005)", ,"609595","1456562", ,"123","284296", ,"45154", ,"526", ,"16810", , , , ,"1111", , , , , , , ,"2414177", ,"2414177"
"Line(06006)", ,"41881","1756", ,"4","13100", ,"3102", ,"37", ,"862", , , , ,"46", , , , , , , ,"60788", ,"60788"
"Line(06016)", , ,"7340", , ,"68529", , , , , ,"4293", , , , ,"1", , , , , , , ,"315971", ,"315971"
"Line(06300)", ,"311036","207078", ,"75","140785", ,"23039", ,"273", ,"17722", ,"20856", , ,"1102", , , , , , , ,"721966", ,"721966"
"Line(06301)", , , , , ,"1718", , , , , , , , , , , , , , , , , , ,"2232", ,"2232"
"Line(06400)", ,"346355","14640", ,"25","142493", ,"25656", ,"304", ,"5060", ,"16841", , ,"491","103", , , , , , ,"551968", ,"551968"
"Line(06500)", ,"1118719","2169145", ,"238","275497", ,"82867", ,"981", ,"38167", ,"34958", , ,"4243", , , , , , , ,"3724815", ,"3724815"
"Line(06501)", ,"66653","107789", ,"6","14792", ,"4937", ,"15", ,"1439", , , , ,"97", , , , , , , ,"195728", ,"195728"
"Line(06502)", , , , , ,"45014", , , , , ,"4375", , , , , , , , , , , , ,"144516", ,"144516"
"Line(06600)", ,"347493","68609", ,"59","106974", ,"25740", ,"335", ,"13686", , , , ,"735", , , , , , , ,"563631", ,"563631"
"Line(06602)", , , , , ,"8260", , , , , ,"734", , , , , , , , , , , , ,"39262", ,"39262"
"Line(06700)", ,"15882","12977", ,"20","30811", ,"1176", ,"73", ,"3612", , , , ,"311", , , , , , , ,"64862", ,"64862"
"Line(06702)", , , , , ,"7754", , , , , ,"634", , , , ,"1", , , , , , , ,"39618", ,"39618"
"Line(06800)", ,"27655","211", ,"11","27375", ,"2048", ,"27", ,"2516", , , , ,"98", , , , , , , ,"59941", ,"59941"
"Line(06802)", ,"59111","35373", ,"9","26241", ,"4379", ,"40", ,"1749", , , , ,"118", , , , , , , ,"127020", ,"127020"
"Line(06803)", , , , ,"1","2419", , , , , ,"210", , , , ,"13", , , , , , , ,"4232", ,"4232"
"Line(06900)", ,"511853","105081", ,"79","37969", ,"37915","1735","1077", ,"13431", ,"171", , ,"555", , , , , , , ,"709866", ,"709866"
"Line(06901)", , , , , ,"105", , , , , , , , , , , , , , , , , , ,"3258", ,"3258"
"Line(07000)", ,"296096","179801", ,"80","114387", ,"21933","10996","478", ,"10957", , , , ,"584","36015", , , , , , ,"671327", ,"671327"
"Line(07100)", , ,"159940", , ,"1502896", , , , , , , , ,"437898", ,"4901", , , , , , , ,"2105635", ,"2105635"
"Line(07101)", , , , , ,"98697", , , , , , , , , , , , , , , , , , ,"292977", ,"292977"
"Line(07200)", , , , , ,"579184", , , , , , , , ,"222351", ,"2965", , , , , , , ,"804500", ,"804500"
"Line(07201)", , , , , ,"20784", , , , , , , , , , , , , , , , , , ,"50011", ,"50011"
"Line(07300)", , , , , ,"1214157", , , , , , , , , ,"1512803","8122", , , , , , , ,"2735082", ,"2735082"
"Line(07301)", , , , , ,"35271", , , , , , , , , , , , , , , , , , ,"258734", ,"258734"
"Line(07400)", ,"1043043","1565396", ,"90","230930", ,"77262","160","944", ,"27947", ,"110358", , ,"1445","84239", , , , , , ,"3141814", ,"3141814"
"Line(07602)", , ,"2694", ,"3","3898", , ,"39", , ,"893", , , , ,"23", , , , , , , ,"7550", ,"7550"
"Line(09000)", ,"6479838","5226529", ,"1382","1388523", ,"479983","103144","11398", ,"211411", ,"287986", , ,"3934","245688", , , , , , ,"14439816", ,"14439816"
"Line(09001)", ,"457048","45594", ,"90","103300", ,"33854","4567","429", ,"13897", ,"52131", , ,"351","127782", , , , , , ,"839043", ,"839043"
"Line(09002)", ,"332222","35373", ,"24","25119", ,"24609", ,"294", ,"4207", ,"13500", , ,"86","6899", , , , , , ,"442333", ,"442333"
"Line(09003)", ,"516484","249095", ,"76","88918", ,"38257","1390","164", ,"10493", ,"29226", , ,"383","420", , , , , , ,"934906", ,"934906"
"Line(09004)", ,"279212","331815", ,"59","62466", ,"20682","1782","117", ,"10014", ,"23756", , ,"259", , , , , , , ,"730162", ,"730162"
"Line(09005)", ,"68392","28361", ,"18","16256", ,"5067","1718","294", ,"2796", ,"9477", , ,"77", , , , , , , ,"132456", ,"132456"
"Line(09006)", , ,"686178", ,"20","112538", , ,"1898", , ,"3122", , , , ,"706", , , , , , , ,"804462", ,"804462"
"Line(09007)", ,"88237","21423", ,"13","14034", ,"6536","261","77", ,"2004", ,"1953", , ,"65", , , , , , , ,"134603", ,"134603"
"Line(09008)", , ,"100337", ,"14","14121", , ,"188", , ,"2582", ,"335", , ,"66", , , , , , , ,"117643", ,"117643"
"Line(09009)", ,"428400","13128", ,"14","24430", ,"31733","97","376", ,"2513", ,"15322", , ,"47", , , , , , , ,"516060", ,"516060"
"Line(09010)", ,"152406","273131", ,"17","14280", ,"11289","228","134", ,"3041", ,"13828", , ,"56", , , , , , , ,"468410", ,"468410"
"Line(09011)", , ,"229636", ,"20","22145", , , , , ,"2829", ,"335", , ,"106", , , , , , , ,"255071", ,"255071"
"Line(09012)", , ,"3836", ,"3","3220", , ,"7", , ,"648", , , , ,"8", , , , , , , ,"7722", ,"7722"
"Line(09013)", ,"127972","9054", ,"14","12834", ,"9479","543","112", ,"1863", ,"16897", , ,"60", , , , , , , ,"178828", ,"178828"
"Line(09014)", ,"403994","1046390", ,"360","280701", ,"29925","6222","354", ,"42541", ,"95439", , ,"1085","55015", , , , , , ,"1962026", ,"1962026"
"Line(09015)", ,"180736","1705", ,"17","22365", ,"13388","280","158", ,"2571", ,"9172", , ,"76", , , , , , , ,"230468", ,"230468"
"Line(09016)", ,"99827","73488", ,"13","15584", ,"7394","181","88", ,"2004", ,"13579", , ,"48", , , , , , , ,"212206", ,"212206"
"Line(09017)", ,"1136993","1234024", ,"210","165275", ,"84220","217","985", ,"23133", ,"32108", , ,"812", , , , , , , ,"2677977", ,"2677977"
"Line(09018)", ,"249106","3089", ,"38","40883", ,"18452","797","218", ,"6149", ,"17192", , ,"135", , , , , , , ,"336059", ,"336059"
"Line(09020)", ,"9076","1003439", ,"97","214066", ,"672","987", , ,"10009", ,"12044", , ,"413","50682", , , , , , ,"1301485", ,"1301485"
"Line(09100)", ,"1221698","520866", ,"215","556610", ,"90495","1992","4638", ,"38160", ,"265320", , ,"3479","15075", , , , , , ,"2718548", ,"2718548"
"Line(09101)", , , , , ,"128373", , , , , ,"9411", , , , , , , , , , , , ,"498170", ,"498170"
"Line(09400)", ,"135175","6441", ,"4","21887", ,"10013", ,"98", ,"941", ,"22494", , ,"206", , , , , , , ,"197259", ,"197259"
"Line(10100)", ,"77722","41885", ,"62","171317", , , ,"68", ,"12650", ,"24626", , ,"206","17996", , , , , , ,"346532", ,"346532"
"Line(10101)", , ,"17810", ,"29","74631", ,"5757", , , ,"6087", ,"9915", , ,"92","29462", , , , , , ,"143783", ,"143783"
"Line(10500)", ,"30476","1952", ,"11","52991", ,"2257", ,"66", ,"1373", , , , ,"48","4469", , , , , , ,"93643", ,"93643"
"Line(10600)", ,"535","17843", , ,"10036", ,"39", ,"8", ,"77", , , , ,"45","5708", , , , , , ,"34291", ,"34291"
"Line(10900)", ,"3678","235", ,"1","9737", ,"273", , , ,"166", , , , ,"1","539", , , , , , ,"14630", ,"14630"
"Line(11200)", , ,"37302", ,"2","12630", , , , , ,"123", , , , ,"25","17417", , , , , , ,"67499", ,"67499"
"Line(11600)", ,"85415","6735", ,"46","162911", ,"6327", ,"72", ,"11341", ,"597", , ,"210","118273", , , , , , ,"391927", ,"391927"
"Line(11601)", , ,"449", ,"18","71359", , , , , ,"3903", ,"20463", , ,"95","29217", , , , , , ,"125504", ,"125504"
"Line(11800)", ,"56493381","59850682", ,"8006","18598568", ,"2980807","339262","71782","2925036","1333785", ,"3761722","660249","1512803","77354","879495", , , , , , ,"117207121", ,"117207121"
"Line(19000)", ,"45295","32632", ,"3","19999", ,"3354", ,"12", ,"1255", , , , , , , , , , , , ,"102550", ,"102550"
"Line(19001)", ,"715406", , , ,"16854", ,"52992", ,"2", , , , , , , , , , , , , , ,"785254", ,"785254"
"Line(19002)", , ,"12224", , ,"4271", , , , , ,"327", , , , , , , , , , , , ,"16958", ,"16958"
"Line(19100)", ,"469344","186789", ,"18","224081", ,"34767", ,"386", ,"14552", , , , , , , , , , , , ,"929937", ,"929937"
"Line(19101)", ,"181104","981682", ,"49","226547", ,"13415", ,"160", ,"8030", ,"702", , , , , , , , , , ,"1411689", ,"1411689"
"Line(19102)", ,"481440","47475", , ,"7093", ,"35662", ,"422", , , , , , , , , , , , , , ,"572092", ,"572092"
"Line(19402)", ,"26243", , ,"6","112173", ,"1944", ,"23", ,"2172", , , , , , , , , , , , ,"142561", ,"142561"
"Line(19404)", ,"14226","920", ,"72","141496", ,"1054", ,"25","270638","1959", , , , , , , , , , , , ,"430390", ,"430390"
"Line(19408)", , , , , ,"310", , , , , , , , , , , , , , , , , , ,"727", ,"727"
"Line(20000)", , , , , , , , , , , , , , , , , , , , , ,"760771","1206697","2095","2064851", ,"2064851"
