"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report C000001 ","-------------","-------------","-----------",""
"","","","(from Wkst.","Therapy","","RCE","","","","Total","","TEFRA","PPS"
"","","COST CENTER DESCRIPTIONS","\"B"," Part I","\"","Limit","Total","Dis-","Total","","","(column 6","Cost or ","Inpatient","Inpatient"
"","","","col. 26)","Adj.","Costs","allowance","Costs","Inpatient","Outpatient","+ column 7)","Other Ratio","Ratio","Ratio"
"","","","1","2","3","4","5","6","7","8","9","10","11"
"Entity[562588] Report(C000001)", ,"Entity[562588] Report(C000001[00100])", ,"Entity[562588] Report(C000001[00300])","Entity[562588] Report(C000001[00400])","Entity[562588] Report(C000001[00500])","Entity[562588] Report(C000001[00600])","Entity[562588] Report(C000001[00700])","Entity[562588] Report(C000001[00800])","Entity[562588] Report(C000001[00900])", ,"Entity[562588] Report(C000001[01100])"
"Line(03000)", ,"90605352", ,"90605352","87294","90692646","180556112", ,"180556112"
"Line(03100)", ,"26136082", ,"26136082","95626","26231708","64249505", ,"64249505"
"Line(03101)", ,"16295956", ,"16295956", ,"16295956","50702393", ,"50702393"
"Line(03102)", ,"9343814", ,"9343814", ,"9343814","13008533", ,"13008533"
"Line(04000)", ,"4947012", ,"4947012", ,"4947012","9281378", ,"9281378"
"Line(04100)", ,"23", ,"23", ,"23"
"Line(04300)", ,"1454676", ,"1454676", ,"1454676","3163854", ,"3163854"
"Line(04400)", ,"6316847", ,"6316847", ,"6316847","8976149", ,"8976149"
"Line(05000)", ,"70938237", ,"70938237","1457368","72395605","117341730","197486873","314828603","0", ,"0"
"Line(05001)", ,"10714150", ,"10714150", ,"10714150","8033048","24829076","32862124","0", ,"0"
"Line(05200)", ,"7548612", ,"7548612", ,"7548612","21605104","3684814","25289918","0", ,"0"
"Line(05300)", ,"22324993", ,"22324993","1222840","23547833","33202785","48345317","81548102","0", ,"0"
"Line(05301)", ,"1742337", ,"1742337","195684","1938021","2325450","6595191","8920641","0", ,"0"
"Line(05400)", ,"39729336", ,"39729336","1058960","40788296","47066540","113099510","160166050","0", ,"0"
"Line(05413)", ,"2740352", ,"2740352", ,"2740352","2561267","6133062","8694329","0", ,"0"
