"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report D00A184 ","-------------","-------------","-----------",""
"","applicable","","\"   [ ] Title XVIII"," Part A\"","","","   [ ] IPF","           [ ] SNF","","","   [ ] TEFRA"
"","boxes:","","   [ ] Title XIX","","","   [ ] IRF","           [ ] NF","","",""
"","","","","","","","","","",""
"","","","","","","","","All","","Total"
"","","","","","Non","","","Other ","","Outpatient"
"","","","","","Physician","","","Medical","Total cost","Cost"
"","","","","","Anesthetist","Nursing","Allied","Education","(sum of col 1","\"(sum of col. 2","\""
"","","","","","Cost","School","Health","Cost","through col. 4)","3 and 4)"
"","Cost Center Description","","","","1","2","3","4","5","6"
"","ANCILLARY SERVICE COST CENTERS","","","","","","","","",""
"Entity[562588] Report(D00A184)", , , ,"Entity[562588] Report(D00A184[00300])", ,"Entity[562588] Report(D00A184[00500])","Entity[562588] Report(D00A184[00600])","Entity[562588] Report(D00A184[00700])","Entity[562588] Report(D00A184[00800])","Entity[562588] Report(D00A184[00900])","Entity[562588] Report(D00A184[01000])","Entity[562588] Report(D00A184[01100])","Entity[562588] Report(D00A184[01200])","Entity[562588] Report(D00A184[01300])"
"Line(05000)", , , , , , , ,"314828603", , ,"44729093", ,"45891084"
"Line(05001)", , , , , , , ,"32862124", , , , ,"808"
"Line(05200)", , , , , , , ,"25289918", , ,"209480", ,"44663"
"Line(05300)", , , , , , , ,"81548102", , ,"12279376", ,"12705200"
"Line(05301)", , , , , , , ,"8920641", , ,"1630"
"Line(05400)", , , , , , , ,"160166050", , ,"21125967", ,"36012536"
"Line(05413)", , , , , , , ,"8694329", , ,"2092", ,"5833"
"Line(05500)", , , ,"266280", ,"266280","266280","59984436","0","0","1194293","5301","24013532","106596"
"Line(05600)", , , , , , , ,"17859269", , ,"966693", ,"7148379"
"Line(05601)", , , , , , , ,"508121", , ,"9385", ,"14059"
"Line(05700)", , , , , , , ,"104060334", , ,"16207146", ,"26784813"
"Line(05701)", , , , , , , ,"4477410"
"Line(05800)", , , , , , , ,"62950039", , ,"6334724", ,"16123213"
"Line(05801)", , , , , , , ,"6487343"
"Line(05900)", , , , , , , ,"54656719", , ,"14096367", ,"11705924"
"Line(06000)", , , ,"176788", ,"176788","176788","230476776","0","0","40816939","31307","14736285","11303"
"Line(06005)", , , , , , , ,"67210298", , ,"8650881", ,"9541729"
"Line(06006)", , , , , , , ,"1772435", , ,"143098", ,"295405"
"Line(06016)", , , , , , , ,"10611146", , ,"5849", ,"1504"
"Line(06300)", , , , , , , ,"42366753", , ,"12773489", ,"6419298"
"Line(06301)", , , , , , , ,"1751258", , ,"88", ,"14"
"Line(06400)", , , , , , , ,"18896515", , ,"34533", ,"2425604"
"Line(06500)", , , , , , , ,"77294061", , ,"23867500", ,"15321115"
