"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report H310181 ","-------------","-------------","-----------",""
"","PART I - COMPUTATION OF THE AGGREGATE PROGRAM COST","","","","","","","","","","","","","",""
"","Cost Per Visit Computation","","","","","","","","","Program Visits","","","Cost of Services","",""
"","","\"From","\"","Facility","Shared","","","Average","","                    Part B","","","                    Part B","","",""
"","","Wkst.","Costs","Ancillary","Total","","Cost","","Not","","","Not","","Total",""
"","","\"H-2","\"","(from","Costs","HHA","","Per Visit","","Subject to","Subject to","","Subject to","Subject to","Program Cost",""
"","Patient Services","\"Part I","\"","\"Wkst. H-2","\"","(from","Costs","Total","(col. 3 ","","Deductibles ","Deductibles ","","Deductibles ","Deductibles ","(sum of",""
"","","\"col. 28","\"","Part I)","Part II)","(cols. 1 + 2)","Visits","� col. 4)","Part A","& Coinsurance","& Coinsurance","Part A","& Coinsurance","& Coinsurance","cols. 9-10)",""
"","","line","1","2","3","4","5","6","7","8","9","10","11","12",""
"1","Skilled Nursing Care","2","","","","","","","","","","","","","1"
"2","Physical Therapy","3","","","","","","","","","","","","","2"
"3","Occupational Therapy","4","","","","","","","","","","","","","3"
"4","Speech Pathology","5","","","","","","","","","","","","","4"
"5","Medical Social Services","6","","","","","","","","","","","","","5"
"6","Home Health Aide","7","","","","","","","","","","","","","6"
"7","Total (sum of lines 1-6)","","","","","","","","","","","","","","7"
"","Limitation Cost Computation","","","","","","","","","","","Program Visits","","",""
"","","","","","","","","","","","","","                    Part B","",""
"","","","","","","","","","","","","","Not Subject to","Subject to",""
"","Patient Services","","","","","","","","","","CBSA","","Deductibles ","Deductibles ",""
"","","","","","","","","","","","No. (1)","Part A","& Coinsurance","& Coinsurance",""
"","","","","","","","","","","","1","2","3","4",""
"8"," Skilled Nursing Care","","","","","","","","","",""," "," ","","8"
"9"," Physical Therapy","","","","","","","","","","","","","","9"
"10"," Occupational Therapy","","","","","","","","","","","","","","10"
"11"," Speech Pathology","","","","","","","","","","","","","","11"
"12"," Medical Social Services","","","","","","","","","","","","","","12"
"13"," Home Health Aide","","","","","","","","","","","","","","13"
"14"," Total (sum of lines 8-13)","","","","","","","","","","","","","","14"
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","Supplies and Drugs Cost","","","","","","","","","                  Program Covered Charges","","","","Cost of Services",""
"","Computations","","","","Facility","Shared","","","","","                    Part B","","","Part B",""
"","","","From","Costs","Ancillary","Total","Total","","","Not","","","Not","",""
"","","","Wkst. H-2","(from ","Costs","HHA","Charges","Ratio","","Subject to","Subject to","","Subject to","Subject to",""
"","Other Patient Services","","\"Part I","\"","\"Wkst. H-2","\"","(from","Costs","(from HHA","(col. 3","","Deductibles ","Deductibles ","","Deductibles ","Deductibles ",""
"","","","\"col. 28","\"","Part I)","Part II)","(cols. 1 + 2)","Record)","� col. 4)","Part A","& Coinsurance","& Coinsurance","Part A","& Coinsurance","& Coinsurance",""
"","","","line","1","2","3","4","5","6","7","8","9","10","11",""
"15"," Cost of Medical Supplies","","8","","","","","","","","","","","","15"
"16"," Cost of Drugs","","9","","","","","","","","","","","","16"
"Entity[562588] Report(H310181)", ,"Entity[562588] Report(H310181[00100])","Entity[562588] Report(H310181[00200])","Entity[562588] Report(H310181[00300])","Entity[562588] Report(H310181[00400])","Entity[562588] Report(H310181[00500])","Entity[562588] Report(H310181[00600])","Entity[562588] Report(H310181[00700])", ,"Entity[562588] Report(H310181[00900])","Entity[562588] Report(H310181[01000])", ,"Entity[562588] Report(H310181[01200])"
"Line(00100)", ,"4740937", ,"4740937","27334","173","1288","16557", ,"223391","2871646", ,"3095037"
"Line(00200)", ,"2794985", ,"2794985","15241","183","892","9084", ,"163584","1665915", ,"1829499"
"Line(00300)", ,"780787", ,"780787","2524","309","135","1673", ,"41762","517543", ,"559305"
"Line(00400)", ,"29846", ,"29846","724","41","43","438", ,"1772","18054", ,"19826"
"Line(00500)", ,"323432", ,"323432","271","1193","5","184", ,"5967","219600", ,"225567"
"Line(00600)", ,"489508", ,"489508","2607","188","121","1949", ,"22720","365964", ,"388684"
"Line(00700)", ,"9159495", ,"9159495","48701", ,"2484","29885", ,"459196","5658722", ,"6117918"
"Line(00800)", ,"28660","1288","16557"
"Line(00900)", ,"28660","892","9084"
"Line(01000)", ,"28660","135","1673"
"Line(01100)", ,"28660","43","438"
"Line(01200)", ,"28660","5","184"
"Line(01300)", ,"28660","121","1949"
