"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report K510003 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[562588] Report(K510003)", ,"Entity[562588] Report(K510003[00100])"
"Line(00100)", ,"0"
"Line(00102)", ,"0"
"Line(00200)", ,"0"
"Line(00202)", ,"0"
"Line(00300)", ,"0"
"Line(00302)", ,"0"
"Line(00303)", ,"0"
"Line(00400)", ,"0"
"Line(00401)", ,"0"
"Line(00600)", ,"0"
"Line(00605)", ,"0"
"Line(00606)", ,"0"
"Line(00616)", ,"0"
"Line(00700)", ,"0"
"Line(00701)", ,"1"
