"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report S420000 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[562588] Report(S420000)", ,"Entity[562588] Report(S420000[00100])","Entity[562588] Report(S420000[00200])","Entity[562588] Report(S420000[00300])","Entity[562588] Report(S420000[00400])","Entity[562588] Report(S420000[00500])"
"Line(00200)", , ,"441"
"Line(01900)", ,"1"
"Line(02000)", ,"47380"
"Line(02100)", ,"4759","432","156","37","5384"
"Line(02200)", ,"737928","71610","18926","5456","833920"
"Line(02300)", ,"3203","32","22","30","3287"
"Line(02400)", ,"565724","5722","3218","5185","579849"
"Line(02500)", ,"585","16","3","3","607"
"Line(02600)", ,"104240","2861","358","536","107995"
"Line(02700)", ,"220","11", , ,"231"
"Line(02800)", ,"38263","1967", , ,"40230"
"Line(02900)", ,"231","8","3","7","249"
"Line(03000)", ,"52899","1848","693","1617","57057"
"Line(03100)", ,"1066","30","8", ,"1104"
"Line(03200)", ,"119532","3399","793", ,"123724"
"Line(03300)", ,"10064","529","192","77","10862"
"Line(03500)", ,"1618586","87407","23988","12794","1742775"
"Line(03600)", ,"516", ,"50","6","572"
"Line(03700)", , ,"11", , ,"11"
