"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report S920000 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[562588] Report(S920000)", ,"Entity[562588] Report(S920000[00100])","Entity[562588] Report(S920000[00200])","Entity[562588] Report(S920000[00300])", ,"Entity[562588] Report(S920000[00500])","Entity[562588] Report(S920000[00600])"
"Line(00100)", ,"14225","1443","3790", ,"1230","16898"
"Line(00200)", ,"13907","19","39", ,"8","13934"
"Line(00300)", ,"43","99", , ,"212","354"
"Line(00400)", ,"1034", , , , ,"1034"
"Line(00500)", ,"29209","1561","3829", ,"1450","32220"
"Line(00600)", ,"318","30","38", ,"56","404"
"Line(00800)", ,"92","52","101", ,"26","80"
