"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563455"," Report A6000H0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563455] Report(A6000H0)","Entity[563455] Report(A6000H0[00000])","Entity[563455] Report(A6000H0[00100])", ,"Entity[563455] Report(A6000H0[00300])", ,"Entity[563455] Report(A6000H0[00500])", ,"Entity[563455] Report(A6000H0[00700])", ,"Entity[563455] Report(A6000H0[00900])"
"Line(00100)","MEDICAL SUPPLIES","H", ,"71", ,"53661163", ,"30", ,"2747886"
"Line(00200)","MEDICAL SUPPLIES","H", ,"72", ,"48764287", ,"31", ,"1478873"
"Line(00300)","MEDICAL SUPPLIES","H", , , , , ,"32", ,"954252"
"Line(00400)","MEDICAL SUPPLIES","H", , , , , ,"35", ,"201415"
"Line(00500)","MEDICAL SUPPLIES","H", , , , , ,"35", ,"509435"
"Line(00600)","MEDICAL SUPPLIES","H", , , , , ,"40", ,"6985"
"Line(00700)","MEDICAL SUPPLIES","H", , , , , ,"41", ,"46640"
"Line(00800)","MEDICAL SUPPLIES","H", , , , , ,"44", ,"76390"
"Line(00900)","MEDICAL SUPPLIES","H", , , , , ,"50", ,"48730512"
"Line(01000)","MEDICAL SUPPLIES","H", , , , , ,"50", ,"6725407"
"Line(01100)","MEDICAL SUPPLIES","H", , , , , ,"50", ,"5256"
"Line(01200)","MEDICAL SUPPLIES","H", , , , , ,"51", ,"323802"
"Line(01300)","MEDICAL SUPPLIES","H", , , , , ,"52", ,"684799"
"Line(01400)","MEDICAL SUPPLIES","H", , , , , ,"53", ,"1775134"
"Line(01500)","MEDICAL SUPPLIES","H", , , , , ,"54", ,"4325973"
"Line(01600)","MEDICAL SUPPLIES","H", , , , , ,"54", ,"193458"
"Line(01700)","MEDICAL SUPPLIES","H", , , , , ,"54", ,"130147"
"Line(01800)","MEDICAL SUPPLIES","H", , , , , ,"54", ,"94326"
"Line(01900)","MEDICAL SUPPLIES","H", , , , , ,"54", ,"1014555"
"Line(02000)","MEDICAL SUPPLIES","H", , , , , ,"55", ,"201579"
"Line(02100)","MEDICAL SUPPLIES","H", , , , , ,"57", ,"261288"
"Line(02200)","MEDICAL SUPPLIES","H", , , , , ,"58", ,"77497"
"Line(02300)","MEDICAL SUPPLIES","H", , , , , ,"59", ,"22901603"
"Line(02400)","MEDICAL SUPPLIES","H", , , , , ,"63", ,"1549265"
"Line(02500)","MEDICAL SUPPLIES","H", , , , , ,"65", ,"803079"
"Line(02600)","MEDICAL SUPPLIES","H", , , , , ,"66", ,"60517"
"Line(02700)","MEDICAL SUPPLIES","H", , , , , ,"68", ,"259"
"Line(02800)","MEDICAL SUPPLIES","H", , , , , ,"70", ,"158"
"Line(02900)","MEDICAL SUPPLIES","H", , , , , ,"74", ,"554041"
"Line(03000)","MEDICAL SUPPLIES","H", , , , , ,"75", ,"262902"
"Line(03100)","MEDICAL SUPPLIES","H", , , , , ,"75", ,"1635383"
"Line(03200)","MEDICAL SUPPLIES","H", , , , , ,"90", ,"46171"
"Line(03300)","MEDICAL SUPPLIES","H", , , , , ,"90", ,"31648"
"Line(03400)","MEDICAL SUPPLIES","H", , , , , ,"90", ,"113346"
"Line(03500)","MEDICAL SUPPLIES","H", , , , , ,"90", ,"64906"
"Line(03600)","MEDICAL SUPPLIES","H", , , , , ,"90", ,"53866"
"Line(03700)","MEDICAL SUPPLIES","H", , , , , ,"90", ,"40883"
"Line(03800)","MEDICAL SUPPLIES","H", , , , , ,"90", ,"201966"
"Line(03900)","MEDICAL SUPPLIES","H", , , , , ,"90", ,"74777"
"Line(04000)","MEDICAL SUPPLIES","H", , , , , ,"90", ,"85802"
"Line(04100)","MEDICAL SUPPLIES","H", , , , , ,"90", ,"74662"
"Line(04200)","MEDICAL SUPPLIES","H", , , , , ,"90", ,"102335"
"Line(04300)","MEDICAL SUPPLIES","H", , , , , ,"90", ,"19880"
"Line(04400)","MEDICAL SUPPLIES","H", , , , , ,"90", ,"400058"
"Line(04500)","MEDICAL SUPPLIES","H", , , , , ,"90", ,"347290"
"Line(04600)","MEDICAL SUPPLIES","H", , , , , ,"90", ,"26561"
"Line(04700)","MEDICAL SUPPLIES","H", , , , , ,"90", ,"7901"
"Line(04800)","MEDICAL SUPPLIES","H", , , , , ,"90", ,"24754"
"Line(04900)","MEDICAL SUPPLIES","H", , , , , ,"90", ,"85388"
"Line(05000)","MEDICAL SUPPLIES","H", , , , , ,"90", ,"337380"
"Line(05100)","MEDICAL SUPPLIES","H", , , , , ,"90", ,"5619"
"Line(05200)","MEDICAL SUPPLIES","H", , , , , ,"90", ,"1219"
"Line(05300)","MEDICAL SUPPLIES","H", , , , , ,"90", ,"4312"
"Line(05400)","MEDICAL SUPPLIES","H", , , , , ,"90", ,"15439"
"Line(05500)","MEDICAL SUPPLIES","H", , , , , ,"90", ,"6584"
"Line(05600)","MEDICAL SUPPLIES","H", , , , , ,"90", ,"129531"
"Line(05700)","MEDICAL SUPPLIES","H", , , , , ,"91", ,"1782798"
"Line(05800)","MEDICAL SUPPLIES","H", , , , , ,"95", ,"7558"
