"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563455"," Report A600CC0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563455] Report(A600CC0)","Entity[563455] Report(A600CC0[00000])","Entity[563455] Report(A600CC0[00100])", ,"Entity[563455] Report(A600CC0[00300])","Entity[563455] Report(A600CC0[00400])","Entity[563455] Report(A600CC0[00500])", ,"Entity[563455] Report(A600CC0[00700])","Entity[563455] Report(A600CC0[00800])","Entity[563455] Report(A600CC0[00900])"
"Line(00100)","SALARIES TRANSFERRED","CC", ,"5","5019448","917320", ,"21","68633","12543"
"Line(00200)","SALARIES TRANSFERRED","CC", , , , , ,"23","34311","6270"
"Line(00300)","SALARIES TRANSFERRED","CC", , , , , ,"30","21591","3946"
"Line(00400)","SALARIES TRANSFERRED","CC", , , , , ,"35","21591","3946"
"Line(00500)","SALARIES TRANSFERRED","CC", , , , , ,"50","22594","4129"
"Line(00600)","SALARIES TRANSFERRED","CC", , , , , ,"52","9502","1736"
"Line(00700)","SALARIES TRANSFERRED","CC", , , , , ,"54","55469","10137"
"Line(00800)","SALARIES TRANSFERRED","CC", , , , , ,"54","72843","13312"
"Line(00900)","SALARIES TRANSFERRED","CC", , , , , ,"54","145686","26625"
"Line(01000)","SALARIES TRANSFERRED","CC", , , , , ,"59","499530","91291"
"Line(01100)","SALARIES TRANSFERRED","CC", , , , , ,"60","30866","5641"
"Line(01200)","SALARIES TRANSFERRED","CC", , , , , ,"63","83293","15222"
"Line(01300)","SALARIES TRANSFERRED","CC", , , , , ,"64","39323","7186"
"Line(01400)","SALARIES TRANSFERRED","CC", , , , , ,"65","17152","3135"
"Line(01500)","SALARIES TRANSFERRED","CC", , , , , ,"69","768789","140498"
"Line(01600)","SALARIES TRANSFERRED","CC", , , , , ,"70","116517","21294"
"Line(01700)","SALARIES TRANSFERRED","CC", , , , , ,"73","22699","4148"
"Line(01800)","SALARIES TRANSFERRED","CC", , , , , ,"75","32162","5878"
"Line(01900)","SALARIES TRANSFERRED","CC", , , , , ,"75","123110","22499"
"Line(02000)","SALARIES TRANSFERRED","CC", , , , , ,"90","77194","14107"
"Line(02100)","SALARIES TRANSFERRED","CC", , , , , ,"90","61450","11230"
"Line(02200)","SALARIES TRANSFERRED","CC", , , , , ,"90","290436","53078"
"Line(02300)","SALARIES TRANSFERRED","CC", , , , , ,"90","40510","7403"
"Line(02400)","SALARIES TRANSFERRED","CC", , , , , ,"90","110318","20161"
"Line(02500)","SALARIES TRANSFERRED","CC", , , , , ,"90","261814","47847"
"Line(02600)","SALARIES TRANSFERRED","CC", , , , , ,"90","20156","3684"
"Line(02700)","SALARIES TRANSFERRED","CC", , , , , ,"90","37800","6908"
"Line(02800)","SALARIES TRANSFERRED","CC", , , , , ,"90","114247","20879"
"Line(02900)","SALARIES TRANSFERRED","CC", , , , , ,"90","45519","8319"
"Line(03000)","SALARIES TRANSFERRED","CC", , , , , ,"90","49113","8976"
"Line(03100)","SALARIES TRANSFERRED","CC", , , , , ,"90","111406","20360"
"Line(03200)","SALARIES TRANSFERRED","CC", , , , , ,"90","424178","77520"
"Line(03300)","SALARIES TRANSFERRED","CC", , , , , ,"90","289274","52866"
"Line(03400)","SALARIES TRANSFERRED","CC", , , , , ,"90","58564","10703"
"Line(03500)","SALARIES TRANSFERRED","CC", , , , , ,"90","98872","18069"
"Line(03600)","SALARIES TRANSFERRED","CC", , , , , ,"90","256820","46935"
"Line(03700)","SALARIES TRANSFERRED","CC", , , , , ,"90","26475","4838"
"Line(03800)","SALARIES TRANSFERRED","CC", , , , , ,"90","74328","13584"
"Line(03900)","SALARIES TRANSFERRED","CC", , , , , ,"108","49125","8978"
"Line(04000)","SALARIES TRANSFERRED","CC", , , , , ,"109","49125","8978"
"Line(04100)","SALARIES TRANSFERRED","CC", , , , , ,"112","14699","2686"
"Line(04200)","SALARIES TRANSFERRED","CC", , , , , ,"194","34087","6230"
"Line(04300)","SALARIES TRANSFERRED","CC", , , , , ,"194","15646","2859"
"Line(04400)","SALARIES TRANSFERRED","CC", , , , , ,"194","26507","4844"
"Line(04500)","SALARIES TRANSFERRED","CC", , , , , ,"194","196124","35842"
