"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563455"," Report A600JJ0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563455] Report(A600JJ0)","Entity[563455] Report(A600JJ0[00000])","Entity[563455] Report(A600JJ0[00100])", ,"Entity[563455] Report(A600JJ0[00300])", ,"Entity[563455] Report(A600JJ0[00500])", ,"Entity[563455] Report(A600JJ0[00700])","Entity[563455] Report(A600JJ0[00800])"
"Line(00100)","PHYSICIAN BASE SALARY","JJ", ,"5", ,"1504178", ,"5","1504178"
"Line(00200)","PHYSICIAN BASE SALARY","JJ", ,"17", ,"838308", ,"17","838308"
"Line(00300)","PHYSICIAN BASE SALARY","JJ", ,"30", ,"111168", ,"30","111168"
"Line(00400)","PHYSICIAN BASE SALARY","JJ", ,"31", ,"203760", ,"31","203760"
"Line(00500)","PHYSICIAN BASE SALARY","JJ", ,"32", ,"91092", ,"32","91092"
"Line(00600)","PHYSICIAN BASE SALARY","JJ", ,"35", ,"25080", ,"35","25080"
"Line(00700)","PHYSICIAN BASE SALARY","JJ", ,"35", ,"92004", ,"35","92004"
"Line(00800)","PHYSICIAN BASE SALARY","JJ", ,"40", ,"49668", ,"40","49668"
"Line(00900)","PHYSICIAN BASE SALARY","JJ", ,"41", ,"83652", ,"41","83652"
"Line(01000)","PHYSICIAN BASE SALARY","JJ", ,"44", ,"199908", ,"44","199908"
"Line(01100)","PHYSICIAN BASE SALARY","JJ", ,"50", ,"270660", ,"50","270660"
"Line(01200)","PHYSICIAN BASE SALARY","JJ", ,"52", ,"78948", ,"52","78948"
"Line(01300)","PHYSICIAN BASE SALARY","JJ", ,"53", ,"1268676", ,"53","1268676"
"Line(01400)","PHYSICIAN BASE SALARY","JJ", ,"54", ,"260100", ,"54","260100"
"Line(01500)","PHYSICIAN BASE SALARY","JJ", ,"54", ,"39660", ,"54","39660"
"Line(01600)","PHYSICIAN BASE SALARY","JJ", ,"54", ,"20820", ,"54","20820"
"Line(01700)","PHYSICIAN BASE SALARY","JJ", ,"55", ,"20340", ,"55","20340"
"Line(01800)","PHYSICIAN BASE SALARY","JJ", ,"59", ,"663958", ,"59","663958"
"Line(01900)","PHYSICIAN BASE SALARY","JJ", ,"60", ,"447924", ,"60","447924"
"Line(02000)","PHYSICIAN BASE SALARY","JJ", ,"63", ,"237396", ,"63","237396"
"Line(02100)","PHYSICIAN BASE SALARY","JJ", ,"66", ,"65153", ,"66","65153"
"Line(02200)","PHYSICIAN BASE SALARY","JJ", ,"73", ,"25020", ,"73","25020"
"Line(02300)","PHYSICIAN BASE SALARY","JJ", ,"74", ,"25200", ,"74","25200"
"Line(02400)","PHYSICIAN BASE SALARY","JJ", ,"75", ,"19824", ,"75","19824"
"Line(02500)","PHYSICIAN BASE SALARY","JJ", ,"75", ,"79583", ,"75","79583"
"Line(02600)","PHYSICIAN BASE SALARY","JJ", ,"91", ,"246540", ,"91","246540"
"Line(02700)","PHYSICIAN BASE SALARY","JJ", ,"105", ,"71076", ,"105","71076"
"Line(02800)","PHYSICIAN BASE SALARY","JJ", ,"106", ,"104772", ,"106","104772"
"Line(02900)","PHYSICIAN BASE SALARY","JJ", ,"107", ,"102132", ,"107","102132"
"Line(03000)","PHYSICIAN BASE SALARY","JJ", ,"108", ,"56280", ,"108","56280"
"Line(03100)","PHYSICIAN BASE SALARY","JJ", ,"112", ,"37500", ,"112","37500"
"Line(03200)","PHYSICIAN BASE SALARY","JJ", ,"194", ,"229253", ,"194","229253"
"Line(03300)","PHYSICIAN BASE SALARY","JJ", ,"194", ,"9300", ,"194","9300"
