"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563455"," Report A600QA0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563455] Report(A600QA0)","Entity[563455] Report(A600QA0[00000])","Entity[563455] Report(A600QA0[00100])", ,"Entity[563455] Report(A600QA0[00300])", ,"Entity[563455] Report(A600QA0[00500])", ,"Entity[563455] Report(A600QA0[00700])", ,"Entity[563455] Report(A600QA0[00900])"
"Line(00100)","ANCILLARY LABOR COSTS","QA", ,"50", ,"4010", ,"5", ,"21"
"Line(00200)","ANCILLARY LABOR COSTS","QA", ,"52", ,"2", ,"10", ,"22"
"Line(00300)","ANCILLARY LABOR COSTS","QA", ,"54", ,"8", ,"30", ,"67808"
"Line(00400)","ANCILLARY LABOR COSTS","QA", ,"60", ,"6170", ,"31", ,"2400"
"Line(00500)","ANCILLARY LABOR COSTS","QA", ,"63", ,"26440", ,"32", ,"851"
"Line(00600)","ANCILLARY LABOR COSTS","QA", ,"64", ,"3", ,"35", ,"479"
"Line(00700)","ANCILLARY LABOR COSTS","QA", ,"68", ,"13", ,"35", ,"17224"
"Line(00800)","ANCILLARY LABOR COSTS","QA", ,"69", ,"17", ,"44", ,"1"
"Line(00900)","ANCILLARY LABOR COSTS","QA", ,"70", ,"1"
"Line(01000)","ANCILLARY LABOR COSTS","QA", ,"73", ,"51894"
"Line(01100)","ANCILLARY LABOR COSTS","QA", ,"74", ,"193"
"Line(01200)","ANCILLARY LABOR COSTS","QA", ,"75", ,"22"
"Line(01300)","ANCILLARY LABOR COSTS","QA", ,"90", ,"33"
