"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563455"," Report A820010 ","-------------","-------------","-----------",""
"","","","","","","",""," FROM ____________","","",""
"","","","","",""," ________________",""," TO _______________","","",""
"","","","Cost Center/","","","","","Physician/","","5 Percent of",""
"","","Wkst. A","Physician","Total","Professional","Provider","RCE","Provider","Unadjusted","Unadjusted",""
"","","Line #","Identifier","Remuneration","Component","Component","Amount","Component Hours","RCE Limit","RCE Limit",""
"","","1","2","3","4","5","6","7","8","9",""
"Entity[563455] Report(A820010)", ,"Entity[563455] Report(A820010[00100])","Entity[563455] Report(A820010[00200])","Entity[563455] Report(A820010[00300])", ,"Entity[563455] Report(A820010[00500])","Entity[563455] Report(A820010[00600])","Entity[563455] Report(A820010[00700])","Entity[563455] Report(A820010[00800])","Entity[563455] Report(A820010[00900])", , ,"Entity[563455] Report(A820010[01200])","Entity[563455] Report(A820010[01300])", , ,"Entity[563455] Report(A820010[01600])","Entity[563455] Report(A820010[01700])","Entity[563455] Report(A820010[01800])"
"Line(00100)", ,"23","DR. A","17957", ,"17957","200300","96","9245","462", , ,"66","66", , ,"9311","8646","8646"
"Line(00200)", ,"23","DR. B","19523", ,"19523","177200","87","7412","371", , ,"30","30", , ,"7442","12081","12081"
"Line(00300)", ,"23","DR. C","72646", ,"72646","138700","675","45011","2251", , ,"124","124", , ,"45135","27511","27511"
"Line(00400)", ,"23","DR. D","14414", ,"14414","165600","112","8917","446", , ,"86","86", , ,"9003","5411","5411"
"Line(00500)", ,"23","DR. E","94701", ,"94701","208000","438","43800","2190", , ,"161","161", , ,"43961","50740","50740"
"Line(00600)", ,"23","DR. F","30522", ,"30522","196400","205","19357","968", , ,"41","41", , ,"19398","11124","11124"
"Line(00700)", ,"23","DR. G","6626", ,"6626","215700","38","3941","197", , ,"37","37", , ,"3978","2648","2648"
"Line(00800)", ,"23","DR. H","19532", ,"19532","140600","206","13925","696", , ,"74","74", , ,"13999","5533","5533"
"Line(00900)", ,"23","DR. I","67696", ,"67696","208000","508","50800","2540", , ,"27","27", , ,"50827","16869","16869"
"Line(01000)", ,"53","ANESTHESIOLOGY","1881901", ,"1881901","200300","10009","963847","48192", , ,"6888","6888", , ,"970735","911166","911166"
"Line(01100)", ,"50","OPERATING ROOM","122846", ,"122846","208000","508","50800","2540", , ,"206","206", , ,"51006","71840","71840"
"Line(01200)", ,"91","EMERGENCY","1496785", ,"1496785","177200","6657","567125","28356", , ,"2269","2269", , ,"569394","927391","927391"
"Line(01300)", ,"30","ADULTS & PEDIATRICS","169650", ,"169650","177200","1263","107598","5380", , ,"212","212", , ,"107810","61840","61840"
"Line(01400)", ,"30","ADULTS & PEDIATRICS","546359", ,"546359","138700","5074","338348","16917", , ,"935","935", , ,"339283","207076","207076"
"Line(01500)", ,"30","ADULTS & PEDIATRICS","3368022", ,"3368022","165600","26192","2085286","104264", , ,"20097","20097", , ,"2105383","1262639","1262639"
"Line(01600)", ,"30","ADULTS & PEDIATRICS","164524", ,"164524","177200","1632","139034","6952", , ,"1250","1250", , ,"140284","24240","24240"
"Line(01700)", ,"50","OPERATING ROOM","86809", ,"86809","208000","402","40200","2010", , ,"147","147", , ,"40347","46462","46462"
"Line(01800)", ,"52","DELIVERY ROOM & LABOR ROOM","337132", ,"337132","196400","2262","213585","10679", , ,"448","448", , ,"214033","123099","123099"
"Line(01900)", ,"90","OPTHALMOLOGY CLINIC","47558", ,"47558","208000","297","29700","1485", , ,"242","242", , ,"29942","17616","17616"
"Line(02000)", ,"90","OPTHALMOLOGY CLINIC","1092", ,"1092","208000","19","1900","95", , , , , , ,"1900"
"Line(02100)", ,"50","OPERATING ROOM","423421", ,"423421","208000","1890","189000","9450", , ,"954","954", , ,"189954","233467","233467"
"Line(02200)", ,"60","LABORATORY","1590210", ,"1590210","215700","9098","943480","47174", , ,"8889","8889", , ,"952369","637841","637841"
"Line(02300)", ,"30","ADULTS & PEDIATRICS","535786", ,"535786","140600","5652","382054","19103", , ,"2034","2034", , ,"384088","151698","151698"
"Line(02400)", ,"40","SUBPROVIDER - IPF","127242", ,"127242","154100","2170","160768","8038", , ,"602","602", , ,"161370"
"Line(02500)", ,"54","RADIOLOGY-DIAGNOSTIC","3912143", ,"3912143","225300","21965","2379190","118960", , ,"11035","11035", , ,"2390225","1521918","1521918"
"Line(02600)", ,"55","RADIOLOGY-THERAPEUTIC","56906", ,"56906","225300","278","30112","1506", , ,"315","315", , ,"30427","26479","26479"
"Line(02700)", ,"50","OPERATING ROOM","618627", ,"618627","208000","2743","274300","13715", , ,"1388","1388", , ,"275688","342939","342939"
"Line(02800)", ,"50","OPERATING ROOM","255462", ,"255462","208000","4902","490200","24510", , ,"861","861", , ,"491061"
"Line(02900)", ,"41","SUBPROVIDER - IRF","170467", ,"170467","177200","1434","122166","6108", , ,"372","372", , ,"122538","47929","47929"
"Line(03000)", ,"30","ADULTS & PEDIATRICS","59887", ,"59887","177200","562","47878","2394", , ,"138","138", , ,"48016","11871","11871"
