"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563455"," Report D00A182 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[563455] Report(D00A182)", ,"Entity[563455] Report(D00A182[00100])","Entity[563455] Report(D00A182[00200])","Entity[563455] Report(D00A182[00300])","Entity[563455] Report(D00A182[00400])","Entity[563455] Report(D00A182[00500])"
"Line(05000)", ,"6782616","445486070","0","59177431","900976"
"Line(05010)", ,"795","46914","0","816","14"
"Line(05100)", ,"623638","128033593","0","8314145","40498"
"Line(05200)", ,"643173","16807061","0","227044","8689"
"Line(05300)", ,"484247","125455087","0","11859253","45777"
"Line(05400)", ,"2195657","78147807","0","6878462","193257"
"Line(05401)", ,"912583","17124169","0","1140489","60779"
"Line(05402)", ,"528846","10780972","0","3069","151"
"Line(05403)", ,"15306","14364957","0","403355","430"
"Line(05410)", ,"355651","7838441","0","333168","15117"
"Line(05500)", ,"653224","42447580","0","550430","8471"
"Line(05700)", ,"422453","104511297","0","8881684","35900"
"Line(05800)", ,"422442","51396746","0","3004172","24691"
"Line(05900)", ,"1966230","162316195","0","17887633","216691"
"Line(06000)", ,"3365375","314785039","0","33229359","355255"
"Line(06300)", ,"316661","27388397","0","5301043","61291"
"Line(06400)", ,"1233587","176089168","0","371218","2600"
"Line(06500)", ,"399799","76639137","0","17615624","91901"
"Line(06600)", ,"1456976","61966644","0","6499987","152828"
"Line(06800)", ,"4339","4600227","0","1093553","1031"
"Line(06900)", ,"1919049","18715344","0","509902","52285"
"Line(07000)", ,"1188","2918733","0","837401","341"
"Line(07100)", ,"844227","113472323","0","19033026","141606"
"Line(07200)", ,"767819","155822122","0","22438123","110575"
"Line(07300)", ,"1452296","224587372","0","50200615","324647"
"Line(07400)", ,"67014","16150548","0","5459018","22649"
"Line(07501)", ,"137264","13907350","0","503888","4973"
"Line(07503)", ,"403960","8531664","0","14082","667"
"Line(07504)", ,"458687","55002137","0","3019157","25177"
"Line(07505)", ,"5351","646883","0","150424","1244"
"Line(07506)", ,"44371","7946320","0","3377","19"
"Line(07600)", ,"77772","1862956","0","3860","161"
"Line(09001)", ,"119206","1848935","0"
"Line(09002)", ,"1095020","3266957","0","12589","4220"
"Line(09003)", ,"1802096","9866108","0","38992","7122"
"Line(09004)", ,"363379","4984710","0","3119","227"
"Line(09005)", ,"543185","2012002","0","4550","1228"
"Line(09006)", ,"495021","4801628","0","7512","774"
"Line(09007)", ,"1466383","8709711","0","4125","694"
"Line(09008)", ,"1275023","10290563","0","3807","472"
"Line(09009)", ,"1073434","7543928","0","10503","1494"
"Line(09010)", ,"499408","5096815","0","4932","483"
"Line(09011)", ,"1439344","10380664","0"
"Line(09012)", ,"313567","1540938","0","656","133"
"Line(09013)", ,"309196","4924309","0","14965","940"
"Line(09014)", ,"7780773","38980236","0","55413","11061"
"Line(09015)", ,"382252","4846689","0","3212","253"
"Line(09016)", ,"261679","1096828","0","3879","925"
"Line(09017)", ,"293555","2100084","0","1150","161"
"Line(09018)", ,"1432640","5117447","0","16331","4572"
"Line(09019)", ,"312651","1552791","0","27063","5449"
"Line(09020)", ,"286112","128538","2"
"Line(09021)", ,"29196","148843","0","4281","840"
"Line(09022)", ,"304867","1458060","0","21758","4549"
"Line(09023)", ,"144701","390647","0","2352","871"
"Line(09024)", ,"127538"
"Line(09025)", ,"777731","6727505","0","9603","1110"
"Line(09100)", ,"2195561","190893201","0","15240509","175296"
"Line(09200)", ,"1249310","18294026","0","528478","36090"
