"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563455"," Report S300002 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[563455] Report(S300002)", ,"Entity[563455] Report(S300002[00100])","Entity[563455] Report(S300002[00200])","Entity[563455] Report(S300002[00300])","Entity[563455] Report(S300002[00400])","Entity[563455] Report(S300002[00500])","Entity[563455] Report(S300002[00600])"
"Line(00100)", ,"200","614967836","43903662","658871498","17006858","39"
"Line(00400)", , ,"14485293", ,"14485293","96211","151"
"Line(00401)", , ,"27543030", ,"27543030","180770","152"
"Line(00700)", ,"21","12423244","-68633","12354611","493591","25"
"Line(00701)", , ,"2327802", ,"2327802","108751","21"
"Line(00900)", ,"44","2234601","-199908","2034693","92794","22"
"Line(01000)", , ,"319584307","-45300746","274283561","2954913","93"
"Line(01100)", , ,"6360817", ,"6360817","211715","30"
"Line(01400)", , ,"33687762", ,"33687762","686105","49"
"Line(01700)", , ,"63792349", ,"63792349"
"Line(01900)", , ,"31301936", ,"31301936"
"Line(02200)", , ,"1406801", ,"1406801"
"Line(02201)", , ,"2672715", ,"2672715"
"Line(02500)", , ,"2176289", ,"2176289"
"Line(02600)", ,"4", ,"4462191","4462191","138769","32"
"Line(02700)", ,"5","19697708","35043018","54740726","2351849","23"
"Line(02800)", , ,"24669", ,"24669","2524","10"
"Line(02900)", ,"6","1560206","3871342","5431548","265993","20"
"Line(03000)", ,"7","516005", ,"516005","39872","13"
"Line(03100)", ,"8"
"Line(03200)", ,"9","855756","4787253","5643009","450940","13"
"Line(03400)", ,"10","4156260","668479","4824739","467838","10"
"Line(03600)", ,"11"
"Line(03700)", ,"12"
"Line(03800)", ,"13","3053587", ,"3053587","75507","40"
"Line(03900)", ,"14"
"Line(04000)", ,"15"
"Line(04100)", ,"16","40184","8951192","8991376","346889","26"
"Line(04200)", ,"17","5280208","-838308","4441900","153842","29"
