"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563455"," Report S700000 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[563455] Report(S700000)", ,"Entity[563455] Report(S700000[00100])","Entity[563455] Report(S700000[00200])", ,"Entity[563455] Report(S700000[00400])"
"Line(00200)", ,"N"
"Line(00600)", , ,"24", ,"24"
"Line(00700)", , ,"1", ,"1"
"Line(00800)", , ,"43", ,"43"
"Line(01000)", , ,"15", ,"15"
"Line(01200)", , ,"21", ,"21"
"Line(01300)", , ,"410", ,"410"
"Line(01400)", , ,"495", ,"495"
"Line(01500)", , ,"104", ,"104"
"Line(01600)", , ,"777", ,"777"
"Line(01700)", , ,"930", ,"930"
"Line(01800)", , ,"19", ,"19"
"Line(01900)", , ,"77", ,"77"
"Line(02000)", , ,"149", ,"149"
"Line(02200)", , ,"15", ,"15"
"Line(02300)", , ,"183", ,"183"
"Line(02800)", , ,"31", ,"31"
"Line(03400)", , ,"2", ,"2"
"Line(03600)", , ,"25", ,"25"
"Line(03800)", , ,"2", ,"2"
"Line(04200)", , ,"9", ,"9"
"Line(04400)", , ,"4", ,"4"
"Line(05000)", , ,"15", ,"15"
"Line(05200)", , ,"11", ,"11"
"Line(05300)", , ,"15", ,"15"
"Line(05400)", , ,"37", ,"37"
"Line(07400)", , ,"1", ,"1"
"Line(07600)", , ,"2", ,"2"
"Line(07800)", , ,"7", ,"7"
"Line(20000)", , ,"3424", ,"3424"
"Line(20100)", ,"35380","35380"
