"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A6000B0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A6000B0)","Entity[563706] Report(A6000B0[00000])","Entity[563706] Report(A6000B0[00100])", ,"Entity[563706] Report(A6000B0[00300])", ,"Entity[563706] Report(A6000B0[00500])", ,"Entity[563706] Report(A6000B0[00700])", ,"Entity[563706] Report(A6000B0[00900])"
"Line(00100)","MED SURG SUPPLIES SOLD TO PAT","B", ,"71", ,"34650", ,"30", ,"34650"
"Line(00200)","MED SURG SUPPLIES SOLD TO PAT","B", ,"71", ,"7245", ,"31", ,"7245"
"Line(00300)","MED SURG SUPPLIES SOLD TO PAT","B", ,"71", ,"35467", ,"32", ,"35467"
"Line(00400)","MED SURG SUPPLIES SOLD TO PAT","B", ,"71", ,"4020", ,"34", ,"4020"
"Line(00500)","MED SURG SUPPLIES SOLD TO PAT","B", ,"71", ,"63346", ,"35", ,"63346"
"Line(00600)","MED SURG SUPPLIES SOLD TO PAT","B", ,"35", ,"231", ,"71", ,"231"
"Line(00700)","MED SURG SUPPLIES SOLD TO PAT","B", ,"71", ,"2541", ,"41", ,"2541"
"Line(00800)","MED SURG SUPPLIES SOLD TO PAT","B", ,"71", ,"22585544", ,"50", ,"22585544"
"Line(00900)","MED SURG SUPPLIES SOLD TO PAT","B", ,"71", ,"69972", ,"50", ,"69972"
"Line(01000)","MED SURG SUPPLIES SOLD TO PAT","B", ,"71", ,"152101", ,"53", ,"152101"
"Line(01100)","MED SURG SUPPLIES SOLD TO PAT","B", ,"71", ,"4515832", ,"54", ,"4515832"
"Line(01200)","MED SURG SUPPLIES SOLD TO PAT","B", ,"71", ,"128865", ,"56", ,"128865"
"Line(01300)","MED SURG SUPPLIES SOLD TO PAT","B", ,"71", ,"79179", ,"57", ,"79179"
"Line(01400)","MED SURG SUPPLIES SOLD TO PAT","B", ,"71", ,"47291", ,"60", ,"47291"
"Line(01500)","MED SURG SUPPLIES SOLD TO PAT","B", ,"71", ,"179593", ,"65", ,"179593"
"Line(01600)","MED SURG SUPPLIES SOLD TO PAT","B", ,"71", ,"34488", ,"67", ,"34488"
"Line(01700)","MED SURG SUPPLIES SOLD TO PAT","B", ,"71", ,"2821397", ,"69", ,"2821397"
"Line(01800)","MED SURG SUPPLIES SOLD TO PAT","B", ,"71", ,"4942", ,"70", ,"4942"
"Line(01900)","MED SURG SUPPLIES SOLD TO PAT","B", ,"71", ,"386290", ,"73", ,"386290"
"Line(02000)","MED SURG SUPPLIES SOLD TO PAT","B", ,"71", ,"255703", ,"75", ,"255703"
"Line(02100)","MED SURG SUPPLIES SOLD TO PAT","B", ,"71", ,"300", ,"76", ,"300"
"Line(02200)","MED SURG SUPPLIES SOLD TO PAT","B", ,"71", ,"1493126", ,"76", ,"1493126"
"Line(02300)","MED SURG SUPPLIES SOLD TO PAT","B", ,"71", ,"74737", ,"90", ,"74737"
"Line(02400)","MED SURG SUPPLIES SOLD TO PAT","B", ,"71", ,"23", ,"90", ,"23"
"Line(02500)","MED SURG SUPPLIES SOLD TO PAT","B", ,"71", ,"187", ,"90", ,"187"
"Line(02600)","MED SURG SUPPLIES SOLD TO PAT","B", ,"71", ,"813", ,"90", ,"813"
"Line(02700)","MED SURG SUPPLIES SOLD TO PAT","B", ,"71", ,"1415", ,"90", ,"1415"
"Line(02800)","MED SURG SUPPLIES SOLD TO PAT","B", ,"71", ,"17614", ,"91", ,"17614"
"Line(02900)","MED SURG SUPPLIES SOLD TO PAT","B", ,"71", ,"3353", ,"93", ,"3353"
"Line(03000)","MED SURG SUPPLIES SOLD TO PAT","B", ,"71", ,"819898", ,"112", ,"819898"
