"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A6000H0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A6000H0)","Entity[563706] Report(A6000H0[00000])","Entity[563706] Report(A6000H0[00100])", ,"Entity[563706] Report(A6000H0[00300])","Entity[563706] Report(A6000H0[00400])","Entity[563706] Report(A6000H0[00500])", ,"Entity[563706] Report(A6000H0[00700])","Entity[563706] Report(A6000H0[00800])","Entity[563706] Report(A6000H0[00900])","Entity[563706] Report(A6000H0[01000])"
"Line(00100)","SIMPLICATION","H", ,"65","78022", , ,"91","78022"
"Line(00200)","SIMPLICATION","H", ,"65", ,"13180", ,"91", ,"13180"
"Line(00300)","SIMPLICATION","H", ,"105", ,"3198774", ,"107", ,"3198774"
"Line(00400)","SIMPLICATION","H", ,"109", ,"737760", ,"107", ,"737760"
"Line(00500)","SIMPLICATION","H", ,"110", ,"321192", ,"107", ,"321192"
"Line(00600)","SIMPLICATION","H", ,"106", ,"1706207", ,"108", ,"1706207"
"Line(00700)","SIMPLICATION","H", ,"9","582445", , ,"9","582445"
"Line(00800)","SIMPLICATION","H", ,"9", ,"207172", ,"9", ,"207172"
"Line(00900)","SIMPLICATION","H", ,"1", ,"82154019", ,"5", ,"82154019","9"
"Line(01000)","SIMPLICATION","H", ,"4", ,"82759937", ,"5", ,"82759937"
"Line(01100)","SIMPLICATION","H", ,"4", ,"1721391", ,"5", ,"1721391"
"Line(01200)","SIMPLICATION","H", ,"22", ,"209658", ,"5", ,"209658"
"Line(01300)","SIMPLICATION","H", ,"67", ,"1199759", ,"66", ,"1199759"
