"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A6000W0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A6000W0)","Entity[563706] Report(A6000W0[00000])","Entity[563706] Report(A6000W0[00100])", ,"Entity[563706] Report(A6000W0[00300])", ,"Entity[563706] Report(A6000W0[00500])", ,"Entity[563706] Report(A6000W0[00700])", ,"Entity[563706] Report(A6000W0[00900])"
"Line(00100)","OUTSIDE BUILDING COSTS","W", ,"5", ,"32798", ,"5", ,"32798"
"Line(00200)","OUTSIDE BUILDING COSTS","W", ,"5", ,"13671", ,"7", ,"13671"
"Line(00300)","OUTSIDE BUILDING COSTS","W", ,"5", ,"121353", ,"7", ,"121353"
"Line(00400)","OUTSIDE BUILDING COSTS","W", ,"6", ,"44694", ,"7", ,"44694"
"Line(00500)","OUTSIDE BUILDING COSTS","W", ,"10", ,"6491", ,"7", ,"6491"
"Line(00600)","OUTSIDE BUILDING COSTS","W", ,"65", ,"183453", ,"7", ,"183453"
"Line(00700)","OUTSIDE BUILDING COSTS","W", ,"73", ,"83422", ,"7", ,"83422"
"Line(00800)","OUTSIDE BUILDING COSTS","W", ,"76", ,"75626", ,"7", ,"75626"
"Line(00900)","OUTSIDE BUILDING COSTS","W", ,"90", ,"230286", ,"7", ,"230286"
"Line(01000)","OUTSIDE BUILDING COSTS","W", ,"90", ,"135967", ,"7", ,"135967"
"Line(01100)","OUTSIDE BUILDING COSTS","W", ,"90", ,"9827", ,"7", ,"9827"
"Line(01200)","OUTSIDE BUILDING COSTS","W", ,"93", ,"321523", ,"7", ,"321523"
"Line(01300)","OUTSIDE BUILDING COSTS","W", ,"194", ,"94464", ,"7", ,"94464"
