"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A6000Y0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A6000Y0)","Entity[563706] Report(A6000Y0[00000])","Entity[563706] Report(A6000Y0[00100])", ,"Entity[563706] Report(A6000Y0[00300])","Entity[563706] Report(A6000Y0[00400])","Entity[563706] Report(A6000Y0[00500])", ,"Entity[563706] Report(A6000Y0[00700])","Entity[563706] Report(A6000Y0[00800])","Entity[563706] Report(A6000Y0[00900])"
"Line(00100)","PRE-TRANSPLANT COORDINATOR","Y", ,"105","765218", , ,"194","765218"
"Line(00200)","PRE-TRANSPLANT COORDINATOR","Y", ,"105","112597", , ,"194","112597"
"Line(00300)","PRE-TRANSPLANT COORDINATOR","Y", ,"105","16943", , ,"60","16943"
"Line(00400)","PRE-TRANSPLANT COORDINATOR","Y", ,"105","61795", , ,"106","61795"
"Line(00500)","PRE-TRANSPLANT COORDINATOR","Y", ,"105", ,"56853", ,"194", ,"56853"
"Line(00600)","PRE-TRANSPLANT COORDINATOR","Y", ,"105", ,"8176", ,"194", ,"8176"
"Line(00700)","PRE-TRANSPLANT COORDINATOR","Y", ,"105", ,"1224", ,"60", ,"1224"
"Line(00800)","PRE-TRANSPLANT COORDINATOR","Y", ,"105", ,"4523", ,"106", ,"4523"
"Line(00900)","PRE-TRANSPLANT COORDINATOR","Y", ,"105", ,"72484", ,"194", ,"72484"
"Line(01000)","PRE-TRANSPLANT COORDINATOR","Y", ,"105", ,"11423", ,"194", ,"11423"
"Line(01100)","PRE-TRANSPLANT COORDINATOR","Y", ,"105", ,"2305", ,"60", ,"2305"
"Line(01200)","PRE-TRANSPLANT COORDINATOR","Y", ,"106", ,"11247", ,"105", ,"11247"
"Line(01300)","PRE-TRANSPLANT COORDINATOR","Y", ,"106","61051", , ,"194","61051"
"Line(01400)","PRE-TRANSPLANT COORDINATOR","Y", ,"106","29448", , ,"108","29448"
"Line(01500)","PRE-TRANSPLANT COORDINATOR","Y", ,"106","5648", , ,"60","5648"
"Line(01600)","PRE-TRANSPLANT COORDINATOR","Y", ,"106", ,"4536", ,"194", ,"4536"
"Line(01700)","PRE-TRANSPLANT COORDINATOR","Y", ,"106", ,"2208", ,"108", ,"2208"
"Line(01800)","PRE-TRANSPLANT COORDINATOR","Y", ,"106", ,"408", ,"60", ,"408"
"Line(01900)","PRE-TRANSPLANT COORDINATOR","Y", ,"106", ,"5783", ,"194", ,"5783"
"Line(02000)","PRE-TRANSPLANT COORDINATOR","Y", ,"106", ,"4539", ,"108", ,"4539"
"Line(02100)","PRE-TRANSPLANT COORDINATOR","Y", ,"106", ,"768", ,"60", ,"768"
"Line(02200)","PRE-TRANSPLANT COORDINATOR","Y", ,"107","337715", , ,"194","337715"
"Line(02300)","PRE-TRANSPLANT COORDINATOR","Y", ,"107","115811", , ,"194","115811"
"Line(02400)","PRE-TRANSPLANT COORDINATOR","Y", ,"107","16943", , ,"60","16943"
"Line(02500)","PRE-TRANSPLANT COORDINATOR","Y", ,"107","79389", , ,"106","79389"
"Line(02600)","PRE-TRANSPLANT COORDINATOR","Y", ,"107", ,"25091", ,"194", ,"25091"
"Line(02700)","PRE-TRANSPLANT COORDINATOR","Y", ,"107", ,"8409", ,"194", ,"8409"
"Line(02800)","PRE-TRANSPLANT COORDINATOR","Y", ,"107", ,"1224", ,"60", ,"1224"
"Line(02900)","PRE-TRANSPLANT COORDINATOR","Y", ,"107", ,"5810", ,"106", ,"5810"
"Line(03000)","PRE-TRANSPLANT COORDINATOR","Y", ,"107", ,"31990", ,"194", ,"31990"
"Line(03100)","PRE-TRANSPLANT COORDINATOR","Y", ,"107", ,"11749", ,"194", ,"11749"
"Line(03200)","PRE-TRANSPLANT COORDINATOR","Y", ,"107", ,"2305", ,"60", ,"2305"
"Line(03300)","PRE-TRANSPLANT COORDINATOR","Y", ,"106", ,"14448", ,"107", ,"14448"
"Line(03400)","PRE-TRANSPLANT COORDINATOR","Y", ,"108","155026", , ,"194","155026"
"Line(03500)","PRE-TRANSPLANT COORDINATOR","Y", ,"108","61120", , ,"106","61120"
"Line(03600)","PRE-TRANSPLANT COORDINATOR","Y", ,"108","28239", , ,"60","28239"
"Line(03700)","PRE-TRANSPLANT COORDINATOR","Y", ,"108","73328", , ,"106","73328"
"Line(03800)","PRE-TRANSPLANT COORDINATOR","Y", ,"108", ,"11518", ,"194", ,"11518"
"Line(03900)","PRE-TRANSPLANT COORDINATOR","Y", ,"108", ,"4591", ,"106", ,"4591"
