"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A600FF0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A600FF0)","Entity[563706] Report(A600FF0[00000])","Entity[563706] Report(A600FF0[00100])", ,"Entity[563706] Report(A600FF0[00300])", ,"Entity[563706] Report(A600FF0[00500])", ,"Entity[563706] Report(A600FF0[00700])", ,"Entity[563706] Report(A600FF0[00900])"
"Line(00100)","PHYSICIAN FEES","FF", ,"5", ,"686560", ,"22", ,"686560"
"Line(00200)","PHYSICIAN FEES","FF", ,"18", ,"722297", ,"22", ,"722297"
"Line(00300)","PHYSICIAN FEES","FF", ,"32", ,"1329815", ,"22", ,"1329815"
"Line(00400)","PHYSICIAN FEES","FF", ,"65", ,"23276", ,"22", ,"23276"
"Line(00500)","PHYSICIAN FEES","FF", ,"76", ,"468756", ,"22", ,"468756"
"Line(00600)","PHYSICIAN FEES","FF", ,"76", ,"1177248", ,"22", ,"1177248"
"Line(00700)","PHYSICIAN FEES","FF", ,"90", ,"4405899", ,"22", ,"4405899"
"Line(00800)","PHYSICIAN FEES","FF", ,"90", ,"305376", ,"22", ,"305376"
"Line(00900)","PHYSICIAN FEES","FF", ,"90", ,"755953", ,"22", ,"755953"
"Line(01000)","PHYSICIAN FEES","FF", ,"93", ,"283056", ,"22", ,"283056"
"Line(01100)","PHYSICIAN FEES","FF", ,"55", ,"1618133", ,"191", ,"1618133"
"Line(01200)","PHYSICIAN FEES","FF", ,"91", ,"1665117", ,"22", ,"1665117"
