"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A600WG0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A600WG0)","Entity[563706] Report(A600WG0[00000])","Entity[563706] Report(A600WG0[00100])", ,"Entity[563706] Report(A600WG0[00300])", ,"Entity[563706] Report(A600WG0[00500])", ,"Entity[563706] Report(A600WG0[00700])", ,"Entity[563706] Report(A600WG0[00900])"
"Line(00100)","OUTSIDE BUILDING RECLASS","WG", ,"5", ,"22128", ,"7", ,"22128"
"Line(00200)","OUTSIDE BUILDING RECLASS","WG", ,"5", ,"232154", ,"7", ,"232154"
"Line(00300)","OUTSIDE BUILDING RECLASS","WG", ,"11", ,"23760", ,"7", ,"23760"
"Line(00400)","OUTSIDE BUILDING RECLASS","WG", ,"15", ,"32163", ,"7", ,"32163"
"Line(00500)","OUTSIDE BUILDING RECLASS","WG", ,"69", ,"56840", ,"7", ,"56840"
"Line(00600)","OUTSIDE BUILDING RECLASS","WG", ,"76", ,"158023", ,"7", ,"158023"
"Line(00700)","OUTSIDE BUILDING RECLASS","WG", ,"76", ,"174560", ,"7", ,"174560"
"Line(00800)","OUTSIDE BUILDING RECLASS","WG", ,"76", ,"79143", ,"7", ,"79143"
"Line(00900)","OUTSIDE BUILDING RECLASS","WG", ,"76", ,"180832", ,"7", ,"180832"
"Line(01000)","OUTSIDE BUILDING RECLASS","WG", ,"76", ,"188882", ,"7", ,"188882"
"Line(01100)","OUTSIDE BUILDING RECLASS","WG", ,"90", ,"355136", ,"7", ,"355136"
"Line(01200)","OUTSIDE BUILDING RECLASS","WG", ,"90", ,"39344", ,"7", ,"39344"
"Line(01300)","OUTSIDE BUILDING RECLASS","WG", ,"90", ,"74678", ,"7", ,"74678"
"Line(01400)","OUTSIDE BUILDING RECLASS","WG", ,"90", ,"1021066", ,"7", ,"1021066"
"Line(01500)","OUTSIDE BUILDING RECLASS","WG", ,"90", ,"439139", ,"7", ,"439139"
"Line(01600)","OUTSIDE BUILDING RECLASS","WG", ,"90", ,"168568", ,"7", ,"168568"
"Line(01700)","OUTSIDE BUILDING RECLASS","WG", ,"191", ,"1616378", ,"7", ,"1616378"
"Line(01800)","OUTSIDE BUILDING RECLASS","WG", ,"192", ,"8258", ,"7", ,"8258"
"Line(01900)","OUTSIDE BUILDING RECLASS","WG", ,"194", ,"150554", ,"7", ,"150554"
