"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A600ZZ0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A600ZZ0)","Entity[563706] Report(A600ZZ0[00000])","Entity[563706] Report(A600ZZ0[00100])", ,"Entity[563706] Report(A600ZZ0[00300])", ,"Entity[563706] Report(A600ZZ0[00500])", ,"Entity[563706] Report(A600ZZ0[00700])", ,"Entity[563706] Report(A600ZZ0[00900])"
"Line(00100)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"169573", ,"30", ,"169573"
"Line(00200)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"103687", ,"31", ,"103687"
"Line(00300)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"38744", ,"32", ,"38744"
"Line(00400)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"22859", ,"34", ,"22859"
"Line(00500)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"38249", ,"35", ,"38249"
"Line(00600)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"30343", ,"35", ,"30343"
"Line(00700)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"3451", ,"40", ,"3451"
"Line(00800)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"4111", ,"41", ,"4111"
"Line(00900)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"1057", ,"44", ,"1057"
"Line(01000)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"66505468", ,"50", ,"66505468"
"Line(01100)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"201", ,"50", ,"201"
"Line(01200)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"20792", ,"51", ,"20792"
"Line(01300)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"235415", ,"53", ,"235415"
"Line(01400)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"8651352", ,"54", ,"8651352"
"Line(01500)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"9178", ,"54", ,"9178"
"Line(01600)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"3018", ,"54", ,"3018"
"Line(01700)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"143", ,"55", ,"143"
"Line(01800)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"7054", ,"56", ,"7054"
"Line(01900)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"12960", ,"56", ,"12960"
"Line(02000)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"42960", ,"57", ,"42960"
"Line(02100)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"5474", ,"60", ,"5474"
"Line(02200)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"5220", ,"64", ,"5220"
"Line(02300)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"88980", ,"65", ,"88980"
"Line(02400)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"215", ,"65", ,"215"
"Line(02500)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"27795625", ,"69", ,"27795625"
"Line(02600)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"160839", ,"69", ,"160839"
"Line(02700)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"45435", ,"71", ,"45435"
"Line(02800)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"1309873", ,"75", ,"1309873"
"Line(02900)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"443519", ,"75", ,"443519"
"Line(03000)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"465165", ,"76", ,"465165"
"Line(03100)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"288", ,"76", ,"288"
"Line(03200)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"4693", ,"90", ,"4693"
"Line(03300)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"109", ,"90", ,"109"
"Line(03400)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"113", ,"90", ,"113"
"Line(03500)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"23", ,"90", ,"23"
"Line(03600)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"717", ,"90", ,"717"
"Line(03700)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"269", ,"90", ,"269"
"Line(03800)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"239", ,"90", ,"239"
"Line(03900)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"20", ,"90", ,"20"
"Line(04000)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"48768", ,"91", ,"48768"
"Line(04100)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"4565169", ,"112", ,"4565169"
"Line(04200)","RECLASS M/S SUPPLIES SOLD TO PAT","ZZ", ,"72", ,"161", ,"194", ,"161"
