"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report B000002 ","-------------","-------------","-----------",""
"","","","ASSIGNED","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","","NEW CAPITAL"," "," ","SUBTOTAL","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","","COST CENTER DESCRIPTIONS","RELATED","BLDGS. &","MOVABLE","(sum of","EMPLOYEE","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","","COSTS","FIXTURES","EQUIPMENT","(cols. 0-2)","BENEFITS","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","0","1","2","2A","4","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[563706] Report(B000002)","Entity[563706] Report(B000002[00000])","Entity[563706] Report(B000002[00100])","Entity[563706] Report(B000002[00200])", ,"Entity[563706] Report(B000002[00400])", ,"Entity[563706] Report(B000002[00600])","Entity[563706] Report(B000002[00700])","Entity[563706] Report(B000002[00800])","Entity[563706] Report(B000002[00900])","Entity[563706] Report(B000002[01000])","Entity[563706] Report(B000002[01100])", ,"Entity[563706] Report(B000002[01300])","Entity[563706] Report(B000002[01400])","Entity[563706] Report(B000002[01500])","Entity[563706] Report(B000002[01600])","Entity[563706] Report(B000002[01700])","Entity[563706] Report(B000002[01800])", ,"Entity[563706] Report(B000002[02000])","Entity[563706] Report(B000002[02100])","Entity[563706] Report(B000002[02200])","Entity[563706] Report(B000002[02300])","Entity[563706] Report(B000002[02400])", ,"Entity[563706] Report(B000002[02600])"
"Line(00400)","786926","40471","261871", ,"1272800"
"Line(00502)","21861","224710"
"Line(00504)","375138", ,"6299", ,"618"
"Line(00505)","19113","208423","1374", ,"9892"
"Line(00507)","1707297","452777","4593062", ,"67971"
"Line(00600)","1145317", ,"4666934", ,"25203", ,"6141979"
"Line(00700)","102482","3710458","672461", ,"6890", , ,"4825002"
"Line(00701)","811186", , , ,"1778"
"Line(00702)", , ,"67265", ,"2023", ,"283419"
"Line(00703)", , ,"1495641", ,"11832"
"Line(00704)", , ,"10701", ,"1191"
"Line(00705)", , ,"5870", ,"150"
"Line(00800)","26083", ,"15787", ,"529", ,"44744", ,"218650"
"Line(00900)","30496", ,"45039", ,"17258", ,"27831", , ,"193629"
"Line(00901)"
"Line(00902)", , ,"19850", ,"10376"
"Line(00903)", , , , ,"1425"
"Line(01000)","30318","805117","111761", ,"21459", ,"74427","107800", ,"2617","1320698"
"Line(01001)","1119", , , ,"3398"
"Line(01002)", , ,"207785", ,"5150", ,"107080", , ,"3765"
"Line(01100)","179817","536728","43393", ,"6267", ,"97800","71865", ,"3439", ,"1133797"
"Line(01101)","16132", , , ,"460"
"Line(01300)","184801","20137","386789", ,"18159", ,"87065","58747", ,"3061", ,"13452", ,"1276321"
"Line(01301)","8394","149198", , ,"1332", ,"13792","19977", ,"485", ,"1885"
"Line(01400)","376869","62976","31609", ,"2208", ,"11224","8432","11619","1154", ,"4761", ,"4","865432"
"Line(01500)","95109","271498","41065", ,"21746", ,"47481","36352", ,"1670", ,"19285", , , ,"667770"
"Line(01501)","16513", , , ,"4172", , , , , , , , , ,"35"
"Line(01600)","563474","430913","1313", ,"19265", ,"63459","57697", ,"2231", ,"71129", ,"2578","3", ,"1490708"
"Line(01601)", , , , ,"401", , , , , , ,"975"
"Line(01700)","36370","9822","236", ,"18361", ,"1442","1315", ,"51", ,"27528", ,"35535", ,"19", ,"875291"
"Line(01800)","17696", ,"50363", ,"9641", ,"3203", , ,"113", ,"24560", ,"10768", , , , ,"147946"
"Line(01801)","14121"
"Line(01802)", , ,"25", ,"898", , , , , , ,"907", ,"801"
"Line(02000)","457548", ,"10444", ,"10020", , , ,"457", , ,"8997", ,"5", , , , , , ,"512214"
"Line(02100)", , , , , , , , , , , , , , , , , , , , , ,"246824"
"Line(02101)"
"Line(02200)","484287","2533308","89769", ,"2345", ,"424225","424586", ,"18609", ,"2314", ,"844", , , , ,"3", , , ,"4632793"
"Line(02201)","52900", , , ,"2478", , , , , , , , ,"1877","63"
"Line(02300)", , , , , , , , , , , , , , , , , , , , , , , ,"63"
"Line(02301)", , , , ,"2700", , , , , , ,"1331"
"Line(02302)", , , , , , , , , , , ,"998"
"Line(02307)", , ,"72", ,"328", , , , , , ,"250"
"Line(02308)", , , , ,"27", , , , , , ,"23"
"Line(03000)","1037772","6406780","632086", ,"228593", ,"1151656","857828","88708","41314","1017697","287388", ,"525987","756","163","505591","657341","59764", , , , , ,"17474567", ,"17474567"
"Line(03100)", ,"1736433","292269", ,"55588", ,"160520","232498","17360","5644","176054","63385", ,"123389","158","66","163993","31857","7421", , , , , ,"3621269", ,"3621269"
"Line(03200)", ,"298840","20989", ,"15249", ,"27626","40013","3485","971","47710","17085", ,"33405","774","23","44844","9774","267", , , , , ,"852375", ,"852375"
"Line(03400)","115303","1106129","43768", ,"10310", ,"105297","148104","8594","3702","28846","10933", ,"22017","88","57","28075","4195","849", , , , , ,"1679448", ,"1679448"
"Line(03500)", ,"1045176","140994", ,"13647", ,"96619","139943","6784","3397","50391","15954", ,"31837","1382","61","44339","13543","498", , , , , ,"1657340", ,"1657340"
"Line(03501)", , ,"5064", ,"12005", ,"84866", , ,"2984", ,"13206", ,"26625", ,"22","36068","11222","83", , , , , ,"296293", ,"296293"
"Line(04000)","679", , , ,"61004", , , , , , , , ,"63917","4935", ,"109261", , , , , , , ,"2165214", ,"2165214"
"Line(04100)", , ,"4312", ,"4035", ,"63363", ,"2153","2228", ,"5468", ,"9668","55", ,"9622","11244","725", , , , , ,"175850", ,"175850"
"Line(04400)", , ,"903", ,"3651", ,"40478", ,"2268","1423", ,"4924", ,"7864", ,"1","5020","767","703", , , , , ,"126881", ,"126881"
"Line(05000)","974703","3054045","2823963", ,"49878", ,"474891","415870","22356","15938", ,"65125", ,"61777","492763","98","2967","3769","2083", , , , , ,"9565312", ,"9565312"
"Line(05001)", ,"527844","311523", ,"1294", ,"48795","70675","124","1716", ,"1572", ,"1606", , , , ,"24", , , , , ,"976670", ,"976670"
"Line(05002)", , , , ,"530", , , , , , ,"567", ,"995","1527","14", , , , , , , , ,"5366", ,"5366"
"Line(05100)", ,"305997","50209", ,"11449", ,"40232","40971","4764","1415", ,"11965", ,"22205", ,"8", ,"170","6996", , , , , ,"622286", ,"622286"
"Line(05300)", ,"336202","485712", ,"1009", ,"61753","45015","3099","2171", ,"6220", ,"1488","3319","4051", , , , , , , , ,"1151443", ,"1151443"
"Line(05301)","293257", ,"12106", ,"2764", ,"9125", , ,"321", ,"4124", ,"2571", ,"128", , ,"11", , , , , ,"338069", ,"338069"
"Line(05400)","44846","2362246","1220552", ,"18468", ,"365410","376161","4251","12848", ,"39002", ,"18186","98526","896", , ,"18103", , , , , ,"5207448", ,"5207448"
