"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report D00A184 ","-------------","-------------","-----------",""
"","applicable","","\"   [ ] Title XVIII"," Part A\"","","","   [ ] IPF","           [ ] SNF","","","   [ ] TEFRA"
"","boxes:","","   [ ] Title XIX","","","   [ ] IRF","           [ ] NF","","",""
"","","","","","","","","","",""
"","","","","","","","","All","","Total"
"","","","","","Non","","","Other ","","Outpatient"
"","","","","","Physician","","","Medical","Total cost","Cost"
"","","","","","Anesthetist","Nursing","Allied","Education","(sum of col 1","\"(sum of col. 2","\""
"","","","","","Cost","School","Health","Cost","through col. 4)","3 and 4)"
"","Cost Center Description","","","","1","2","3","4","5","6"
"","ANCILLARY SERVICE COST CENTERS","","","","","","","","",""
"Entity[563706] Report(D00A184)", , ,"Entity[563706] Report(D00A184[00200])","Entity[563706] Report(D00A184[00300])", ,"Entity[563706] Report(D00A184[00500])","Entity[563706] Report(D00A184[00600])","Entity[563706] Report(D00A184[00700])","Entity[563706] Report(D00A184[00800])","Entity[563706] Report(D00A184[00900])","Entity[563706] Report(D00A184[01000])","Entity[563706] Report(D00A184[01100])","Entity[563706] Report(D00A184[01200])","Entity[563706] Report(D00A184[01300])"
"Line(05000)", , , ,"38571", ,"38571","38571","1117990549","0","0","209626895","7337","27412718","959"
"Line(05001)", , , , , , , ,"30115405", , ,"1313932", ,"4458712"
"Line(05002)", , , , , , , ,"1334690", , ,"3215", ,"149218"
"Line(05100)", , , , , , , ,"97846105", , ,"10638643", ,"4049933"
"Line(05300)", , , ,"1528088", ,"1528088","1528088","336410503","0","0","47907147","217594","10052904","45660"
"Line(05301)", , , , , , , ,"14566272", , ,"13888", ,"1828394"
"Line(05400)", , , , , , , ,"483527912", , ,"75391805", ,"48569072"
"Line(05401)", , , , , , , ,"49699201", , ,"4730905", ,"4564752"
"Line(05404)", , , , , , , ,"137039195", , ,"118584", ,"17161900"
"Line(05405)", , , , , , , ,"25224234", , ,"6407", ,"2475106"
"Line(05500)", , , , , , , ,"138441105", , ,"2452371", ,"20585127"
"Line(05600)", , , , , , , ,"38942357", , ,"1592572", ,"1948365"
"Line(05601)", , , , , , , ,"36511039", , ,"1953838", ,"3802790"
"Line(05700)", , , , , , , ,"452246773", , ,"50450372", ,"27587146"
"Line(05800)", , , , , , , ,"277066530", , ,"18816027", ,"22853951"
