"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report D30A180 ","-------------","-------------","-----------",""
"","applicable","\"   [ ]  Title XVIII"," Part A\"","   [ ]  IPF"," [ ]  SNF","  [ ]  Swing-Bed NF","   [ ]  TEFRA",""
"","boxes:","   [ ]  Title XIX","   [ ]  IRF"," [ ]  NF","  [ ]  ICF/MR","   [ ]  Other",""
"","","","","Ratio of Cost","Inpatient","Inpatient Program Costs",""
"","COST  CENTER  DESCRIPTION","","","to Charges","Program Charges","(col. 1 x col. 2)",""
"","","","","1","2","3",""
"","INPATIENT ROUTINE SERVICE COST CENTERS","","","","","",""
"30"," Adults and Pediatrics (General Routine Care)","","","","","","30"
"31"," Intensive Care Unit","","","","","","31"
"32"," Coronary Care Unit","","","","","","32"
"33"," Burn Intensive Care Unit","","","","","","33"
"34"," Surgical Intensive Care Unit","","","","","","34"
"35"," Other Special Care (specify)","","","","","","35"
"40"," Subprovider IPF","","","","","","40"
"41"," Subprovider IRF","","","","","","41"
"42"," Subprovider (Specify)","","","","","","42"
"43"," Nursery","","","","","","43"
"","ANCILLARY SERVICE COST CENTERS","","","","","",""
"50"," Operating Room","","","","","","50"
"51"," Recovery Room","","","","","","51"
"52"," Labor Room and Delivery Room","","","","","","52"
"53"," Anesthesiology","","","","","","53"
"54"," Radiology-Diagnostic","","","","","","54"
"55"," Radiology-Therapeutic","","","","","","55"
"56"," Radioisotope","","","","","","56"
"57"," Computed Tomography (CT) Scan","","","","","","57"
"58"," Magnetic Resonance Imaging (MRI)","","","","","","58"
"59"," Cardiac Catheterization","","","","","","59"
"60"," Laboratory","","","","","","60"
"61"," PBP Clinical Laboratory Services-Prgm. Only","","","","","","61"
"62"," Whole Blood & Packed Red Blood Cells","","","","","","62"
"63","\" Blood Storing"," Processing"," & Trans.\"","","","","","","63"
"64"," Intravenous Therapy","","","","","","64"
"65"," Respiratory Therapy","","","","","","65"
"66"," Physical Therapy","","","","","","66"
"67"," Occupational Therapy","","","","","","67"
"68"," Speech Pathology","","","","","","68"
"69"," Electrocardiology","","","","","","69"
"70"," Electroencephalography","","","","","","70"
"71"," Medical Supplies Charged to Patients","","","","","","71"
"72"," Implantable Devices Charged to Patients","","","","","","72"
"73"," Drugs Charged to Patients","","","","","","73"
"74"," Renal Dialysis","","","","","","74"
"75"," ASC (Non-Distinct Part)","","","","","","75"
"76"," Other Ancillary (specify)","","","","","","76"
"","OUTPATIENT SERVICE COST CENTERS","","","","","",""
"88"," Rural Health Clinic (RHC)","","","","","","88"
"89"," Federally Qualified Health Center (FQHC)","","","","","","89"
"90"," Clinic","","","","","","90"
"91"," Emergency","","","","","","91"
"92"," Observation Beds (see instructions)","","","","","","92"
"93"," Other Outpatient Service (specify)","","","","","","93"
"","OTHER REIMBURSABLE COST CENTERS","","","","","",""
"94"," Home Program Dialysis","","","","","","94"
"95"," Ambulance Services","","","","","","95"
"96"," Durable Medical Equipment-Rented","","","","","","96"
"97"," Durable Medical Equipment-Sold","","","","","","97"
"98"," Other Reimbursable (specify)","","","","","","98"
"200"," Total (sum of lines 50-94 and 96-98)","","","","","","200"
"201"," Less PBP Clinic Laboratory Services-Program only charges (line 61)","","","","","","201"
"202"," Net Charges (line 200 minus line 201)","","","","","","202"
"Entity[563706] Report(D30A180)", ,"Entity[563706] Report(D30A180[00100])","Entity[563706] Report(D30A180[00200])","Entity[563706] Report(D30A180[00300])"
"Line(03000)", , ,"220177622"
"Line(03100)", , ,"76632559"
"Line(03200)", , ,"22500578"
"Line(03400)", , ,"11176975"
"Line(03500)", , ,"16471547"
"Line(03501)", , ,"15642072"
"Line(05000)", ,"0","209626895","16017801"
"Line(05001)", ,"0","1313932","132882"
"Line(05002)", ,"0","3215","911"
"Line(05100)", ,"0","10638643","1043789"
"Line(05300)", ,"0","47907147","5493369"
"Line(05301)", ,"0","13888","2231"
"Line(05400)", ,"0","75391805","3696159"
"Line(05401)", ,"0","4730905","227448"
"Line(05404)", ,"0","118584","2894"
"Line(05405)", ,"0","6407","377"
"Line(05500)", ,"0","2452371","212209"
"Line(05600)", ,"0","1592572","169408"
"Line(05601)", ,"0","1953838","117174"
"Line(05700)", ,"0","50450372","1027422"
"Line(05800)", ,"0","18816027","614437"
"Line(06000)", ,"0","254789796","8639922"
"Line(06001)", ,"0","265838","74194"
"Line(06003)", ,"0","1561349","178038"
"Line(06004)", ,"0","1774097","125473"
"Line(06200)", ,"0","56743291","4532541"
"Line(06500)", ,"0","88430423","6644927"
"Line(06501)", ,"0","401854","63002"
"Line(06502)", ,"0","81129","5647"
"Line(06600)", ,"0","10601644","1691757"
"Line(06700)", ,"0","2903076","356582"
"Line(06900)", ,"0","7446550","315064"
"Line(06901)", ,"0","46838116","2198441"
"Line(06902)", ,"0","10974978","466568"
"Line(06903)", ,"1"
"Line(06904)", ,"4"
"Line(06905)", ,"0","2174802","253886"
"Line(06907)", ,"1","53030","36162"
"Line(07000)", ,"0","14916640","804753"
"Line(07001)", ,"0","26209","3824"
"Line(07100)", ,"0","7861226","665547"
"Line(07200)", ,"0","118176207","18605426"
"Line(07300)", ,"0","306897895","23872973"
"Line(07301)", ,"0"
"Line(07400)", ,"1"
"Line(07500)", ,"0","889998","159489"
"Line(07501)", ,"0"
"Line(07600)", ,"0"
"Line(07601)", ,"0","18545987","3124257"
"Line(07602)", ,"0","5529366","635822"
"Line(07603)", ,"0","49477","5041"
"Line(07604)", ,"1","1800","2338"
"Line(07605)", ,"7"
"Line(07606)", ,"0"
"Line(07607)", ,"0"
"Line(07608)", ,"0","538","205"
"Line(07609)", ,"0","191","48"
"Line(07610)", ,"0","133","35"
"Line(07612)", ,"0","445","161"
"Line(07613)", ,"0"
"Line(09000)", ,"0","16809","3623"
"Line(09001)", ,"1","1616","1802"
"Line(09002)", ,"0"
"Line(09003)", ,"0","23104","8106"
"Line(09004)", ,"1","516","312"
"Line(09005)", ,"1","1537","1800"
"Line(09007)", ,"0","23237","10997"
"Line(09008)", ,"0","284173","120411"
"Line(09009)", ,"4","5402","20223"
"Line(09010)", ,"0","2936936","403594"
"Line(09011)", ,"2"
"Line(09012)", ,"0"
"Line(09013)", ,"0"
"Line(09014)", ,"1"
"Line(09015)", ,"1"
"Line(09016)", ,"0"
"Line(09017)", ,"0"
"Line(09018)", ,"0","2495","1078"
"Line(09019)", ,"1","419","221"
"Line(09024)", ,"0","174427","21051"
"Line(09100)", ,"0","30640133","3240991"
"Line(09200)", ,"0","138087","20448"
"Line(09300)", ,"0","27091","12053"
"Line(20000)", , ,"1417228668","106087344"
