"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report I500000 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[563706] Report(I500000)", ,"Entity[563706] Report(I500000[00100])","Entity[563706] Report(I500000[00200])"
"Line(00100)", ,"343632"
"Line(00201)", ,"82184","82184"
"Line(00202)", ,"37604","37604"
"Line(00203)", ,"119788","119788"
"Line(00401)", ,"24226","24226"
"Line(00403)", ,"24226","24226"
"Line(00800)", , ,"24226"
"Line(00900)", , ,"95830"
"Line(01200)", ,"1402035"
"Line(01300)", ,"1402035"
